,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년07월_남_0~9세,"21,240","2,203",713,717,936,"1,514",674,725,640,"1,242",693,719,953,268,411,"1,852","1,975","1,364","2,231",648,762
2020년07월_남_10~19세,"23,420","2,342",794,932,"1,152","1,309",763,829,731,"1,365",960,866,987,259,321,"2,455","2,655",906,"2,161",807,826
2020년07월_남_20~29세,"40,771","2,582","1,922","1,690","2,227","4,239","1,304","1,531","1,569","2,760","2,052","1,892","2,864",804,933,"2,322","2,537","1,943","2,600","1,623","1,377"
2020년07월_남_30~39세,"51,077","3,501","2,795","1,804","2,422","5,762","1,583","1,659","1,799","3,482","2,164","2,284","4,156","1,307","1,624","2,165","2,760","2,699","3,286","1,885","1,940"
2020년07월_남_40~49세,"46,236","3,789","1,636","1,534","1,934","3,996","1,602","1,582","1,692","2,880","1,873","2,071","2,390",749,"1,037","3,536","4,078","2,304","4,006","1,740","1,807"
2020년07월_남_50~59세,"41,839","2,944","1,475","1,662","2,540","3,592","1,341","1,631","1,659","2,329","1,900","1,722","2,035","1,100","1,100","2,751","3,263","1,947","3,214","1,851","1,783"
2020년07월_남_60~69세,"34,924","2,042","1,049","1,331","2,396","3,073","1,058","1,587","1,378","1,815","1,704","1,512","1,566","1,575","1,159","1,705","2,285","1,536","2,656","1,702","1,795"
2020년07월_남_70~79세,"18,088",814,506,660,"1,129","1,843",629,888,755,948,786,981,575,697,634,978,"1,234",799,"1,345",943,944
2020년07월_남_80~89세,"5,119",236,235,157,443,439,143,191,217,247,188,228,166,228,194,268,288,262,368,300,321
2020년07월_남_90~99세,558,25,48,16,79,38,13,24,18,26,18,17,23,24,21,20,27,14,37,29,41
2020년07월_남_100세 이상,71,0,2,0,5,9,1,3,2,3,1,2,1,3,0,3,6,11,6,11,2
2020년07월_여_총인구수,"302,936","21,574","12,579","10,918","16,710","27,168","9,595","11,505","10,882","17,916","12,862","13,288","18,270","7,789","8,379","20,006","22,975","13,372","23,009","11,824","12,315"
2020년07월_여_연령구간인구수,"302,936","21,574","12,579","10,918","16,710","27,168","9,595","11,505","10,882","17,916","12,862","13,288","18,270","7,789","8,379","20,006","22,975","13,372","23,009","11,824","12,315"
2020년07월_여_0~9세,"20,389","2,058",658,681,871,"1,478",646,642,589,"1,212",678,738,868,277,366,"1,780","1,978","1,298","2,275",592,704
2020년07월_여_10~19세,"22,470","2,230",611,751,"1,057","1,311",752,827,693,"1,169",761,818,984,226,314,"2,649","2,865",835,"2,133",717,767
2020년07월_여_20~29세,"46,667","2,953","2,825","1,677","2,071","5,003","1,276","1,712","1,416","3,054","2,216","1,982","5,493",979,987,"2,433","2,775","1,926","2,832","1,762","1,295"
2020년07월_여_30~39세,"49,532","3,858","2,994","1,782","2,265","5,086","1,434","1,643","1,683","3,050","2,050","2,143","4,003","1,219","1,566","2,386","3,020","2,448","3,431","1,619","1,852"
2020년07월_여_40~49세,"45,980","3,934","1,664","1,601","2,132","3,668","1,600","1,706","1,593","2,812","1,823","1,982","2,209",732,927,"3,917","4,603","1,945","3,844","1,530","1,758"
2020년07월_여_50~59세,"45,714","3,087","1,557","1,881","2,993","3,997","1,534","1,818","1,827","2,637","2,148","2,150","2,212","1,253","1,260","2,956","3,277","1,917","3,397","1,867","1,946"
2020년07월_여_60~69세,"40,368","2,031","1,163","1,523","2,712","3,859","1,363","1,826","1,750","2,325","1,902","2,016","1,524","1,617","1,504","2,147","2,634","1,644","2,861","1,908","2,059"
2020년07월_여_70~79세,"20,497",907,619,670,"1,409","1,912",707,888,907,"1,148",844,"1,049",606,836,918,"1,134","1,259",880,"1,454","1,177","1,173"
2020년07월_여_80~89세,"9,299",443,399,286,974,729,232,360,351,403,364,350,310,543,436,479,452,381,644,552,611
2020년07월_여_90~99세,"1,864",62,86,62,219,114,46,64,69,100,71,56,57,106,100,117,94,82,131,85,143
2020년07월_여_100세 이상,156,11,3,4,7,11,5,19,4,6,5,4,4,1,1,8,18,16,7,15,7
