,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년12월_여_연령구간인구수,"340,992","6,569","13,008","6,204","9,516","9,252","9,177","8,127","14,185","9,237","19,810","12,716","9,909","16,518","16,071","13,233","14,062","16,409","10,090","15,605","15,256","20,053","14,689","18,280","18,001","11,089","8,830","5,096"
2021년12월_여_0~9세,"23,502",268,899,275,598,389,390,501,502,554,"1,275",534,706,711,715,762,"1,448","1,166",599,771,"1,112","3,207",600,"1,840","1,454","1,273",689,264
2021년12월_여_10~19세,"28,141",396,969,452,658,736,609,788,544,"1,186","1,414",660,906,918,910,860,"1,179","1,585",688,691,"1,246","2,474",843,"2,853","1,986","1,172",852,566
2021년12월_여_20~29세,"47,406",742,"2,040",838,"1,047","1,068","1,057","1,152","3,215",989,"2,511","2,418","1,397","2,868","2,807","1,998","1,563","2,208","1,542","3,130","2,002","1,830","2,772","1,729","1,893",983,992,615
2021년12월_여_30~39세,"55,764",854,"2,150",799,"1,305",965,969,"1,137","3,274",977,"2,769","2,696","1,428","3,550","3,337","2,263","2,563","2,398","1,633","3,976","2,287","3,656","3,058","2,112","2,270","1,613","1,189",536
2021년12월_여_40~49세,"55,318",896,"2,039",894,"1,440","1,246","1,221","1,350","1,815","1,756","2,953","1,779","1,552","2,433","2,567","1,873","2,329","2,821","1,423","2,271","2,335","3,843","2,209","4,469","3,324","2,267","1,490",723
2021년12월_여_50~59세,"52,300","1,143","1,874","1,103","1,667","1,653","1,696","1,412","1,898","1,589","3,626","1,831","1,619","2,366","2,294","2,333","2,091","2,661","1,741","1,785","2,587","2,362","2,097","2,368","2,668","1,534","1,431",871
2021년12월_여_60~69세,"46,435","1,316","1,772","1,027","1,523","1,649","1,772","1,098","1,789","1,397","3,106","1,679","1,433","2,156","2,063","1,934","1,898","2,239","1,547","1,726","2,139","1,622","1,880","1,650","2,573","1,368","1,290",789
2021년12월_여_70~79세,"21,113",622,840,524,827,996,944,408,793,496,"1,296",782,545,"1,071",908,784,738,836,600,808,957,660,860,894,"1,297",595,577,455
2021년12월_여_80~89세,"8,987",288,359,244,369,477,431,226,302,218,684,277,255,376,379,356,199,409,252,368,462,303,311,309,428,226,260,219
2021년12월_여_90~99세,"1,951",44,65,47,80,71,86,50,52,73,171,60,65,64,88,69,52,82,61,78,120,92,56,51,106,56,57,55
2021년12월_여_100세 이상,75,0,1,1,2,2,2,5,1,2,5,0,3,5,3,1,2,4,4,1,9,4,3,5,2,2,3,3
