카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년01월_계_80~89세,"91,787","19,671","10,682","8,989","10,121","12,523","8,208","6,160","7,164","5,269","2,497","2,325","2,141","2,995","2,744","5,298","4,671"
2021년01월_계_90~99세,"13,804","2,800","1,589","1,211","1,582","2,030","1,169",953,"1,209",807,370,335,296,432,380,825,616
2021년01월_계_100세 이상,866,158,79,79,126,109,116,42,75,44,28,22,22,22,27,37,38
2021년01월_남_총인구수,"896,115","323,623","165,246","158,377","135,311","140,158","53,748","39,507","40,808","46,960","12,798","11,979","11,002","13,938","13,457","26,953","25,873"
2021년01월_남_연령구간인구수,"896,115","323,623","165,246","158,377","135,311","140,158","53,748","39,507","40,808","46,960","12,798","11,979","11,002","13,938","13,457","26,953","25,873"
2021년01월_남_0~9세,"65,428","27,596","12,658","14,938","10,551","9,711","3,229","2,627","2,216","3,421",616,639,598,715,763,"1,416","1,330"
2021년01월_남_10~19세,"90,373","37,051","18,765","18,286","13,823","14,151","5,113","3,753","3,162","4,323",887,936,849,882,"1,142","2,337","1,964"
2021년01월_남_20~29세,"113,901","48,743","25,587","23,156","16,315","19,560","5,855","4,241","4,012","4,961","1,106",985,926,"1,224","1,143","2,431","2,399"
2021년01월_남_30~39세,"97,119","41,373","20,235","21,138","15,915","14,836","4,706","3,270","3,523","4,774",790,933,808,"1,070",957,"2,064","2,100"
2021년01월_남_40~49세,"137,909","52,331","25,422","26,909","22,806","21,320","7,748","5,463","5,586","7,511","1,580","1,598","1,449","1,715","1,864","3,512","3,426"
2021년01월_남_50~59세,"154,867","52,126","27,583","24,543","23,054","24,825","9,888","7,317","7,444","8,465","2,551","2,305","2,067","2,658","2,435","4,921","4,811"
2021년01월_남_60~69세,"127,079","36,926","20,140","16,786","18,624","20,189","8,442","6,481","7,339","7,235","2,592","2,280","2,164","2,688","2,462","4,815","4,842"
2021년01월_남_70~79세,"75,407","19,703","10,717","8,986","10,381","10,993","5,789","4,127","4,986","4,310","1,763","1,419","1,365","1,886","1,709","3,618","3,358"
2021년01월_남_80~89세,"30,798","7,111","3,777","3,334","3,470","4,080","2,702","1,998","2,260","1,779",815,803,704,990,883,"1,695","1,508"
2021년01월_남_90~99세,"3,055",633,346,287,335,468,254,219,265,173,89,76,68,104,99,143,129
2021년01월_남_100세 이상,179,30,16,14,37,25,22,11,15,8,9,5,4,6,0,1,6
2021년01월_여_총인구수,"906,633","334,038","174,160","159,878","132,487","141,381","54,722","41,063","41,518","44,490","12,546","12,067","11,079","13,310","14,208","27,559","26,165"
2021년01월_여_연령구간인구수,"906,633","334,038","174,160","159,878","132,487","141,381","54,722","41,063","41,518","44,490","12,546","12,067","11,079","13,310","14,208","27,559","26,165"
2021년01월_여_0~9세,"62,112","26,212","11,915","14,297","10,214","9,250","3,065","2,333","2,051","3,403",645,560,549,624,733,"1,267","1,206"
2021년01월_여_10~19세,"84,116","34,576","17,291","17,285","12,926","13,572","4,529","3,530","2,994","3,953",776,892,805,794,"1,060","1,941","1,768"
2021년01월_여_20~29세,"97,108","44,229","23,887","20,342","13,427","16,378","4,775","3,348","3,187","3,960",833,786,723,845,916,"1,837","1,864"
2021년01월_여_30~39세,"91,185","40,501","19,648","20,853","14,564","13,480","4,145","3,122","3,070","4,514",845,769,747,864,"1,013","1,775","1,776"
2021년01월_여_40~49세,"129,722","54,531","27,808","26,723","20,612","20,450","7,007","5,237","4,397","6,052","1,143","1,273","1,119","1,108","1,425","2,678","2,690"
2021년01월_여_50~59세,"144,503","54,084","29,553","24,531","20,961","24,062","8,476","6,378","6,207","6,731","1,965","1,875","1,613","2,016","2,048","4,083","4,004"
2021년01월_여_60~69세,"130,176","40,443","22,515","17,928","19,197","20,500","8,583","6,526","7,280","6,728","2,295","2,141","2,074","2,312","2,381","4,898","4,818"
2021년01월_여_70~79세,"95,286","24,607","13,332","11,275","12,599","13,600","7,627","5,662","6,424","4,989","2,062","1,973","1,766","2,398","2,463","4,759","4,357"
2021년01월_여_80~89세,"60,989","12,560","6,905","5,655","6,651","8,443","5,506","4,162","4,904","3,490","1,682","1,522","1,437","2,005","1,861","3,603","3,163"
2021년01월_여_90~99세,"10,749","2,167","1,243",924,"1,247","1,562",915,734,944,634,281,259,228,328,281,682,487
2021년01월_여_100세 이상,687,128,63,65,89,84,94,31,60,36,19,17,18,16,27,36,32
