,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년03월_여_총인구수,"149,400","8,720","14,028","11,445","5,820","7,273","12,673","8,237","8,157","12,139","7,638","14,146","8,436","6,696","7,811","5,493","5,012","5,676"
2021년03월_여_연령구간인구수,"149,400","8,720","14,028","11,445","5,820","7,273","12,673","8,237","8,157","12,139","7,638","14,146","8,436","6,696","7,811","5,493","5,012","5,676"
2021년03월_여_0~9세,"9,774",589,"1,116",581,199,480,901,576,645,832,661,"1,273",463,356,381,281,246,194
2021년03월_여_10~19세,"9,849",588,779,818,466,522,"1,134",833,504,724,457,798,551,437,420,259,260,299
2021년03월_여_20~29세,"22,610","1,299","2,305","2,120","2,098","1,160","1,590",906,904,"1,396",732,"1,579","1,268","1,082","1,080","1,053",819,"1,219"
2021년03월_여_30~39세,"24,528","1,450","2,491","1,566",701,"1,147","1,908","1,136","1,440","2,184","1,449","2,773","1,436","1,223","1,185",926,732,781
2021년03월_여_40~49세,"22,250","1,306","2,023","1,483",527,"1,114","2,082","1,510","1,257","1,885","1,306","2,269","1,255","1,045","1,056",720,682,730
2021년03월_여_50~59세,"23,643","1,416","2,305","1,878",657,"1,174","2,006","1,277","1,228","1,940","1,083","2,103","1,552",975,"1,431",839,889,890
2021년03월_여_60~69세,"18,974","1,093","1,550","1,534",517,838,"1,538",936,"1,164","1,612","1,005","1,784","1,103",849,"1,232",722,764,733
2021년03월_여_70~79세,"11,458",674,904,947,422,552,990,669,639,988,616,993,526,469,680,442,405,542
2021년03월_여_80~89세,"5,413",260,476,433,199,237,453,338,331,508,289,461,254,229,285,221,184,255
2021년03월_여_90~99세,834,44,77,77,29,41,69,50,44,67,38,101,27,30,51,26,31,32
2021년03월_여_100세 이상,67,1,2,8,5,8,2,6,1,3,2,12,1,1,10,4,0,1
