,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년11월_남_총인구수,"195,469","12,410","9,435","7,303","17,160","11,225","12,693","12,144","9,678","9,945","13,177","17,215","9,591","15,291","8,635","19,428","10,139"
2020년11월_남_연령구간인구수,"195,469","12,410","9,435","7,303","17,160","11,225","12,693","12,144","9,678","9,945","13,177","17,215","9,591","15,291","8,635","19,428","10,139"
2020년11월_남_0~9세,"12,009",648,548,635,845,649,564,990,407,677,571,"1,238",583,771,420,"1,740",723
2020년11월_남_10~19세,"13,749",803,636,479,989,685,793,"1,051",440,664,633,"1,602",641,945,544,"1,965",879
2020년11월_남_20~29세,"27,827","1,702","1,286",911,"2,688","1,592","1,925","1,777","1,699","1,448","1,869","2,413","1,333","2,132","1,186","2,535","1,331"
2020년11월_남_30~39세,"30,042","1,765","1,389","1,325","2,794","1,777","1,915","1,848","2,090","1,674","2,009","2,475","1,646","2,148","1,196","2,545","1,446"
2020년11월_남_40~49세,"29,977","1,964","1,586","1,190","2,674","1,685","1,849","1,758","1,383","1,486","1,884","2,932","1,471","2,232","1,251","3,053","1,579"
2020년11월_남_50~59세,"34,380","2,514","1,628","1,253","3,136","1,918","2,308","2,136","1,589","1,591","2,650","2,680","1,581","2,892","1,711","3,117","1,676"
2020년11월_남_60~69세,"28,176","1,785","1,339",919,"2,378","1,711","1,924","1,617","1,185","1,481","2,128","2,226","1,375","2,512","1,394","2,684","1,518"
2020년11월_남_70~79세,"14,347",922,798,454,"1,235",942,"1,039",709,665,691,"1,042","1,206",722,"1,247",690,"1,287",698
2020년11월_남_80~89세,"4,549",277,200,131,388,246,342,243,202,219,352,409,219,369,226,461,265
2020년11월_남_90~99세,364,29,23,5,26,18,31,15,15,13,33,27,16,37,14,39,23
2020년11월_남_100세 이상,49,1,2,1,7,2,3,0,3,1,6,7,4,6,3,2,1
2020년11월_여_총인구수,"199,725","12,498","9,480","7,181","17,405","11,160","12,887","12,651","10,189","10,345","12,478","18,305","9,893","15,126","8,544","20,458","11,125"
2020년11월_여_연령구간인구수,"199,725","12,498","9,480","7,181","17,405","11,160","12,887","12,651","10,189","10,345","12,478","18,305","9,893","15,126","8,544","20,458","11,125"
2020년11월_여_0~9세,"11,212",642,492,637,778,540,554,882,395,612,493,"1,178",543,721,381,"1,687",677
2020년11월_여_10~19세,"13,193",812,573,440,"1,027",605,730,946,375,687,561,"1,558",591,946,637,"1,842",863
2020년11월_여_20~29세,"28,306","1,722","1,193",854,"2,610","1,537","1,900","1,805","2,331","1,490","1,902","2,604","1,409","2,081","1,148","2,436","1,284"
2020년11월_여_30~39세,"28,220","1,565","1,275","1,288","2,549","1,661","1,679","1,808","2,005","1,554","1,743","2,513","1,493","1,959",986,"2,636","1,506"
2020년11월_여_40~49세,"28,051","1,770","1,373","1,014","2,435","1,501","1,700","1,835","1,244","1,352","1,630","2,986","1,445","1,898","1,207","2,997","1,664"
2020년11월_여_50~59세,"35,336","2,420","1,636","1,223","3,211","2,021","2,420","2,302","1,540","1,822","2,345","2,887","1,654","2,850","1,627","3,490","1,888"
2020년11월_여_60~69세,"29,844","1,891","1,521",946,"2,511","1,801","2,075","1,688","1,297","1,600","1,985","2,480","1,557","2,531","1,351","2,861","1,749"
2020년11월_여_70~79세,"17,036","1,121","1,027",541,"1,577","1,011","1,258",905,690,836,"1,240","1,402",824,"1,378",777,"1,523",926
2020년11월_여_80~89세,"7,131",462,317,210,594,403,484,407,254,333,509,578,322,634,345,787,492
2020년11월_여_90~99세,"1,237",83,63,24,93,70,79,70,49,55,58,103,47,114,73,184,72
2020년11월_여_100세 이상,159,10,10,4,20,10,8,3,9,4,12,16,8,14,12,15,4
