,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년02월_남_0~9세,"87,340","31,448","10,349","21,099","2,945","3,018","16,696","7,845","3,645","1,977","7,817","1,283","1,543","1,144",636,"3,988","1,862","1,493"
2021년02월_남_10~19세,"104,821","35,271","13,563","21,708","4,194","4,267","17,797","9,139","5,040","3,325","8,228","2,217","2,454","1,774","1,059","4,878","2,936","2,242"
2021년02월_남_20~29세,"133,001","50,412","18,618","31,794","6,120","5,526","20,404","11,313","6,276","2,732","9,287","2,276","3,043","2,213","1,489","5,233","3,805","2,872"
2021년02월_남_30~39세,"143,426","55,647","17,269","38,378","5,056","5,014","25,758","12,205","5,641","2,329","12,901","1,922","2,340","1,902","1,181","5,370","3,376","2,784"
2021년02월_남_40~49세,"175,060","58,055","22,038","36,017","6,997","7,592","30,905","14,899","8,098","4,096","15,104","3,411","3,898","3,165","1,802","7,553","5,198","4,287"
2021년02월_남_50~59세,"179,285","52,831","22,261","30,570","9,423","9,058","25,150","15,203","10,299","3,489","14,586","4,951","5,614","4,594","2,859","8,287","7,264","5,677"
2021년02월_남_60~69세,"142,045","32,887","16,036","16,851","9,344","8,493","16,255","11,191","10,204","2,215","10,925","5,095","6,610","5,023","3,183","7,335","7,414","5,871"
2021년02월_남_70~79세,"77,956","13,708","7,162","6,546","5,294","5,056","8,061","6,532","5,812",930,"6,219","3,104","4,202","3,577","2,047","4,489","4,726","4,199"
2021년02월_남_80~89세,"35,430","5,283","2,844","2,439","2,516","2,253","3,478","2,890","2,780",360,"2,867","1,415","2,253","1,904","1,186","2,257","2,400","1,588"
2021년02월_남_90~99세,"3,453",504,286,218,274,209,302,247,315,42,293,133,250,201,125,230,198,130
2021년02월_남_100세 이상,209,49,23,26,14,13,32,7,21,0,14,8,7,10,5,19,5,5
2021년02월_여_총인구수,"1,037,516","322,200","126,948","195,252","52,142","49,174","152,788","84,152","58,184","21,633","77,977","25,412","32,825","26,150","15,178","50,114","38,864","30,723"
2021년02월_여_연령구간인구수,"1,037,516","322,200","126,948","195,252","52,142","49,174","152,788","84,152","58,184","21,633","77,977","25,412","32,825","26,150","15,178","50,114","38,864","30,723"
2021년02월_여_0~9세,"83,213","30,034","9,750","20,284","2,736","2,978","15,848","7,472","3,495","1,924","7,492","1,234","1,349","1,138",612,"3,649","1,722","1,530"
2021년02월_여_10~19세,"97,048","32,891","12,550","20,341","3,906","3,948","16,809","8,047","4,702","2,984","7,431","2,037","2,173","1,664",946,"4,645","2,754","2,111"
2021년02월_여_20~29세,"108,075","45,465","16,482","28,983","4,971","3,882","16,351","7,772","4,939","2,179","6,685","1,696","2,238","1,603","1,080","4,269","2,938","2,007"
2021년02월_여_30~39세,"122,725","48,961","15,581","33,380","4,350","4,218","22,428","9,766","4,998","2,342","9,664","1,727","1,982","1,486",889,"4,997","2,709","2,208"
2021년02월_여_40~49세,"153,278","54,113","20,726","33,387","6,264","6,291","26,022","12,944","7,198","4,317","11,689","2,780","3,248","2,621","1,285","6,892","4,266","3,348"
2021년02월_여_50~59세,"160,050","50,120","21,343","28,777","8,897","7,950","21,407","13,225","9,256","3,469","11,404","4,025","5,096","3,871","2,375","7,543","6,296","5,116"
2021년02월_여_60~69세,"141,987","32,173","15,847","16,326","9,334","8,811","16,361","11,137","10,048","2,365","10,441","4,902","6,624","5,259","3,046","7,629","7,557","6,300"
2021년02월_여_70~79세,"93,740","16,581","8,436","8,145","6,220","6,230","10,054","7,442","7,217","1,145","7,065","3,733","5,182","4,454","2,464","5,597","5,699","4,657"
2021년02월_여_80~89세,"65,489","9,995","5,236","4,759","4,640","4,064","6,376","5,307","5,360",761,"5,173","2,824","4,138","3,379","2,139","4,181","4,230","2,922"
2021년02월_여_90~99세,"11,184","1,737",933,804,775,749,"1,046",990,898,138,875,433,746,641,328,668,658,502
2021년02월_여_100세 이상,727,130,64,66,49,53,86,50,73,9,58,21,49,34,14,44,35,22
