,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년04월_남_30~39세,"16,938",61,167,"1,099","3,253",592,77,56,99,48,15,76,158,93,157,454,"1,425",341,"2,577",402,410,143,132,162,"1,283","2,488","1,170"
2021년04월_남_40~49세,"21,265",129,285,"1,477","3,438",853,148,84,153,86,35,145,326,149,232,437,"1,818",440,"3,309",539,590,159,162,204,"1,460","3,132","1,475"
2021년04월_남_50~59세,"24,820",315,516,"1,764","1,879","1,174",289,166,311,172,89,286,547,314,285,495,"2,076",597,"4,092",630,866,222,256,282,"1,549","3,730","1,918"
2021년04월_남_60~69세,"17,653",311,491,654,693,"1,021",328,236,353,191,99,398,604,309,360,423,"1,680",509,"2,773",655,746,245,233,279,"1,089","2,131",842
2021년04월_남_70~79세,"8,575",189,318,185,157,539,300,134,285,132,80,282,408,192,280,304,720,291,952,418,492,187,147,188,527,658,210
2021년04월_남_80~89세,"3,421",103,165,76,41,192,141,69,160,77,34,137,249,96,76,130,241,107,293,173,185,97,60,66,184,204,65
2021년04월_남_90~99세,315,16,12,5,2,19,19,6,15,6,3,13,17,10,7,8,20,11,28,12,10,8,8,10,18,26,6
2021년04월_남_100세 이상,7,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"141,313","1,362","2,215","9,256","16,289","5,994","1,455",934,"1,561",736,454,"1,680","2,771","1,379","1,871","3,437","12,909","3,095","22,152","3,882","4,366","1,454","1,116","1,502","9,160","20,331","9,952"
2021년04월_여_연령구간인구수,"141,313","1,362","2,215","9,256","16,289","5,994","1,455",934,"1,561",736,454,"1,680","2,771","1,379","1,871","3,437","12,909","3,095","22,152","3,882","4,366","1,454","1,116","1,502","9,160","20,331","9,952"
2021년04월_여_0~9세,"11,305",13,67,736,"2,882",357,29,17,25,5,6,41,67,20,69,212,944,163,"1,670",164,158,58,24,40,986,"1,683",869
2021년04월_여_10~19세,"14,275",64,91,"1,186","2,346",472,45,40,51,16,21,65,140,67,120,264,"1,326",248,"2,507",281,311,92,46,92,822,"2,284","1,278"
2021년04월_여_20~29세,"16,971",74,165,"1,445","1,544",599,61,64,70,31,20,111,177,108,155,542,"1,754",337,"2,922",409,480,162,130,148,975,"2,992","1,496"
2021년04월_여_30~39세,"16,108",53,100,"1,089","3,413",527,40,40,43,20,12,67,111,56,122,379,"1,413",277,"2,385",356,368,105,82,116,"1,265","2,456","1,213"
2021년04월_여_40~49세,"21,848",84,168,"1,839","3,509",804,65,46,68,39,20,96,187,117,198,427,"1,906",429,"3,663",425,463,148,109,198,"1,395","3,561","1,884"
2021년04월_여_50~59세,"24,393",209,353,"1,803","1,594","1,023",180,135,212,100,54,245,422,251,272,499,"2,419",552,"4,473",697,834,238,196,246,"1,536","3,894","1,956"
2021년04월_여_60~69세,"17,600",265,453,632,627,980,319,186,355,131,91,378,533,273,414,500,"1,785",568,"2,775",740,860,280,261,299,"1,105","1,996",794
2021년04월_여_70~79세,"10,463",266,403,288,230,660,346,202,350,185,91,342,516,251,297,367,816,315,"1,082",543,576,248,169,220,584,836,280
2021년04월_여_80~89세,"6,984",287,343,203,118,486,312,170,328,178,106,277,530,192,189,215,450,161,563,222,265,96,78,124,401,534,156
2021년04월_여_90~99세,"1,300",46,71,32,25,84,57,33,58,27,33,56,84,40,33,30,88,42,102,44,49,27,20,15,86,92,26
2021년04월_여_100세 이상,66,1,1,3,1,2,1,1,1,4,0,2,4,4,2,2,8,3,10,1,2,0,1,4,5,3,0
