,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년12월_남_30~39세,"7,600",831,73,115,49,73,71,133,52,170,198,158,56,140,504,133,199,470,128,176,"3,871"
2020년12월_남_40~49세,"9,163",966,154,171,81,145,130,198,112,262,275,237,99,252,616,225,328,704,196,264,"3,748"
2020년12월_남_50~59세,"9,417",986,286,327,142,219,229,337,202,523,464,406,231,458,671,228,445,752,382,386,"1,743"
2020년12월_남_60~69세,"8,207",969,304,339,159,270,307,437,233,577,457,376,251,475,383,191,426,488,332,339,894
2020년12월_남_70~79세,"5,014",511,213,219,130,180,210,276,149,346,334,214,158,363,177,124,328,322,225,214,321
2020년12월_남_80~89세,"1,981",167,86,97,47,84,101,133,89,170,122,93,65,156,75,49,123,102,92,63,67
2020년12월_남_90~99세,210,22,5,5,7,5,12,11,9,21,12,13,9,16,9,3,11,13,14,6,7
2020년12월_남_100세 이상,11,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,1
2020년12월_여_총인구수,"57,419","5,976","1,332","1,398",738,"1,164","1,264","1,793","1,010","2,282","2,074","1,651",921,"2,064","3,870","1,368","2,493","4,456","1,645","1,660","18,260"
2020년12월_여_연령구간인구수,"57,419","5,976","1,332","1,398",738,"1,164","1,264","1,793","1,010","2,282","2,074","1,651",921,"2,064","3,870","1,368","2,493","4,456","1,645","1,660","18,260"
2020년12월_여_0~9세,"4,978",549,24,29,10,40,26,32,20,40,59,44,13,59,308,77,105,363,46,69,"3,065"
2020년12월_여_10~19세,"4,533",365,71,58,25,60,33,62,23,84,93,67,29,84,439,104,140,432,139,103,"2,122"
2020년12월_여_20~29세,"5,834",552,90,112,36,62,69,104,52,154,170,139,47,135,516,145,239,595,127,165,"2,325"
2020년12월_여_30~39세,"6,991",786,54,54,19,52,52,63,37,109,119,102,39,103,433,126,188,474,94,119,"3,968"
2020년12월_여_40~49세,"7,298",739,67,86,43,82,59,106,49,125,170,127,57,124,610,178,286,673,122,159,"3,436"
2020년12월_여_50~59세,"7,839",977,190,205,108,147,165,270,146,373,315,266,155,278,626,216,408,701,259,234,"1,800"
2020년12월_여_60~69세,"7,960",930,275,287,166,243,266,388,204,509,410,350,193,429,430,216,440,562,312,337,"1,013"
2020년12월_여_70~79세,"6,536",620,283,274,150,251,310,387,234,436,430,292,209,460,294,170,425,396,304,260,351
2020년12월_여_80~89세,"4,615",398,224,249,155,199,250,322,209,370,252,229,156,338,190,107,220,211,205,174,157
2020년12월_여_90~99세,781,57,49,41,26,24,34,56,34,77,50,35,23,51,22,29,39,48,33,30,23
2020년12월_여_100세 이상,54,3,5,3,0,4,0,3,2,5,6,0,0,3,2,0,3,1,4,10,0
