,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년11월_계_80~89세,"17,323",764,"1,085","1,193","1,091",996,985,712,549,521,803,"1,662","1,298",628,"1,259",992,"1,028",559,677,521
2021년11월_계_90~99세,"2,565",101,182,145,168,140,135,100,73,70,135,225,197,94,135,163,200,90,122,90
2021년11월_계_100세 이상,92,6,6,6,4,6,4,0,4,4,3,8,10,6,4,8,7,3,2,1
2021년11월_남_총인구수,"246,182","11,172","12,840","14,305","17,927","19,057","12,776","10,493","11,718","13,070","9,628","15,754","18,490","9,901","13,022","11,643","15,165","10,875","9,692","8,654"
2021년11월_남_연령구간인구수,"246,182","11,172","12,840","14,305","17,927","19,057","12,776","10,493","11,718","13,070","9,628","15,754","18,490","9,901","13,022","11,643","15,165","10,875","9,692","8,654"
2021년11월_남_0~9세,"15,811",562,813,"1,071",984,"1,427",575,732,772,"1,010",552,942,"1,075",442,670,517,"1,168","1,204",632,663
2021년11월_남_10~19세,"26,230",871,"1,037","1,100","1,314","2,152","1,631","1,378","2,230","2,910","1,191","1,466","1,684",884,"1,089","1,007","1,507",956,"1,021",802
2021년11월_남_20~29세,"35,866","2,136","1,638","1,722","3,218","3,265","2,351","1,479","1,569","1,503","1,277","2,058","2,576","1,611","1,645","1,736","2,129","1,342","1,387","1,224"
2021년11월_남_30~39세,"31,427","1,402","1,540","2,236","2,589","2,598","1,333","1,195",872,851,946,"2,005","2,383","1,196","1,502","1,375","2,266","2,344","1,371","1,423"
2021년11월_남_40~49세,"38,938","1,702","2,064","2,264","2,734","2,964","1,765","1,773","2,024","2,726","1,582","2,637","2,636","1,418","1,886","1,708","2,399","1,853","1,483","1,320"
2021년11월_남_50~59세,"42,092","1,733","2,198","2,183","2,740","2,947","2,372","1,863","2,367","2,419","1,773","2,667","3,267","1,935","2,357","2,155","2,581","1,440","1,640","1,455"
2021년11월_남_60~69세,"32,856","1,533","2,015","2,111","2,604","2,230","1,716","1,248","1,212","1,076","1,256","2,173","2,978","1,485","2,158","1,793","1,865",999,"1,300","1,104"
2021년11월_남_70~79세,"16,229",885,"1,132","1,165","1,276","1,062",708,568,456,397,730,"1,223","1,332",669,"1,196",968,860,521,607,474
2021년11월_남_80~89세,"6,101",322,354,425,429,369,284,230,198,160,285,531,515,239,492,338,347,189,227,167
2021년11월_남_90~99세,621,25,48,28,38,42,41,27,18,17,36,52,41,21,26,46,43,27,23,22
2021년11월_남_100세 이상,11,1,1,0,1,1,0,0,0,1,0,0,3,1,1,0,0,0,1,0
2021년11월_여_총인구수,"265,093","10,480","13,825","15,650","18,859","20,028","13,866","11,537","12,341","13,861","10,348","18,598","19,741","10,105","13,190","12,371","17,637","11,794","10,818","10,044"
2021년11월_여_연령구간인구수,"265,093","10,480","13,825","15,650","18,859","20,028","13,866","11,537","12,341","13,861","10,348","18,598","19,741","10,105","13,190","12,371","17,637","11,794","10,818","10,044"
2021년11월_여_0~9세,"14,859",540,779,"1,032",930,"1,323",489,664,664,868,526,907,"1,053",464,650,503,"1,110","1,101",618,638
2021년11월_여_10~19세,"24,317",732,975,958,"1,250","2,024","1,304","1,307","2,206","2,658",972,"1,563","1,559",886,899,940,"1,386",952,949,797
2021년11월_여_20~29세,"34,401","1,577","1,453","1,756","3,314","3,320","2,030","1,430","1,494","1,403","1,185","2,049","2,513","1,554","1,460","1,580","2,315","1,332","1,286","1,350"
2021년11월_여_30~39세,"31,677","1,156","1,549","2,223","2,556","2,575","1,343","1,292",916,"1,112",947,"2,144","2,362","1,077","1,330","1,226","2,570","2,448","1,347","1,504"
2021년11월_여_40~49세,"42,889","1,582","2,007","2,203","2,578","3,328","2,201","2,053","2,758","3,546","1,738","2,800","2,872","1,466","1,842","1,763","2,840","1,913","1,808","1,591"
2021년11월_여_50~59세,"44,923","1,701","2,330","2,531","2,918","3,057","2,559","2,027","2,203","2,178","1,813","2,979","3,638","1,953","2,328","2,297","3,112","1,600","1,920","1,779"
2021년11월_여_60~69세,"37,757","1,624","2,480","2,618","2,992","2,482","2,007","1,425","1,104","1,124","1,418","2,786","3,225","1,512","2,296","2,018","2,323","1,352","1,580","1,391"
2021년11월_여_70~79세,"21,023","1,045","1,382","1,438","1,526","1,189","1,134",784,586,555,"1,129","2,058","1,573",726,"1,506","1,265","1,136",660,760,571
2021년11월_여_80~89세,"11,222",442,731,768,662,627,701,482,351,361,518,"1,131",783,389,767,654,681,370,450,354
2021년11월_여_90~99세,"1,944",76,134,117,130,98,94,73,55,53,99,173,156,73,109,117,157,63,99,68
2021년11월_여_100세 이상,81,5,5,6,3,5,4,0,4,3,3,8,7,5,3,8,7,3,1,1
