카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년01월_남_60~69세,"15,065",583,413,665,284,"1,368","1,403",672,789,328,"1,054","1,279",691,972,"1,653",847,234,190,407,237,194,802
2020년01월_남_70~79세,"7,131",341,340,426,201,601,599,263,341,164,353,478,337,481,662,252,164,166,261,156,160,385
2020년01월_남_80~89세,"2,149",114,100,116,52,160,177,70,99,57,135,151,73,145,154,69,74,48,82,77,95,101
2020년01월_남_90~99세,196,12,8,12,3,15,10,6,9,3,11,19,7,16,11,8,5,3,15,6,9,8
2020년01월_남_100세 이상,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2020년01월_여_총인구수,"201,362","5,637","3,340","8,032","2,428","15,992","12,017","5,791","8,277","3,478","13,175","21,923","10,634","16,201","39,852","11,535","1,043",963,"1,820","1,131","1,056","17,037"
2020년01월_여_연령구간인구수,"201,362","5,637","3,340","8,032","2,428","15,992","12,017","5,791","8,277","3,478","13,175","21,923","10,634","16,201","39,852","11,535","1,043",963,"1,820","1,131","1,056","17,037"
2020년01월_여_0~9세,"20,757",387,164,757,184,"2,007",950,389,629,360,981,"2,002","1,139","1,614","5,493","1,612",31,20,69,33,25,"1,911"
2020년01월_여_10~19세,"26,196",612,204,849,206,"1,792","1,009",607,"1,086",381,"1,772","2,931","1,591","2,027","6,713","1,483",53,45,78,52,39,"2,666"
2020년01월_여_20~29세,"26,967",786,460,"1,059",293,"1,817","1,687",926,"1,169",398,"2,309","3,638","1,374","2,355","4,447","1,368",75,79,169,62,72,"2,424"
2020년01월_여_30~39세,"28,032",610,402,"1,169",295,"2,774","1,567",607,929,444,"1,502","2,862","1,440","2,198","6,247","2,017",50,62,157,61,58,"2,581"
2020년01월_여_40~49세,"38,721",964,412,"1,368",351,"2,728","1,798",939,"1,592",656,"2,405","4,520","2,228","3,111","9,130","2,196",73,73,164,89,95,"3,829"
2020년01월_여_50~59세,"29,557",840,553,"1,209",401,"2,236","2,128","1,163","1,472",564,"2,618","3,587","1,437","2,605","4,346","1,536",156,142,261,160,139,"2,004"
2020년01월_여_60~69세,"15,355",707,510,756,328,"1,398","1,333",648,789,294,868,"1,180",744,"1,120","1,956",776,196,197,351,213,151,840
2020년01월_여_70~79세,"9,637",493,421,558,236,766,872,299,396,223,428,716,454,766,997,335,204,204,311,213,241,504
2020년01월_여_80~89세,"5,230",201,179,259,100,388,566,187,184,143,240,431,203,352,442,179,174,126,210,215,207,244
2020년01월_여_90~99세,853,35,29,43,30,81,104,26,29,14,51,54,21,51,76,29,29,13,48,31,26,33
2020년01월_여_100세 이상,57,2,6,5,4,5,3,0,2,1,1,2,3,2,5,4,2,2,2,2,3,1
