,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년06월_계_80~89세,"12,532",774,871,746,759,395,603,"1,015",687,704,437,892,561,433,292,802,"1,206",644,711
2020년06월_계_90~99세,"1,663",106,142,106,92,56,84,112,86,94,59,130,59,50,43,108,161,91,84
2020년06월_계_100세 이상,159,26,8,2,16,8,2,1,1,0,4,3,15,6,2,27,25,6,7
2020년06월_남_총인구수,"194,638","11,210","14,887","13,431","11,815","7,533","8,642","15,030","7,878","11,346","4,870","17,709","6,590","4,517","8,138","7,429","12,045","18,892","12,676"
2020년06월_남_연령구간인구수,"194,638","11,210","14,887","13,431","11,815","7,533","8,642","15,030","7,878","11,346","4,870","17,709","6,590","4,517","8,138","7,429","12,045","18,892","12,676"
2020년06월_남_0~9세,"15,119",674,"1,501","1,439",934,633,668,"1,127",597,966,292,"1,433",280,156,692,213,525,"2,243",746
2020년06월_남_10~19세,"20,015",835,"1,637","1,565","1,184",576,"1,140","1,543",983,"1,568",286,"2,266",387,294,804,465,839,"2,567","1,076"
2020년06월_남_20~29세,"26,013","1,557","1,848","1,556","1,615",923,"1,343","2,434","1,091","1,642",667,"2,340",860,558,"1,214",957,"1,429","2,164","1,815"
2020년06월_남_30~39세,"23,177","1,516","1,778","1,453","1,440","1,087",973,"2,116",847,"1,121",706,"1,834",905,504,"1,044",707,"1,209","2,322","1,615"
2020년06월_남_40~49세,"31,652","1,725","2,461","2,245","1,955","1,306","1,457","2,257","1,160","1,872",709,"3,011",971,647,"1,272","1,081","1,829","3,724","1,970"
2020년06월_남_50~59세,"33,737","1,857","2,587","2,234","2,060","1,250","1,557","2,622","1,433","2,084",790,"3,183","1,215",887,"1,418","1,464","2,175","2,697","2,224"
2020년06월_남_60~69세,"26,620","1,683","1,757","1,747","1,514","1,121",851,"1,728",998,"1,251",857,"2,260","1,129",826,"1,138","1,371","2,346","1,957","2,086"
2020년06월_남_70~79세,"13,467","1,015",949,862,789,481,397,801,501,577,414,"1,033",649,484,472,856,"1,308",966,913
2020년06월_남_80~89세,"4,429",320,335,301,296,139,222,376,239,243,142,317,181,147,76,287,351,237,220
2020년06월_남_90~99세,365,21,32,28,25,15,33,26,28,22,7,29,11,12,7,18,28,13,10
2020년06월_남_100세 이상,44,7,2,1,3,2,1,0,1,0,0,3,2,2,1,10,6,2,1
2020년06월_여_총인구수,"209,285","12,171","16,301","15,058","12,746","8,284","9,781","17,474","8,817","12,422","5,209","17,977","6,967","4,718","8,369","7,353","12,692","19,531","13,415"
2020년06월_여_연령구간인구수,"209,285","12,171","16,301","15,058","12,746","8,284","9,781","17,474","8,817","12,422","5,209","17,977","6,967","4,718","8,369","7,353","12,692","19,531","13,415"
2020년06월_여_0~9세,"13,954",683,"1,364","1,351",835,626,639,"1,073",581,838,245,"1,289",269,138,641,208,487,"1,987",700
2020년06월_여_10~19세,"18,794",801,"1,580","1,565","1,086",554,997,"1,430",907,"1,552",252,"2,065",369,268,786,399,782,"2,361","1,040"
2020년06월_여_20~29세,"23,695","1,533","1,700","1,420","1,542",826,"1,471","2,735",932,"1,457",565,"1,954",700,479,"1,012",760,"1,134","1,991","1,484"
2020년06월_여_30~39세,"24,519","1,545","2,124","1,970","1,510","1,173","1,189","2,418",937,"1,293",620,"1,965",717,367,"1,040",512,954,"2,696","1,489"
2020년06월_여_40~49세,"34,961","1,857","2,911","2,706","2,274","1,377","1,891","2,883","1,465","2,353",615,"3,426",885,555,"1,367",818,"1,511","4,040","2,027"
2020년06월_여_50~59세,"37,099","2,090","2,810","2,615","2,253","1,541","1,610","3,166","1,629","2,299",991,"3,151","1,306",928,"1,611","1,378","2,302","2,752","2,667"
2020년06월_여_60~69세,"29,687","1,947","2,042","1,927","1,687","1,260",913,"1,898","1,140","1,307","1,010","2,297","1,376","1,016","1,170","1,439","2,682","2,211","2,365"
2020년06월_여_70~79세,"17,060","1,157","1,118",980,"1,016",624,638,"1,145",720,790,560,"1,154",904,639,489,"1,217","1,833","1,004","1,072"
2020년06월_여_80~89세,"8,103",454,536,445,463,256,381,639,448,461,295,575,380,286,216,515,855,407,491
2020년06월_여_90~99세,"1,298",85,110,78,67,41,51,86,58,72,52,101,48,38,36,90,133,78,74
2020년06월_여_100세 이상,115,19,6,1,13,6,1,1,0,0,4,0,13,4,1,17,19,4,6
