,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년10월_계_80~89세,"27,741","5,254",883,926,518,950,352,872,753,"3,693",622,527,464,349,710,525,257,239,"7,439",347,496,307,519,312,48,861,543,700,462,471,603,952,388,430,"5,768","1,524",618,363,591,379,358,632,308,274,328,274,119,"5,587",727,674,328,388,343,305,322,462,328,491,367,273,579
2021년10월_계_90~99세,"3,684",733,108,141,80,132,42,110,120,565,89,80,78,65,94,79,41,39,"1,064",72,84,71,94,37,6,124,79,78,50,45,87,128,48,61,623,147,68,55,56,36,40,88,32,23,37,27,14,699,106,77,40,37,38,50,44,56,31,55,38,44,83
2021년10월_계_100세 이상,91,23,2,5,2,4,2,5,3,11,4,1,1,3,1,1,0,0,23,1,1,1,2,1,0,3,0,5,1,1,2,1,3,1,22,2,7,0,0,4,0,0,5,1,0,1,2,12,3,1,1,0,1,1,1,1,1,1,1,0,0
2021년10월_남_총인구수,"523,629","111,085","10,063","21,836","3,602","25,550","13,242","21,102","15,690","128,793","20,766","14,838","18,678","13,989","22,228","20,508","13,716","4,070","90,077","2,181","6,272","1,815","1,921","6,981",626,"21,012","5,489","7,022","4,355","5,091","7,960","9,589","3,694","6,069","93,919","31,980","5,061","4,950","8,453","3,087","5,530","15,438","4,736","3,738","4,449","4,691","1,806","99,755","8,783","4,167","2,261","5,668","3,671","8,978","4,552","10,604","5,002","12,901","6,614","3,420","23,134"
2021년10월_남_연령구간인구수,"523,629","111,085","10,063","21,836","3,602","25,550","13,242","21,102","15,690","128,793","20,766","14,838","18,678","13,989","22,228","20,508","13,716","4,070","90,077","2,181","6,272","1,815","1,921","6,981",626,"21,012","5,489","7,022","4,355","5,091","7,960","9,589","3,694","6,069","93,919","31,980","5,061","4,950","8,453","3,087","5,530","15,438","4,736","3,738","4,449","4,691","1,806","99,755","8,783","4,167","2,261","5,668","3,671","8,978","4,552","10,604","5,002","12,901","6,614","3,420","23,134"
2021년10월_남_0~9세,"41,133","8,784",513,"3,218",129,"2,073","1,015","1,132",704,"9,537","1,563","1,088","1,147","1,008","1,635","1,770","1,111",215,"6,850",61,563,30,21,"1,062",32,"2,331",240,423,189,234,615,493,198,358,"6,362","2,393",195,337,560,81,296,"1,533",334,123,188,249,73,"9,600",693,173,90,518,264,716,186,"1,146",532,"1,764",950,250,"2,318"
2021년10월_남_10~19세,"51,279","10,186",979,"2,030",202,"2,375","1,435","2,030","1,135","13,598","2,734","1,398","1,303","1,717","2,412","2,032","1,611",391,"7,325",76,522,78,77,630,27,"2,079",323,691,335,479,698,621,233,456,"9,243","4,122",318,414,629,163,441,"1,801",283,238,333,384,117,"10,927",895,337,143,531,402,"1,254",286,"1,165",626,"1,677",493,362,"2,756"
2021년10월_남_20~29세,"70,827","15,734","1,303","2,008",353,"3,736","2,105","3,454","2,775","20,899","3,015","2,481","3,540","2,276","3,446","3,320","2,219",602,"10,530",186,593,145,142,574,93,"2,829",984,829,562,630,823,"1,033",386,721,"11,783","4,468",516,556,947,313,721,"1,802",610,489,519,645,197,"11,881","1,381",486,249,646,428,"1,248",652,"1,206",675,"1,224",657,384,"2,645"
2021년10월_남_30~39세,"69,258","15,034",956,"3,635",398,"3,663","1,951","2,267","2,164","18,453","2,260","2,140","3,482","1,796","3,229","3,199","1,812",535,"11,300",178,724,121,95,"1,106",78,"3,240",565,765,434,498,"1,054","1,179",501,762,"10,848","3,151",520,695,"1,224",313,678,"1,908",670,425,480,562,222,"13,623","1,175",381,194,768,410,"1,098",604,"1,528",633,"1,729","1,209",394,"3,500"
2021년10월_남_40~49세,"84,846","17,392","1,568","4,034",444,"4,010","2,099","3,086","2,151","19,568","3,349","2,164","2,807","2,119","3,466","3,055","1,973",635,"14,104",259,"1,091",187,159,"1,359",77,"3,322",739,"1,111",618,704,"1,276","1,621",608,973,"14,998","5,371",737,733,"1,288",399,822,"2,725",723,557,625,707,311,"18,784","1,513",584,318,879,619,"1,643",747,"1,928",840,"2,592","1,162",582,"5,377"
2021년10월_남_50~59세,"91,618","20,222","1,977","2,937",655,"4,674","2,540","4,464","2,975","24,691","4,058","2,833","3,417","2,759","4,126","3,863","2,924",711,"14,726",377,"1,058",373,404,936,99,"3,168",907,"1,173",790,877,"1,274","1,633",610,"1,047","16,755","6,256",866,784,"1,385",571,916,"2,460",781,697,878,813,348,"15,224","1,219",696,398,891,558,"1,461",759,"1,654",699,"1,686",935,604,"3,664"
2021년10월_남_60~69세,"74,397","16,096","1,696","2,744",864,"3,430","1,533","3,207","2,622","16,477","2,717","1,932","2,185","1,828","2,990","2,538","1,662",625,"14,889",594,"1,030",501,536,833,138,"2,597",978,"1,137",860,983,"1,304","1,714",661,"1,023","14,842","4,136","1,043",851,"1,418",726,"1,020","2,115",816,702,865,818,332,"12,093","1,013",702,456,869,556,"1,061",806,"1,356",607,"1,492",778,526,"1,871"
2021년10월_남_70~79세,"30,207","5,823",788,940,397,"1,256",432,"1,112",898,"4,366",852,622,622,363,731,577,336,263,"7,623",336,515,275,323,369,68,"1,134",554,645,399,517,685,921,340,542,"6,896","1,583",613,451,763,361,498,825,402,409,430,397,164,"5,499",595,525,284,427,312,366,400,469,281,530,296,236,778
2021년10월_남_80~89세,"9,374","1,680",273,269,144,307,124,323,240,"1,107",208,164,161,107,179,142,63,83,"2,522",103,162,96,147,104,10,293,186,230,156,162,212,344,143,174,"2,081",485,241,120,225,147,133,252,111,94,123,111,39,"1,984",275,267,120,131,118,116,108,139,102,200,122,76,210
2021년10월_남_90~99세,675,130,10,20,15,26,8,26,25,94,10,15,14,15,14,11,5,10,205,11,14,9,17,7,4,19,13,18,12,7,18,30,13,13,109,15,12,9,14,12,5,17,5,4,8,5,3,137,23,16,9,8,3,15,4,13,7,7,11,6,15
2021년10월_남_100세 이상,15,4,0,1,1,0,0,1,1,3,0,1,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0
2021년10월_여_총인구수,"510,100","107,149","9,693","21,527","3,522","24,929","12,681","20,385","14,412","123,603","20,368","14,714","15,925","13,820","22,542","19,936","12,592","3,706","91,069","2,030","5,909","1,587","1,951","7,129",577,"21,278","5,602","7,435","4,648","5,262","8,087","9,805","3,586","6,183","93,614","31,663","5,163","5,090","8,472","2,991","5,478","15,859","4,583","3,738","4,434","4,708","1,435","94,665","8,151","4,272","2,207","5,501","3,777","8,549","4,044","10,692","5,147","12,870","6,387","3,249","19,819"
2021년10월_여_연령구간인구수,"510,100","107,149","9,693","21,527","3,522","24,929","12,681","20,385","14,412","123,603","20,368","14,714","15,925","13,820","22,542","19,936","12,592","3,706","91,069","2,030","5,909","1,587","1,951","7,129",577,"21,278","5,602","7,435","4,648","5,262","8,087","9,805","3,586","6,183","93,614","31,663","5,163","5,090","8,472","2,991","5,478","15,859","4,583","3,738","4,434","4,708","1,435","94,665","8,151","4,272","2,207","5,501","3,777","8,549","4,044","10,692","5,147","12,870","6,387","3,249","19,819"
2021년10월_여_0~9세,"38,611","8,450",527,"3,022",108,"2,068",951,"1,077",697,"9,011","1,511",954,"1,027",976,"1,585","1,737","1,015",206,"6,409",44,485,27,23,"1,005",28,"2,212",235,380,179,184,589,479,201,338,"5,967","2,253",163,312,539,73,240,"1,482",296,115,194,240,60,"8,774",671,122,74,440,253,683,154,"1,121",483,"1,530",840,225,"2,178"
2021년10월_여_10~19세,"46,906","9,150",809,"1,948",163,"2,196","1,224","1,812",998,"12,162","2,407","1,228","1,187","1,550","2,200","1,874","1,371",345,"6,908",75,501,53,60,641,27,"1,976",341,649,365,366,629,540,197,488,"8,450","3,750",286,363,578,150,383,"1,668",278,210,315,376,93,"10,236",897,286,119,462,351,"1,168",237,"1,094",579,"1,625",512,334,"2,572"
2021년10월_여_20~29세,"55,692","12,450",889,"1,633",269,"3,029","1,762","2,774","2,094","16,351","2,312","2,041","2,681","1,753","2,870","2,566","1,741",387,"8,490",92,471,103,70,553,77,"2,213",746,663,496,493,701,913,288,611,"9,501","3,528",384,530,823,218,556,"1,441",500,429,385,600,107,"8,900",787,315,181,498,346,956,423,"1,016",508,974,593,274,"2,029"
2021년10월_여_30~39세,"61,409","13,386",793,"3,887",245,"3,203","1,753","1,969","1,536","16,063","2,227","1,893","2,586","1,620","2,930","2,918","1,526",363,"10,088",85,616,73,74,"1,175",69,"3,105",485,668,357,383,944,"1,030",375,649,"9,653","3,086",350,623,"1,037",212,564,"1,964",557,289,362,468,141,"12,219",917,291,141,644,356,972,380,"1,514",606,"1,900","1,180",337,"2,981"
2021년10월_여_40~49세,"81,519","16,527","1,464","3,534",313,"3,945","2,226","3,094","1,951","21,091","3,796","2,381","2,421","2,506","3,949","3,260","2,192",586,"12,576",129,891,104,111,"1,204",74,"3,352",623,"1,072",571,680,"1,151","1,327",456,831,"14,370","5,783",595,635,"1,050",295,728,"2,832",589,476,546,644,197,"16,955","1,348",538,230,844,583,"1,762",520,"1,870",867,"2,550","1,011",548,"4,284"
2021년10월_여_50~59세,"93,079","20,887","1,907","3,182",633,"4,978","2,569","4,629","2,989","26,470","4,202","3,194","3,172","3,159","4,890","4,238","2,924",691,"14,805",340,900,292,292,961,81,"3,459",941,"1,262",869,998,"1,235","1,576",580,"1,019","16,965","6,205",839,814,"1,437",540,962,"2,722",824,668,840,845,269,"13,952","1,013",670,358,905,619,"1,345",738,"1,762",717,"1,792",871,529,"2,633"
2021년10월_여_60~69세,"76,135","15,723","1,693","2,564",821,"3,473","1,439","3,167","2,566","14,777","2,551","1,913","1,922","1,552","2,646","2,237","1,291",665,"16,663",585,"1,084",396,469,939,118,"2,982","1,137","1,353",963,"1,152","1,466","2,013",756,"1,250","16,198","3,978","1,283",967,"1,659",752,"1,203","2,320",854,886,"1,070",921,305,"12,774","1,153",866,494,952,647,"1,028",892,"1,373",732,"1,540",747,507,"1,843"
2021년10월_여_70~79세,"35,297","6,380",901,975,530,"1,284",493,"1,226",971,"4,613",865,682,561,410,860,655,302,278,"9,334",374,556,265,401,413,63,"1,303",671,853,503,658,911,"1,220",451,692,"8,289","1,907",823,557,941,492,582,979,457,465,488,428,170,"6,681",828,715,370,470,362,410,445,575,404,619,361,260,862
2021년10월_여_80~89세,"18,367","3,574",610,657,374,643,228,549,513,"2,586",414,363,303,242,531,383,194,156,"4,917",244,334,211,372,208,38,568,357,470,306,309,391,608,245,256,"3,687","1,039",377,243,366,232,225,380,197,180,205,163,80,"3,603",452,407,208,257,225,189,214,323,226,291,245,197,369
2021년10월_여_90~99세,"3,009",603,98,121,65,106,34,84,95,471,79,65,64,50,80,68,36,29,859,61,70,62,77,30,2,105,66,60,38,38,69,98,35,48,514,132,56,46,42,24,35,71,27,19,29,22,11,562,83,61,31,29,35,35,40,43,24,48,27,38,68
2021년10월_여_100세 이상,76,19,2,4,1,4,2,4,2,8,4,0,1,2,1,0,0,0,20,1,1,1,2,0,0,3,0,5,1,1,1,1,2,1,20,2,7,0,0,3,0,0,4,1,0,1,2,9,2,1,1,0,0,1,1,1,1,1,0,0,0
