,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년04월_남_70~79세,"7,436",516,360,262,269,346,249,160,153,237,224,150,168,163,178,317,240,698,450,639,325,299,468,346,219
2020년04월_남_80~89세,"3,228",259,207,152,129,160,125,92,72,96,133,84,89,87,79,106,72,275,181,238,120,91,178,129,74
2020년04월_남_90~99세,322,32,20,14,22,19,15,5,8,20,13,8,8,8,8,6,8,24,18,15,9,11,13,11,7
2020년04월_남_100세 이상,15,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,3,0,2,0,0,1,2,0
2020년04월_여_총인구수,"80,315","3,212","2,006","1,466","1,710","2,550","1,466",948,"1,039","1,386","1,356",866,929,782,850,"2,635","2,655","11,352","4,825","6,807","3,367","3,223","11,615","8,085","5,185"
2020년04월_여_연령구간인구수,"80,315","3,212","2,006","1,466","1,710","2,550","1,466",948,"1,039","1,386","1,356",866,929,782,850,"2,635","2,655","11,352","4,825","6,807","3,367","3,223","11,615","8,085","5,185"
2020년04월_여_0~9세,"5,198",97,43,38,39,101,25,18,22,39,30,11,19,14,7,121,149,938,312,468,219,180,"1,037",729,542
2020년04월_여_10~19세,"6,626",137,88,38,56,123,50,30,46,54,37,31,18,23,37,179,223,"1,159",445,443,262,296,"1,295",824,732
2020년04월_여_20~29세,"7,571",202,133,49,159,277,61,37,66,74,63,35,37,22,30,229,248,"1,354",403,657,295,333,"1,353",867,587
2020년04월_여_30~39세,"7,629",171,85,61,84,264,59,35,55,64,47,23,38,25,25,277,241,"1,286",430,762,310,266,"1,378","1,027",616
2020년04월_여_40~49세,"10,807",229,130,112,142,231,98,60,74,101,49,53,46,37,52,295,345,"1,840",695,908,450,445,"1,993","1,343","1,079"
2020년04월_여_50~59세,"13,119",501,309,239,262,355,211,126,202,215,221,135,181,126,135,408,480,"1,773",777,"1,184",581,636,"1,929","1,429",704
2020년04월_여_60~69세,"12,731",681,420,308,393,447,324,194,217,318,309,206,218,211,195,508,437,"1,439",803,"1,152",631,597,"1,350",930,443
2020년04월_여_70~79세,"9,280",600,408,303,280,407,323,214,181,255,349,202,203,178,189,375,323,912,575,770,380,308,740,531,274
2020년04월_여_80~89세,"6,219",510,332,267,238,295,261,190,148,224,220,152,149,121,161,199,186,557,329,395,187,139,447,344,168
2020년04월_여_90~99세,"1,086",78,54,50,57,48,52,43,28,40,30,13,18,25,19,44,23,91,51,63,50,23,91,58,37
2020년04월_여_100세 이상,49,6,4,1,0,2,2,1,0,2,1,5,2,0,0,0,0,3,5,5,2,0,2,3,3
