,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년03월_남_40~49세,"57,988","21,976","2,306",276,248,279,203,169,434,123,376,284,652,714,"1,524","2,186","4,546","5,069","2,587","36,012","2,037","2,246","2,060",645,"1,335","2,158",944,"3,103","1,486","4,002","6,965","3,811","5,220"
2021년03월_남_50~59세,"52,659","22,097","2,431",417,444,463,343,257,597,247,605,366,886,945,"1,658","2,015","3,481","4,202","2,740","30,562","2,340","2,015","1,913",976,"1,632","1,934","1,191","3,158","1,682","2,828","4,532","3,350","3,011"
2021년03월_남_60~69세,"33,307","16,248","1,542",519,559,504,419,279,600,287,604,379,751,796,"1,246","1,319","1,680","2,658","2,106","17,059","1,977","1,341","1,232",845,"1,227","1,295",951,"1,630","1,000","1,308","1,429","1,522","1,302"
2021년03월_남_70~79세,"13,699","7,163",700,265,268,250,227,158,283,174,321,163,388,448,479,563,574,"1,018",884,"6,536","1,132",541,514,446,564,433,340,520,343,409,394,551,349
2021년03월_남_80~89세,"5,275","2,845",302,117,121,122,104,92,145,97,125,65,130,210,148,195,188,367,317,"2,430",476,220,226,187,177,134,122,187,135,117,134,212,103
2021년03월_남_90~99세,492,283,34,12,18,15,6,6,18,8,14,10,13,12,15,17,25,39,21,209,35,17,12,31,16,12,14,16,12,12,11,13,8
2021년03월_남_100세 이상,22,14,1,0,0,0,1,0,0,1,4,0,1,0,1,2,1,2,0,8,2,1,0,0,2,1,0,1,0,0,1,0,0
2021년03월_여_총인구수,"321,786","126,710","11,821","1,876","2,133","2,088","1,524","1,042","2,823",979,"2,615","1,776","4,208","4,546","8,866","11,794","22,048","27,761","18,810","195,076","11,548","10,344","9,067","3,919","7,505","11,973","7,136","19,194","9,789","20,240","34,837","22,541","26,983"
2021년03월_여_연령구간인구수,"321,786","126,710","11,821","1,876","2,133","2,088","1,524","1,042","2,823",979,"2,615","1,776","4,208","4,546","8,866","11,794","22,048","27,761","18,810","195,076","11,548","10,344","9,067","3,919","7,505","11,973","7,136","19,194","9,789","20,240","34,837","22,541","26,983"
2021년03월_여_0~9세,"29,896","9,692",820,65,52,57,39,23,122,13,87,50,184,144,508,"1,058","2,234","2,878","1,358","20,204",564,915,641,146,351,472,413,"1,682",715,"2,763","5,094","1,913","4,535"
2021년03월_여_10~19세,"32,802","12,476","1,269",115,86,111,85,42,167,24,128,91,290,302,659,"1,554","2,776","3,386","1,391","20,326","1,045","1,151",887,243,526,641,602,"2,342","1,090","2,736","4,599","2,043","2,421"
2021년03월_여_20~29세,"45,467","16,466","1,242",133,159,150,99,67,247,57,260,268,450,506,"1,410","1,256","2,828","3,358","3,976","29,001","1,192","1,110",970,342,"1,069","3,217","1,232","2,847","1,249","2,446","4,364","5,039","3,924"
2021년03월_여_30~39세,"48,787","15,520","1,179",126,134,136,66,58,199,32,199,182,398,344,"1,110","1,347","3,189","4,134","2,687","33,267",926,"1,312","1,096",255,896,"2,208",846,"2,512","1,157","3,519","7,369","4,033","7,138"
2021년03월_여_40~49세,"53,909","20,584","2,138",168,195,231,125,72,301,50,299,201,552,629,"1,401","2,190","4,434","5,107","2,491","33,325","1,628","1,881","1,568",440,"1,052","1,649",977,"3,548","1,677","3,894","7,185","3,646","4,180"
2021년03월_여_50~59세,"49,962","21,279","2,045",323,403,381,258,173,561,182,448,291,844,893,"1,599","2,025","3,438","4,221","3,194","28,683","1,919","1,661","1,622",785,"1,410","1,645","1,358","3,496","1,877","2,773","4,098","3,263","2,776"
2021년03월_여_60~69세,"32,600","16,064","1,544",432,490,486,370,245,556,237,591,345,774,837,"1,248","1,251","1,778","2,668","2,212","16,536","2,010","1,211","1,166",795,"1,175","1,223","1,023","1,633","1,034","1,274","1,324","1,448","1,220"
2021년03월_여_70~79세,"16,535","8,419",874,258,292,262,241,186,347,184,368,222,416,545,590,680,788,"1,214",952,"8,116","1,322",632,642,516,666,558,415,690,558,488,469,705,455
2021년03월_여_80~89세,"10,015","5,244",608,217,272,223,193,153,271,163,203,111,250,303,288,370,506,654,459,"4,771",812,406,409,338,313,293,226,385,362,291,270,384,282
2021년03월_여_90~99세,"1,740",925,100,39,49,51,45,21,50,34,25,14,47,43,51,61,76,135,84,815,122,64,62,57,42,65,43,58,70,53,63,65,51
2021년03월_여_100세 이상,73,41,2,0,1,0,3,2,2,3,7,1,3,0,2,2,1,6,6,32,8,1,4,2,5,2,1,1,0,3,2,2,1
