,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년12월_계_80~89세,"17,393",765,"1,086","1,188","1,093","1,016",987,714,546,524,814,"1,666","1,311",631,"1,264",991,"1,038",557,682,520
2021년12월_계_90~99세,"2,571",102,185,151,167,133,135,102,73,68,137,224,196,92,134,163,200,90,126,93
2021년12월_계_100세 이상,86,7,7,4,4,5,4,0,3,3,3,7,10,5,4,8,7,2,2,1
2021년12월_남_총인구수,"246,053","11,149","12,794","14,266","17,849","19,690","12,728","10,476","11,659","13,002","9,584","15,690","18,451","9,889","13,003","11,607","15,088","10,816","9,656","8,656"
2021년12월_남_연령구간인구수,"246,053","11,149","12,794","14,266","17,849","19,690","12,728","10,476","11,659","13,002","9,584","15,690","18,451","9,889","13,003","11,607","15,088","10,816","9,656","8,656"
2021년12월_남_0~9세,"15,827",562,812,"1,063",969,"1,562",567,731,762,"1,002",549,942,"1,069",437,669,521,"1,159","1,180",619,652
2021년12월_남_10~19세,"26,107",864,"1,033","1,098","1,297","2,183","1,629","1,367","2,226","2,882","1,172","1,450","1,672",885,"1,080",993,"1,498",954,"1,015",809
2021년12월_남_20~29세,"35,747","2,135","1,636","1,700","3,205","3,311","2,325","1,476","1,552","1,510","1,266","2,048","2,569","1,601","1,643","1,724","2,119","1,335","1,371","1,221"
2021년12월_남_30~39세,"31,436","1,397","1,521","2,225","2,564","2,748","1,333","1,203",865,833,949,"1,995","2,365","1,201","1,511","1,375","2,242","2,311","1,372","1,426"
2021년12월_남_40~49세,"38,955","1,696","2,056","2,276","2,724","3,074","1,756","1,770","2,024","2,714","1,571","2,624","2,641","1,418","1,882","1,697","2,390","1,856","1,473","1,313"
2021년12월_남_50~59세,"42,067","1,726","2,198","2,178","2,745","3,028","2,371","1,857","2,347","2,403","1,769","2,658","3,250","1,927","2,348","2,145","2,565","1,440","1,648","1,464"
2021년12월_남_60~69세,"32,887","1,536","2,002","2,107","2,596","2,271","1,724","1,240","1,219","1,087","1,260","2,171","2,978","1,485","2,154","1,795","1,868","1,002","1,292","1,100"
2021년12월_남_70~79세,"16,248",883,"1,127","1,163","1,280","1,092",699,575,450,395,722,"1,215","1,344",670,"1,195",975,853,521,609,480
2021년12월_남_80~89세,"6,141",324,360,428,429,379,286,228,197,158,289,534,516,242,494,336,350,192,231,168
2021년12월_남_90~99세,627,24,48,28,39,42,38,29,17,17,37,53,44,22,26,46,44,25,25,23
2021년12월_남_100세 이상,11,2,1,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,1,0
2021년12월_여_총인구수,"264,903","10,453","13,774","15,619","18,761","20,684","13,834","11,501","12,296","13,776","10,344","18,506","19,675","10,091","13,163","12,333","17,553","11,731","10,788","10,021"
2021년12월_여_연령구간인구수,"264,903","10,453","13,774","15,619","18,761","20,684","13,834","11,501","12,296","13,776","10,344","18,506","19,675","10,091","13,163","12,333","17,553","11,731","10,788","10,021"
2021년12월_여_0~9세,"14,831",533,770,"1,031",919,"1,423",491,663,663,871,520,892,"1,041",453,649,501,"1,088","1,085",609,629
2021년12월_여_10~19세,"24,205",726,958,960,"1,234","2,069","1,291","1,297","2,184","2,625",973,"1,540","1,553",890,893,937,"1,388",948,944,795
2021년12월_여_20~29세,"34,209","1,555","1,454","1,736","3,304","3,365","2,019","1,416","1,493","1,385","1,193","2,029","2,486","1,546","1,448","1,555","2,281","1,317","1,289","1,338"
2021년12월_여_30~39세,"31,702","1,168","1,521","2,227","2,520","2,752","1,346","1,293",921,"1,102",951,"2,131","2,346","1,070","1,329","1,228","2,542","2,414","1,335","1,506"
2021년12월_여_40~49세,"42,815","1,573","2,010","2,200","2,568","3,423","2,192","2,034","2,737","3,530","1,723","2,790","2,848","1,462","1,843","1,754","2,832","1,909","1,801","1,586"
2021년12월_여_50~59세,"44,962","1,697","2,335","2,517","2,899","3,156","2,547","2,026","2,200","2,175","1,819","2,970","3,633","1,958","2,330","2,283","3,105","1,608","1,924","1,780"
2021년12월_여_60~69세,"37,860","1,630","2,474","2,625","2,988","2,556","2,010","1,425","1,107","1,125","1,412","2,797","3,233","1,519","2,281","2,028","2,331","1,355","1,572","1,392"
2021년12월_여_70~79세,"21,048","1,047","1,383","1,436","1,534","1,207","1,136",788,583,544,"1,125","2,047","1,581",730,"1,509","1,267","1,135",663,761,572
2021년12월_여_80~89세,"11,252",441,726,760,664,637,701,486,349,366,525,"1,132",795,389,770,655,688,365,451,352
2021년12월_여_90~99세,"1,944",78,137,123,128,91,97,73,56,51,100,171,152,70,108,117,156,65,101,70
2021년12월_여_100세 이상,75,5,6,4,3,5,4,0,3,2,3,7,7,4,3,8,7,2,1,1
