,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년01월_남_70~79세,"10,381",258,186,195,199,182,380,227,221,192,199,246,214,372,483,421,295,551,673,444,309,167,"1,001",520,738,778,489,441
2021년01월_남_80~89세,"3,470",106,73,106,72,92,167,84,88,79,58,85,59,143,152,168,76,187,181,137,85,79,281,144,257,254,129,128
2021년01월_남_90~99세,335,13,3,9,12,14,22,3,13,12,5,13,4,8,11,13,12,12,16,14,3,7,27,12,34,22,12,9
2021년01월_남_100세 이상,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
2021년01월_여_총인구수,"132,487","1,528","2,329","1,686","1,307","1,281","2,536","1,467","1,441","1,054","1,483","1,491","1,214","2,776","3,590","2,922","2,188","6,369","10,981","3,742","3,921","1,406","27,774","6,351","12,317","16,168","7,627","5,538"
2021년01월_여_연령구간인구수,"132,487","1,528","2,329","1,686","1,307","1,281","2,536","1,467","1,441","1,054","1,483","1,491","1,214","2,776","3,590","2,922","2,188","6,369","10,981","3,742","3,921","1,406","27,774","6,351","12,317","16,168","7,627","5,538"
2021년01월_여_0~9세,"10,214",43,288,91,28,30,76,36,57,17,48,56,59,91,171,76,102,503,"1,270",194,246,88,"3,280",322,865,"1,273",549,355
2021년01월_여_10~19세,"12,926",53,186,162,48,57,95,66,70,41,77,69,67,193,285,174,95,544,980,230,330,115,"3,727",514,"1,485","2,056",801,406
2021년01월_여_20~29세,"13,427",89,161,98,93,66,154,102,94,50,122,110,88,181,340,246,230,656,"1,210",333,503,116,"3,149",683,"1,333","1,910",803,507
2021년01월_여_30~39세,"14,564",64,371,107,56,58,156,72,92,57,97,90,97,218,267,181,263,808,"1,799",330,420,112,"3,932",581,"1,118","1,747",862,609
2021년01월_여_40~49세,"20,612",118,320,198,81,93,209,125,116,90,164,143,113,324,448,268,255,912,"1,712",462,527,175,"5,564",949,"2,061","3,046","1,320",819
2021년01월_여_50~59세,"20,961",247,310,234,222,191,351,279,268,149,310,197,172,447,526,472,330,975,"1,508",598,757,243,"3,841","1,215","2,082","2,758","1,315",964
2021년01월_여_60~69세,"19,197",353,305,281,299,289,589,326,309,244,325,315,261,604,729,608,427,969,"1,366",754,630,262,"2,330","1,125","1,734","1,802","1,050",911
2021년01월_여_70~79세,"12,599",295,203,267,234,231,491,249,238,205,221,289,241,466,542,580,318,681,729,581,326,180,"1,252",643,952,"1,009",604,572
2021년01월_여_80~89세,"6,651",217,148,200,194,211,336,180,160,172,101,187,94,204,240,272,142,275,337,220,144,97,586,265,594,489,247,339
2021년01월_여_90~99세,"1,247",46,37,48,47,49,73,28,34,27,16,30,18,41,38,43,24,44,66,38,38,17,108,53,90,76,70,48
2021년01월_여_100세 이상,89,3,0,0,5,6,6,4,3,2,2,5,4,7,4,2,2,2,4,2,0,1,5,1,3,2,6,8
