,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년12월_여_0~9세,"31,567","1,988","4,033","4,281",789,473,"1,944",889,605,161,95,"2,633","1,613",366,84,"5,017","2,387","4,209"
2020년12월_여_10~19세,"37,547","3,626","5,534","5,489",615,946,"3,250","1,246",898,251,126,"3,250","2,460",565,99,"3,951","1,814","3,427"
2020년12월_여_20~29세,"40,668","3,684","4,959","5,814",754,"1,493","3,110","1,937","1,249",343,175,"2,686","2,213","1,124",216,"4,453","1,892","4,566"
2020년12월_여_30~39세,"45,369","3,082","5,248","6,263","1,086","1,071","2,720","1,581",866,351,200,"3,319","2,207",923,189,"6,867","3,251","6,145"
2020년12월_여_40~49세,"64,854","5,851","8,685","9,706","1,208","1,578","5,083","2,154","1,642",464,255,"5,595","3,810","1,070",175,"7,288","3,610","6,680"
2020년12월_여_50~59세,"57,252","5,504","7,096","8,413","1,101","2,438","4,535","2,976","1,728",814,348,"3,637","2,835","1,968",393,"5,148","2,629","5,689"
2020년12월_여_60~69세,"42,681","3,987","5,507","6,155",949,"1,895","2,929","2,242","1,403",935,423,"2,505","1,783","1,744",441,"3,692","1,818","4,273"
2020년12월_여_70~79세,"24,347","2,547","3,266","3,762",438,"1,081","2,011","1,193",959,584,234,"1,657","1,053",882,248,"1,763",771,"1,898"
2020년12월_여_80~89세,"11,616","1,172","1,553","1,632",227,600,930,614,431,309,131,674,538,569,136,847,353,900
2020년12월_여_90~99세,"2,059",215,231,277,48,109,143,79,77,106,33,126,86,103,18,163,67,178
2020년12월_여_100세 이상,164,23,12,24,0,12,3,6,15,4,0,6,4,11,8,14,10,12
