카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2021년11월_남_60~69세,"30,555","2,419","2,093","1,613","1,215","1,017",429,846,667,598,"2,397","1,604","1,059",635,"1,470",403,481,"1,537",816,382,"2,175","2,712",820,"1,572","1,072",523
2021년11월_남_70~79세,"12,714","1,196",851,638,534,487,209,420,313,378,978,749,329,300,571,160,260,681,388,199,804,960,265,559,323,162
2021년11월_남_80~89세,"5,291",588,374,235,200,177,89,168,154,156,370,324,138,125,242,81,125,292,160,72,315,457,91,238,91,29
2021년11월_남_90~99세,474,44,38,30,22,13,7,11,22,14,33,37,10,5,26,8,15,21,12,7,28,33,5,16,9,8
2021년11월_남_100세 이상,18,2,0,0,0,0,0,0,0,1,1,1,0,0,8,0,1,1,0,0,1,1,0,0,0,1
2021년11월_여_총인구수,"269,216","13,657","21,113","9,697","12,747","5,114","1,640","6,195","3,049","2,417","21,349","12,452","10,432","5,797","11,015","3,366","2,770","10,954","5,502","1,942","25,728","27,786","12,330","14,533","18,169","9,462"
2021년11월_여_연령구간인구수,"269,216","13,657","21,113","9,697","12,747","5,114","1,640","6,195","3,049","2,417","21,349","12,452","10,432","5,797","11,015","3,366","2,770","10,954","5,502","1,942","25,728","27,786","12,330","14,533","18,169","9,462"
2021년11월_여_0~9세,"24,564",793,"1,858",898,"1,854",232,62,506,126,64,"1,352",616,"1,270",331,759,274,66,452,307,61,"2,714","2,816","1,591","1,239","2,774","1,549"
2021년11월_여_10~19세,"26,243",875,"2,815",881,"1,608",394,86,426,235,126,"2,265","1,064",956,463,"1,051",230,122,773,344,96,"3,003","2,985","1,541","1,391","1,761",752
2021년11월_여_20~29세,"34,514","1,414","2,700","1,138","1,063",537,124,801,277,170,"3,198","1,644","1,310","1,059","1,333",451,323,"1,861",807,258,"3,168","3,500","1,672","2,024","2,285","1,397"
2021년11월_여_30~39세,"38,553","1,380","2,450","1,276","2,189",486,142,870,229,138,"2,269","1,328","1,857",887,"1,259",540,262,"1,231",683,158,"4,023","4,094","2,184","2,046","4,175","2,397"
2021년11월_여_40~49세,"45,011","1,846","4,070","1,604","2,483",669,156,845,333,214,"3,592","1,885","1,766",894,"1,758",511,304,"1,575",785,231,"5,059","4,961","2,506","2,291","3,219","1,454"
2021년11월_여_50~59세,"42,899","2,265","3,268","1,469","1,346",971,275,"1,112",539,389,"4,037","2,381","1,648",904,"2,028",513,440,"2,049",919,353,"3,878","4,575","1,551","2,702","2,180","1,107"
2021년11월_여_60~69세,"30,144","2,373","2,040","1,236","1,161",914,353,862,583,553,"2,468","1,827",942,619,"1,491",384,544,"1,563",837,399,"2,184","2,761",792,"1,570","1,168",520
2021년11월_여_70~79세,"16,088","1,550","1,111",676,562,536,242,424,376,404,"1,303","1,047",403,412,805,280,412,888,504,250,"1,034","1,257",303,760,369,180
2021년11월_여_80~89세,"9,603","1,011",681,427,389,320,175,291,310,303,754,584,226,198,443,153,243,495,274,117,580,731,167,450,200,81
2021년11월_여_90~99세,"1,544",143,117,88,88,53,25,57,40,54,107,74,53,29,82,30,52,64,42,19,84,101,23,59,35,25
2021년11월_여_100세 이상,53,7,3,4,4,2,0,1,1,2,4,2,1,1,6,0,2,3,0,0,1,5,0,1,3,0
