카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년01월_계_80~89세,"110,137","7,150","10,712","10,165","6,648","4,686","3,856","3,195","2,495","7,536","4,731","4,688","3,906","3,582","6,014","4,053","4,233","3,421","4,003","3,755","4,414","2,924","3,970"
2021년01월_계_90~99세,"16,279",960,"1,635","1,610","1,006",748,599,516,380,"1,246",735,652,639,541,836,545,629,493,550,510,570,374,505
2021년01월_계_100세 이상,883,82,107,73,68,24,33,15,23,52,39,37,24,31,45,34,35,27,35,38,27,17,17
2021년01월_남_총인구수,"930,132","111,241","143,083","141,003","58,307","78,821","23,583","13,677","12,442","31,016","19,702","30,893","18,323","16,693","33,924","27,602","43,659","16,056","26,446","22,698","25,056","15,242","20,665"
2021년01월_남_연령구간인구수,"930,132","111,241","143,083","141,003","58,307","78,821","23,583","13,677","12,442","31,016","19,702","30,893","18,323","16,693","33,924","27,602","43,659","16,056","26,446","22,698","25,056","15,242","20,665"
2021년01월_남_0~9세,"66,870","9,299","10,546","11,997","5,126","6,733","1,183",550,563,"1,291",919,"1,765","1,020",857,"1,991","1,774","4,061",706,"1,919","1,385","1,608",801,776
2021년01월_남_10~19세,"86,567","12,485","13,711","15,755","4,894","8,252","1,578","1,021",965,"2,053","1,319","2,915","1,454","1,298","2,718","2,359","4,724","1,085","2,163","1,720","1,883","1,156","1,059"
2021년01월_남_20~29세,"111,795","14,614","19,169","20,463","6,562","11,656","2,859","1,267","1,049","2,420","1,669","3,691","1,743","1,615","3,116","2,939","4,809","1,490","2,803","2,489","2,200","1,516","1,656"
2021년01월_남_30~39세,"97,448","13,112","16,611","17,013","7,573","9,866","1,896",921,887,"2,005","1,342","2,385","1,456","1,252","2,623","2,558","5,307","1,121","2,485","1,931","2,176","1,234","1,694"
2021년01월_남_40~49세,"138,677","19,207","22,127","21,329","9,216","12,202","3,032","1,681","1,575","3,660","2,381","4,286","2,270","2,084","4,523","4,397","7,254","2,067","3,680","3,134","3,608","2,101","2,863"
2021년01월_남_50~59세,"168,176","18,234","25,437","24,901","9,431","15,860","4,501","2,699","2,543","5,660","3,723","6,155","3,421","3,035","6,393","5,378","7,088","3,209","4,704","4,268","4,481","2,796","4,259"
2021년01월_남_60~69세,"137,960","13,843","20,357","17,381","8,255","8,980","4,303","2,633","2,339","6,354","3,855","4,989","3,319","3,111","6,198","4,165","5,485","3,090","4,264","3,837","4,309","2,685","4,208"
2021년01월_남_70~79세,"84,561","7,821","11,228","8,532","5,028","3,660","2,833","1,810","1,622","4,962","2,842","3,107","2,298","2,242","4,341","2,659","3,549","2,152","3,086","2,611","3,281","2,022","2,875"
2021년01월_남_80~89세,"34,718","2,412","3,589","3,305","1,998","1,481","1,256",997,812,"2,333","1,489","1,448","1,211","1,092","1,864","1,265","1,278","1,020","1,232","1,195","1,401",863,"1,177"
2021년01월_남_90~99세,"3,238",198,291,319,213,126,139,95,84,271,157,149,127,103,156,100,98,114,107,124,106,68,93
2021년01월_남_100세 이상,122,16,17,8,11,5,3,3,3,7,6,3,4,4,1,8,6,2,3,4,3,0,5
2021년01월_여_총인구수,"920,443","112,121","137,414","141,615","57,548","72,224","22,892","14,305","13,131","32,853","20,728","31,562","19,366","17,875","34,812","26,085","43,281","15,936","26,602","21,632","24,755","15,603","18,103"
2021년01월_여_연령구간인구수,"920,443","112,121","137,414","141,615","57,548","72,224","22,892","14,305","13,131","32,853","20,728","31,562","19,366","17,875","34,812","26,085","43,281","15,936","26,602","21,632","24,755","15,603","18,103"
2021년01월_여_0~9세,"64,344","8,742","10,250","11,375","4,953","6,518","1,174",522,577,"1,314",828,"1,704",973,882,"1,971","1,745","3,827",649,"1,841","1,349","1,524",873,753
2021년01월_여_10~19세,"80,400","11,928","12,680","14,479","4,602","7,713","1,433",914,863,"1,769","1,269","2,707","1,330","1,214","2,545","2,069","4,571",961,"2,000","1,549","1,750","1,075",979
2021년01월_여_20~29세,"88,344","12,415","14,623","17,177","5,813","8,309","1,984","1,057",896,"1,728","1,290","3,098","1,339","1,268","2,420","2,145","4,093","1,006","2,192","1,732","1,558","1,102","1,099"
2021년01월_여_30~39세,"87,736","12,340","14,334","16,152","6,959","8,511","1,786",801,770,"1,669","1,162","2,322","1,296","1,179","2,384","2,171","5,107",976,"2,351","1,683","1,798","1,021",964
2021년01월_여_40~49세,"120,784","18,053","19,775","22,068","7,343","11,559","2,189","1,327","1,315","2,661","1,780","3,967","1,841","1,671","3,532","3,025","6,491","1,418","2,857","2,376","2,590","1,536","1,410"
2021년01월_여_50~59세,"145,388","18,054","23,094","24,341","7,852","13,134","3,689","2,196","2,034","4,507","2,958","5,095","2,888","2,599","5,176","4,057","5,852","2,290","3,812","3,193","3,566","2,250","2,751"
2021년01월_여_60~69세,"135,942","15,219","20,695","17,275","8,012","8,099","4,032","2,405","2,404","6,440","3,794","4,536","3,319","3,127","6,250","3,940","5,458","2,844","4,220","3,464","4,334","2,642","3,433"
2021년01월_여_70~79세,"108,284","9,804","13,406","10,532","6,514","4,535","3,515","2,452","2,273","6,542","3,794","4,356","3,153","2,980","5,660","3,674","4,367","2,987","4,083","3,306","4,134","2,720","3,497"
2021년01월_여_80~89세,"75,419","4,738","7,123","6,860","4,650","3,205","2,600","2,198","1,683","5,203","3,242","3,240","2,695","2,490","4,150","2,788","2,955","2,401","2,771","2,560","3,013","2,061","2,793"
2021년01월_여_90~99세,"13,041",762,"1,344","1,291",793,622,460,421,296,975,578,503,512,438,680,445,531,379,443,386,464,306,412
2021년01월_여_100세 이상,761,66,90,65,57,19,30,12,20,45,33,34,20,27,44,26,29,25,32,34,24,17,12
