,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년08월_계_80~89세,"11,874",174,333,181,160,267,443,837,404,471,381,447,566,199,672,425,506,337,536,772,264,604,357,278,553,205,478,734,290
2020년08월_계_90~99세,"1,682",24,37,16,39,42,60,105,60,54,61,77,82,34,93,56,69,49,74,100,42,85,49,42,73,37,76,100,46
2020년08월_계_100세 이상,118,6,4,6,4,5,8,4,4,3,4,2,13,2,10,1,1,3,4,6,0,3,3,6,2,3,5,4,2
2020년08월_남_총인구수,"215,168","2,591","3,546","2,627","1,769","4,009","6,207","19,047","9,450","6,385","6,713","11,563","5,300","3,037","9,390","8,156","7,792","4,017","8,255","6,765","7,511","15,014","7,009","5,869","6,357","1,407","11,426","19,154","14,802"
2020년08월_남_연령구간인구수,"215,168","2,591","3,546","2,627","1,769","4,009","6,207","19,047","9,450","6,385","6,713","11,563","5,300","3,037","9,390","8,156","7,792","4,017","8,255","6,765","7,511","15,014","7,009","5,869","6,357","1,407","11,426","19,154","14,802"
2020년08월_남_0~9세,"17,524",105,144,140,47,308,231,"1,367",918,277,471,"1,160",215,281,722,565,601,192,479,242,558,"1,301",636,333,252,33,"1,406","2,093","2,447"
2020년08월_남_10~19세,"23,045",105,245,178,62,299,376,"2,044","1,163",498,810,"1,254",386,270,830,"1,046",790,343,748,460,968,"2,578",959,590,477,89,"1,349","2,160","1,968"
2020년08월_남_20~29세,"33,156",438,707,474,239,484,"1,126","3,734","1,335",993,"1,122","1,640",706,407,"1,261","1,338","1,336",606,"1,253",883,"1,338","2,583","1,118","1,027","1,072",149,"1,506","2,684","1,597"
2020년08월_남_30~39세,"29,393",529,462,417,249,586,991,"2,500","1,116",805,832,"1,825",571,440,"1,379",871,"1,084",454,"1,037",735,926,"1,425",878,684,821,130,"1,861","3,174","2,611"
2020년08월_남_40~49세,"34,207",372,487,426,266,632,952,"2,770","1,440",915,924,"1,929",736,501,"1,436","1,196","1,212",556,"1,158",903,"1,202","2,565","1,068",887,851,159,"2,039","3,419","3,206"
2020년08월_남_50~59세,"35,365",393,502,404,343,633,"1,042","3,161","1,487","1,136","1,142","1,771",941,497,"1,526","1,450","1,207",697,"1,443","1,335","1,372","2,767","1,134","1,129","1,213",314,"1,720","2,866","1,740"
2020년08월_남_60~69세,"24,954",363,506,304,306,538,803,"2,071","1,213",962,881,"1,194",943,338,"1,267","1,056",897,567,"1,231","1,313",729,"1,109",757,768,"1,031",292,976,"1,719",820
2020년08월_남_70~79세,"13,022",205,324,203,180,407,496,"1,072",603,588,396,628,590,230,723,468,462,453,696,657,321,467,332,360,478,164,429,773,317
2020년08월_남_80~89세,"4,151",73,154,77,67,113,178,303,166,202,122,143,195,69,226,153,187,135,197,219,90,193,118,84,153,69,129,246,90
2020년08월_남_90~99세,339,6,14,4,9,9,12,25,9,9,12,18,14,4,19,13,16,14,13,18,7,24,9,7,9,8,11,20,6
2020년08월_남_100세 이상,12,2,1,0,1,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020년08월_여_총인구수,"218,111","2,440","3,387","2,382","1,545","4,116","5,627","19,098","10,178","6,273","7,199","11,842","5,601","3,081","9,737","8,496","8,624","4,021","8,408","7,313","7,040","15,644","7,270","5,736","6,563","1,290","11,216","18,935","15,049"
2020년08월_여_연령구간인구수,"218,111","2,440","3,387","2,382","1,545","4,116","5,627","19,098","10,178","6,273","7,199","11,842","5,601","3,081","9,737","8,496","8,624","4,021","8,408","7,313","7,040","15,644","7,270","5,736","6,563","1,290","11,216","18,935","15,049"
2020년08월_여_0~9세,"16,856",122,139,129,42,283,223,"1,291",904,326,472,"1,082",214,280,765,592,591,148,490,252,489,"1,189",619,347,283,41,"1,341","1,927","2,275"
2020년08월_여_10~19세,"20,571",85,236,144,65,275,350,"1,791","1,108",474,697,"1,095",315,271,693,954,750,329,685,421,760,"2,169",789,520,381,56,"1,235","2,078","1,845"
2020년08월_여_20~29세,"29,788",555,657,428,274,458,"1,067","3,331","1,252",863,957,"1,442",683,352,"1,115","1,161","1,285",523,"1,124",818,"1,072","2,246",921,896,924,105,"1,330","2,481","1,468"
2020년08월_여_30~39세,"27,164",436,315,310,154,591,712,"2,177","1,253",608,795,"1,778",465,409,"1,303",844,992,373,861,609,834,"1,589",865,605,660,90,"1,777","2,895","2,864"
2020년08월_여_40~49세,"34,090",239,426,300,156,558,666,"2,865","1,706",825,"1,083","1,894",617,471,"1,285","1,362","1,294",497,"1,112",796,"1,277","3,325","1,277",852,790,103,"2,021","3,242","3,051"
2020년08월_여_50~59세,"36,979",312,477,329,244,635,876,"3,490","1,659","1,085","1,396","2,028",937,430,"1,672","1,642","1,471",724,"1,573","1,393","1,302","2,810","1,339","1,106","1,368",247,"1,604","2,952","1,878"
2020년08월_여_60~69세,"27,409",325,522,345,277,660,824,"2,304","1,391","1,108","1,015","1,466","1,131",419,"1,472","1,074","1,135",725,"1,379","1,403",715,"1,133",770,748,"1,064",265,939,"1,812",988
2020년08월_여_70~79세,"16,082",243,410,275,207,464,588,"1,231",612,667,473,693,790,287,903,551,733,462,780,980,382,710,408,427,627,215,550,976,438
2020년08월_여_80~89세,"7,723",101,179,104,93,154,265,534,238,269,259,304,371,130,446,272,319,202,339,553,174,411,239,194,400,136,349,488,200
2020년08월_여_90~99세,"1,343",18,23,12,30,33,48,80,51,45,49,59,68,30,74,43,53,35,61,82,35,61,40,35,64,29,65,80,40
2020년08월_여_100세 이상,106,4,3,6,3,5,8,4,4,3,3,1,10,2,9,1,1,3,4,6,0,1,3,6,2,3,5,4,2
