,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년11월_계_80~89세,"13,956","1,546",975,631,540,477,267,499,442,452,"1,020",860,351,292,644,243,354,743,419,189,"1,046","1,077",247,642
2020년11월_계_90~99세,"2,006",208,144,104,115,62,24,80,69,76,135,117,55,48,100,46,62,88,57,26,141,136,30,83
2020년11월_계_100세 이상,234,49,9,4,6,5,2,5,2,3,18,17,5,5,13,11,22,11,15,4,9,14,0,5
2020년11월_남_총인구수,"275,968","14,063","22,469","14,381","13,977","6,232","2,016","11,844","3,566","2,792","22,500","12,936","10,292","6,711","10,988","3,734","2,917","11,689","5,530","2,142","42,400","26,618","12,981","13,190"
2020년11월_남_연령구간인구수,"275,968","14,063","22,469","14,381","13,977","6,232","2,016","11,844","3,566","2,792","22,500","12,936","10,292","6,711","10,988","3,734","2,917","11,689","5,530","2,142","42,400","26,618","12,981","13,190"
2020년11월_남_0~9세,"24,902",804,"2,024",981,"2,103",251,50,"1,294",169,82,"1,517",665,"1,170",343,826,300,93,569,258,63,"5,499","2,927","1,783","1,131"
2020년11월_남_10~19세,"27,426",882,"2,970","1,055","1,610",460,128,900,244,153,"2,553","1,226",916,445,"1,118",263,163,916,347,121,"4,732","3,285","1,566","1,373"
2020년11월_남_20~29세,"39,989","1,698","3,095","1,939","1,277",901,226,"1,964",414,262,"3,968","2,015","1,415","1,361","1,597",590,400,"2,128",905,354,"5,781","3,789","1,792","2,118"
2020년11월_남_30~39세,"43,385","1,638","3,075","2,611","2,507",835,202,"2,350",366,209,"2,967","1,730","1,761","1,315","1,332",695,384,"1,631",883,254,"8,276","4,067","2,398","1,899"
2020년11월_남_40~49세,"49,603","2,210","4,427","3,024","3,025","1,004",306,"1,993",539,389,"3,854","2,220","1,979","1,173","1,908",666,474,"1,830",828,283,"8,152","4,522","2,689","2,108"
2020년11월_남_50~59세,"45,606","2,806","3,771","2,451","1,649","1,181",386,"1,701",758,568,"4,153","2,453","1,666","1,058","2,069",580,526,"2,201","1,019",434,"5,762","4,243","1,695","2,476"
2020년11월_남_60~69세,"27,095","2,177","1,904","1,427","1,062",934,405,982,577,578,"2,166","1,514",916,608,"1,308",371,461,"1,417",733,349,"2,772","2,391",738,"1,305"
2020년11월_남_70~79세,"12,457","1,213",833,646,546,489,218,469,328,379,953,764,327,285,564,168,269,692,387,205,"1,039",926,238,519
2020년11월_남_80~89세,"4,925",571,336,223,172,163,89,176,147,156,329,297,127,113,231,83,121,277,152,70,353,428,76,235
2020년11월_남_90~99세,506,48,34,24,25,13,5,12,24,16,33,43,13,9,29,13,17,25,14,8,32,38,6,25
2020년11월_남_100세 이상,74,16,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1
2020년11월_여_총인구수,"258,375","13,490","21,234","9,645","12,490","5,150","1,665","10,658","3,138","2,530","21,385","12,580","9,462","5,826","11,073","3,745","2,850","11,056","5,135","1,956","41,179","27,059","11,981","13,088"
2020년11월_여_연령구간인구수,"258,375","13,490","21,234","9,645","12,490","5,150","1,665","10,658","3,138","2,530","21,385","12,580","9,462","5,826","11,073","3,745","2,850","11,056","5,135","1,956","41,179","27,059","11,981","13,088"
2020년11월_여_0~9세,"23,980",742,"2,041",961,"1,954",251,65,"1,328",143,69,"1,441",664,"1,146",376,809,295,73,505,281,61,"5,238","2,815","1,626","1,096"
2020년11월_여_10~19세,"25,722",822,"2,898",931,"1,516",376,87,919,247,145,"2,396","1,123",922,473,"1,108",238,140,837,316,87,"4,416","2,918","1,509","1,298"
2020년11월_여_20~29세,"32,943","1,232","2,635","1,072","1,003",593,134,"1,419",291,191,"3,109","1,658","1,207","1,038","1,347",462,325,"1,798",691,262,"5,434","3,588","1,559","1,895"
2020년11월_여_30~39세,"36,557","1,306","2,612","1,305","2,353",491,141,"1,961",242,149,"2,393","1,352","1,588",889,"1,276",582,254,"1,240",623,163,"7,778","3,995","2,218","1,646"
2020년11월_여_40~49세,"43,800","1,739","4,244","1,624","2,298",718,174,"1,604",355,236,"3,786","1,944","1,636",923,"1,806",550,309,"1,657",764,236,"7,801","4,907","2,380","2,109"
2020년11월_여_50~59세,"41,068","2,327","3,124","1,436","1,285",959,296,"1,574",562,416,"3,937","2,415","1,533",886,"2,032",562,479,"2,082",883,378,"5,553","4,373","1,494","2,482"
2020년11월_여_60~69세,"27,553","2,507","1,811","1,156","1,066",859,331,951,561,560,"2,265","1,712",770,607,"1,372",506,539,"1,514",770,384,"2,840","2,439",704,"1,329"
2020년11월_여_70~79세,"16,061","1,647","1,111",668,552,536,239,509,395,405,"1,254","1,067",391,412,832,351,440,886,486,245,"1,310","1,265",296,764
2020년11월_여_80~89세,"9,031",975,639,408,368,314,178,323,295,296,691,563,224,179,413,160,233,466,267,119,693,649,171,407
2020년11월_여_90~99세,"1,500",160,110,80,90,49,19,68,45,60,102,74,42,39,71,33,45,63,43,18,109,98,24,58
2020년11월_여_100세 이상,160,33,9,4,5,4,1,2,2,3,11,8,3,4,7,6,13,8,11,3,7,12,0,4
