,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년07월_남_40~49세,"15,693",420,601,731,574,597,"1,147","1,065",905,"1,135","2,305",132,572,"1,779","1,421","2,232",77
2021년07월_남_50~59세,"18,740",555,917,"1,115",788,671,"1,374","1,294","1,026","1,077","1,732",249,828,"2,579","1,652","2,802",81
2021년07월_남_60~69세,"18,462",616,"1,032","1,201",998,806,"1,273","1,148","1,159",894,"1,528",311,889,"2,471","1,431","2,596",109
2021년07월_남_70~79세,"9,895",350,497,652,513,514,648,543,700,509,913,156,595,"1,313",685,"1,256",51
2021년07월_남_80~89세,"3,342",125,132,217,134,162,240,202,189,203,330,62,219,476,213,427,11
2021년07월_남_90~99세,267,3,8,7,6,15,26,19,10,15,23,6,27,33,15,51,3
2021년07월_남_100세 이상,9,2,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1
2021년07월_여_총인구수,"117,179","2,667","4,687","5,663","3,765","4,382","8,847","8,299","6,748","8,621","14,028","1,089","4,985","14,922","10,398","17,531",547
2021년07월_여_연령구간인구수,"117,179","2,667","4,687","5,663","3,765","4,382","8,847","8,299","6,748","8,621","14,028","1,089","4,985","14,922","10,398","17,531",547
2021년07월_여_0~9세,"6,105",45,148,152,107,138,419,539,250,445,"1,252",30,232,560,648,"1,104",36
2021년07월_여_10~19세,"8,352",114,230,270,166,213,677,659,352,613,"1,103",41,319,976,983,"1,583",53
2021년07월_여_20~29세,"14,933",219,495,547,348,399,"1,220","1,081",727,"2,389","1,609",94,426,"2,041","1,223","2,082",33
2021년07월_여_30~39세,"11,693",158,429,472,312,365,892,921,651,871,"1,917",77,450,"1,326","1,099","1,711",42
2021년07월_여_40~49세,"15,856",289,505,587,372,477,"1,292","1,187",850,"1,046","2,395",107,615,"1,803","1,603","2,645",83
2021년07월_여_50~59세,"20,530",489,908,"1,090",732,729,"1,555","1,448","1,195","1,128","1,999",215,914,"2,872","1,955","3,225",76
2021년07월_여_60~69세,"21,169",678,"1,151","1,327",960,987,"1,505","1,373","1,491","1,111","1,917",242,"1,054","2,775","1,608","2,873",117
2021년07월_여_70~79세,"11,807",421,550,818,515,709,807,635,842,656,"1,128",168,628,"1,663",790,"1,417",60
2021년07월_여_80~89세,"5,767",215,243,346,220,325,414,389,339,310,565,99,308,782,428,745,39
2021년07월_여_90~99세,911,29,27,45,30,40,64,65,47,51,135,15,37,122,59,137,8
2021년07월_여_100세 이상,56,10,1,9,3,0,2,2,4,1,8,1,2,2,2,9,0
