카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년05월_남_70~79세,"15,452",938,639,370,748,418,475,740,622,474,435,795,515,594,797,"1,670",967,540,630,"1,025",831,774,455
2021년05월_남_80~89세,"5,219",297,235,164,220,135,126,233,226,175,128,281,152,189,294,530,365,178,169,371,291,325,135
2021년05월_남_90~99세,394,10,9,9,14,12,11,11,15,9,10,22,9,20,26,43,36,18,20,33,16,23,18
2021년05월_남_100세 이상,9,0,1,0,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0
2021년05월_여_총인구수,"279,867","12,151","7,466","4,314","13,906","6,955","8,862","15,605","14,471","11,637","8,219","15,558","11,020","22,189","8,456","38,883","19,632","10,138","5,881","18,551","9,870","9,581","6,522"
2021년05월_여_연령구간인구수,"279,867","12,151","7,466","4,314","13,906","6,955","8,862","15,605","14,471","11,637","8,219","15,558","11,020","22,189","8,456","38,883","19,632","10,138","5,881","18,551","9,870","9,581","6,522"
2021년05월_여_0~9세,"18,869",819,269,173,"1,033",316,629,927,834,598,413,640,"1,087","2,409",250,"4,231","1,422",519,164,"1,076",396,359,305
2021년05월_여_10~19세,"25,922","1,072",344,263,"1,096",435,776,"1,609","1,346","1,180",642,"1,147","1,128","4,082",540,"3,965","2,074",649,261,"1,663",600,606,444
2021년05월_여_20~29세,"36,257","1,373","1,257",625,"2,066","1,097","1,163","2,290","2,104","1,861","1,141","3,165","1,196","1,915",779,"4,231","2,311","1,644",512,"2,255","1,374","1,177",721
2021년05월_여_30~39세,"30,935","1,321",880,443,"1,785",736,"1,071","1,556","1,488","1,165",919,"1,503","1,472","2,436",564,"5,619","1,969","1,264",436,"1,809",985,872,642
2021년05월_여_40~49세,"45,011","1,688",802,532,"2,042",959,"1,418","2,735","2,357","1,958","1,165","2,160","2,010","5,760","1,059","7,009","3,431","1,295",578,"2,718","1,281","1,147",907
2021년05월_여_50~59세,"52,899","2,090","1,254",769,"2,667","1,431","1,735","3,384","3,355","2,627","1,849","3,133","1,898","2,837","1,503","6,290","3,802","2,070","1,173","3,960","1,958","1,798","1,316"
2021년05월_여_60~69세,"39,334","2,043","1,328",738,"1,963","1,163","1,206","1,844","1,756","1,259","1,343","2,004","1,391","1,586","1,725","4,400","2,682","1,578","1,463","3,015","1,787","1,894","1,166"
2021년05월_여_70~79세,"19,167","1,133",864,495,845,525,568,804,771,616,489,"1,073",549,747,"1,276","2,012","1,168",683,745,"1,217",930,"1,049",608
2021년05월_여_80~89세,"10,010",540,412,250,353,263,259,406,412,332,228,641,246,352,674,979,661,371,472,731,488,586,354
2021년05월_여_90~99세,"1,418",66,51,26,55,29,36,48,47,40,29,91,43,58,84,144,107,63,76,107,68,91,59
2021년05월_여_100세 이상,45,6,5,0,1,1,1,2,1,1,1,1,0,7,2,3,5,2,1,0,3,2,0
