카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년12월_남_60~69세,"24,891",712,613,712,972,554,941,796,592,"1,287","1,066",392,"1,349","1,380","1,380","1,598","1,344","2,974",972,919,"1,799",736,"1,803"
2021년12월_남_70~79세,"13,444",423,370,435,528,329,579,378,350,728,588,209,666,693,719,893,793,"1,437",490,593,875,320,"1,048"
2021년12월_남_80~89세,"5,057",214,177,167,186,138,268,181,121,327,236,83,207,222,266,348,252,489,202,215,277,85,396
2021년12월_남_90~99세,345,9,15,7,20,6,24,13,5,19,24,6,16,14,19,23,17,31,12,17,19,3,26
2021년12월_남_100세 이상,10,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1
2021년12월_여_총인구수,"173,548","4,286","5,455","5,916","5,701","3,338","6,794","5,918","3,863","6,907","6,928","1,872","10,856","7,263","7,766","9,737","7,528","21,582","5,488","11,096","14,729","9,469","11,056"
2021년12월_여_연령구간인구수,"173,548","4,286","5,455","5,916","5,701","3,338","6,794","5,918","3,863","6,907","6,928","1,872","10,856","7,263","7,766","9,737","7,528","21,582","5,488","11,096","14,729","9,469","11,056"
2021년12월_여_0~9세,"11,750",229,425,620,155,108,325,388,112,189,333,90,"1,055",299,377,419,348,"1,630",297,"1,130","1,143","1,406",672
2021년12월_여_10~19세,"12,503",185,393,343,269,173,401,420,149,349,459,91,"1,134",411,418,601,398,"1,727",286,"1,391","1,423",789,693
2021년12월_여_20~29세,"18,995",433,460,596,824,322,694,691,690,782,792,189,988,820,956,"1,078",828,"2,359",594,"1,133","1,729",977,"1,060"
2021년12월_여_30~39세,"20,216",414,657,"1,005",571,245,687,685,523,578,659,167,"1,300",618,780,831,670,"2,537",584,"1,500","1,853","2,133","1,219"
2021년12월_여_40~49세,"24,854",493,885,808,665,374,894,944,403,745,927,191,"2,002",798,918,"1,132",875,"3,273",631,"2,194","2,476","1,724","1,502"
2021년12월_여_50~59세,"28,853",697,801,879,"1,043",630,"1,155","1,054",621,"1,257","1,185",344,"1,669","1,422","1,451","1,941","1,322","3,455","1,089","1,441","2,432",959,"2,006"
2021년12월_여_60~69세,"28,765",788,825,863,"1,131",738,"1,230",851,688,"1,474","1,305",371,"1,475","1,574","1,462","1,924","1,519","3,539","1,078","1,155","2,006",867,"1,902"
2021년12월_여_70~79세,"17,319",615,639,508,691,470,896,538,424,989,816,257,785,839,888,"1,118",991,"1,853",625,739,"1,080",411,"1,147"
2021년12월_여_80~89세,"9,016",371,329,259,309,254,450,308,225,494,389,147,373,431,454,622,506,"1,041",262,366,520,169,737
2021년12월_여_90~99세,"1,247",61,40,33,42,23,62,37,27,49,61,24,72,49,62,68,69,164,42,46,67,32,117
2021년12월_여_100세 이상,30,0,1,2,1,1,0,2,1,1,2,1,3,2,0,3,2,4,0,1,0,2,1
