,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  해밀동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년09월_계_80~89세,"7,442","1,616",158,308,400,688,383,585,511,315,187,206,222,386,70,175,331,248,213,160,113,167
2021년09월_계_90~99세,"1,283",248,28,58,58,123,54,80,76,51,24,39,69,99,9,29,38,46,56,32,26,40
2021년09월_계_100세 이상,38,8,1,4,1,6,1,4,6,1,0,1,0,0,0,2,1,0,2,0,0,0
2021년09월_남_총인구수,"183,044","22,570","1,589","1,653","3,450","4,767","4,067","4,063","2,959","1,830","1,242","9,292","17,082","15,753","4,133","11,665","14,364","16,868","16,826","9,465","5,644","13,762"
2021년09월_남_연령구간인구수,"183,044","22,570","1,589","1,653","3,450","4,767","4,067","4,063","2,959","1,830","1,242","9,292","17,082","15,753","4,133","11,665","14,364","16,868","16,826","9,465","5,644","13,762"
2021년09월_남_0~9세,"23,953","1,574",48,46,166,165,131,163,92,27,47,"1,262","2,556","2,040",851,"1,715","2,301","2,957","2,964","1,517",881,"2,450"
2021년09월_남_10~19세,"22,595","2,136",49,63,195,178,148,217,207,60,80,"1,669","2,399","2,299",504,"2,306","2,097","2,518","1,830","1,334",556,"1,750"
2021년09월_남_20~29세,"19,501","3,736",225,177,474,557,661,552,341,149,152,884,"1,801","1,740",271,908,"1,204","1,226","1,662",907,670,"1,204"
2021년09월_남_30~39세,"29,846","3,004",245,178,483,556,641,462,292,143,120,"1,094","3,165","2,669",842,"1,477","2,510","2,856","3,684","1,585","1,087","2,753"
2021년09월_남_40~49세,"36,286","3,652",220,203,508,625,651,524,379,203,183,"2,039","3,767","3,329",947,"2,788","3,111","3,867","3,349","1,961","1,032","2,948"
2021년09월_남_50~59세,"24,873","3,548",324,290,621,893,757,709,576,395,250,"1,433","2,095","2,105",427,"1,552","1,712","1,740","1,920","1,226",801,"1,499"
2021년09월_남_60~69세,"16,368","2,886",304,379,568,990,630,783,584,486,225,615,944,"1,040",186,627,938,"1,184","1,048",660,457,834
2021년09월_남_70~79세,"6,807","1,350",121,213,272,545,297,407,287,252,120,221,280,407,78,229,371,426,310,222,129,270
2021년09월_남_80~89세,"2,544",618,51,91,146,228,138,229,188,105,59,65,64,107,23,57,111,85,51,49,29,50
2021년09월_남_90~99세,262,65,2,12,16,27,13,16,13,9,6,10,11,17,4,5,9,9,8,4,2,4
2021년09월_남_100세 이상,9,1,0,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2021년09월_여_총인구수,"183,516","20,789","1,193","1,484","2,792","4,215","2,948","3,366","2,576","1,559","1,097","9,616","18,217","16,867","4,358","11,936","15,178","17,549","17,429","9,867","5,719","14,761"
2021년09월_여_연령구간인구수,"183,516","20,789","1,193","1,484","2,792","4,215","2,948","3,366","2,576","1,559","1,097","9,616","18,217","16,867","4,358","11,936","15,178","17,549","17,429","9,867","5,719","14,761"
2021년09월_여_0~9세,"23,007","1,493",49,51,159,170,119,170,88,38,43,"1,159","2,530","1,959",821,"1,610","2,168","2,857","2,855","1,493",786,"2,389"
2021년09월_여_10~19세,"22,231","2,030",46,57,164,198,170,191,154,50,92,"1,623","2,521","2,232",495,"2,063","2,165","2,395","1,914","1,276",536,"1,859"
2021년09월_여_20~29세,"18,630","2,786",156,102,239,382,370,289,204,119,107,839,"2,168","2,193",337,944,"1,354","1,264","1,799",952,674,"1,352"
2021년09월_여_30~39세,"31,341","2,434",117,116,281,365,303,270,177,82,61,"1,319","3,650","2,954","1,016","1,839","2,776","3,322","4,034","1,896","1,131","3,198"
2021년09월_여_40~49세,"35,247","3,183",109,126,300,392,304,341,266,114,121,"2,290","3,816","3,621",908,"3,070","3,193","3,821","3,287","1,997","1,015","2,973"
2021년09월_여_50~59세,"22,693","3,126",201,235,465,707,548,491,436,270,180,"1,306","1,971","1,933",414,"1,317","1,690","1,887","1,929","1,156",869,"1,562"
2021년09월_여_60~69세,"16,574","2,833",249,319,536,864,537,689,498,396,201,636,"1,021","1,112",221,698,"1,150","1,356","1,069",726,477,986
2021년09월_여_70~79세,"7,845","1,716",132,212,352,578,310,502,361,238,146,273,324,502,94,252,432,447,330,232,123,289
2021년09월_여_80~89세,"4,898",998,107,217,254,460,245,356,323,210,128,141,158,279,47,118,220,163,162,111,84,117
2021년09월_여_90~99세,"1,021",183,26,46,42,96,41,64,63,42,18,29,58,82,5,24,29,37,48,28,24,36
2021년09월_여_100세 이상,29,7,1,3,0,3,1,3,6,0,0,1,0,0,0,1,1,0,2,0,0,0
