,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년06월_남_70~79세,"75,718","19,837","10,782","9,055","10,503","11,140","5,752","4,135","4,973","4,328","1,751","1,401","1,369","1,855","1,697","3,615","3,362"
2021년06월_남_80~89세,"31,483","7,348","3,899","3,449","3,547","4,153","2,745","2,058","2,273","1,825",840,830,718,"1,026",910,"1,714","1,496"
2021년06월_남_90~99세,"3,101",663,372,291,329,457,256,225,268,182,85,75,74,108,98,141,140
2021년06월_남_100세 이상,85,15,10,5,9,15,9,6,6,6,5,4,1,4,1,2,2
2021년06월_여_총인구수,"901,675","333,937","173,365","160,572","131,603","140,529","54,048","40,755","41,013","44,242","12,457","11,986","10,958","13,181","13,957","27,153","25,856"
2021년06월_여_연령구간인구수,"901,675","333,937","173,365","160,572","131,603","140,529","54,048","40,755","41,013","44,242","12,457","11,986","10,958","13,181","13,957","27,153","25,856"
2021년06월_여_0~9세,"60,291","25,696","11,618","14,078","9,927","8,863","2,958","2,256","1,970","3,294",626,525,513,617,663,"1,208","1,175"
2021년06월_여_10~19세,"82,935","34,122","16,933","17,189","12,761","13,402","4,432","3,454","2,978","3,907",768,880,810,769,"1,051","1,879","1,722"
2021년06월_여_20~29세,"96,319","44,315","23,776","20,539","13,280","16,233","4,648","3,291","3,107","3,875",815,775,698,823,886,"1,758","1,815"
2021년06월_여_30~39세,"89,559","40,224","19,477","20,747","14,195","13,255","4,018","3,051","2,979","4,370",806,749,707,827,951,"1,709","1,718"
2021년06월_여_40~49세,"127,824","54,027","27,286","26,741","20,463","20,065","6,835","5,080","4,261","5,994","1,088","1,236","1,082","1,065","1,396","2,609","2,623"
2021년06월_여_50~59세,"143,180","54,092","29,447","24,645","20,794","23,759","8,370","6,300","6,002","6,684","1,926","1,844","1,585","1,986","2,000","3,958","3,880"
2021년06월_여_60~69세,"133,330","41,632","23,105","18,527","19,483","21,132","8,766","6,706","7,379","6,908","2,368","2,214","2,115","2,342","2,424","4,981","4,880"
2021년06월_여_70~79세,"94,769","24,686","13,398","11,288","12,603","13,652","7,452","5,595","6,377","4,960","2,043","1,923","1,727","2,379","2,401","4,643","4,328"
2021년06월_여_80~89세,"61,977","12,842","6,994","5,848","6,765","8,492","5,580","4,233","4,967","3,572","1,709","1,561","1,482","2,024","1,881","3,667","3,202"
2021년06월_여_90~99세,"11,049","2,223","1,284",939,"1,287","1,615",936,763,958,654,297,261,229,337,284,712,493
2021년06월_여_100세 이상,442,78,47,31,45,61,53,26,35,24,11,18,10,12,20,29,20
