,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년10월_남_40~49세,"37,118","1,023","2,714",85,94,119,287,"2,368",220,"1,869",415,207,"2,359",162,"3,728","1,128","1,241",273,255,528,596,418,432,"2,975","1,950","4,908","1,515","5,249"
2020년10월_남_50~59세,"35,587","1,482","3,874",201,183,240,486,"1,117",350,"2,138",501,354,"2,834",263,"3,564","1,430","1,870",355,340,592,529,342,390,"3,134","1,704","3,553",940,"2,821"
2020년10월_남_60~69세,"19,888","1,363","2,178",247,232,246,477,529,326,"1,543",366,365,"1,766",257,"1,942",894,"1,111",226,217,245,244,171,241,"1,073",636,"1,680",406,907
2020년10월_남_70~79세,"7,004",640,689,133,140,174,274,186,212,534,142,181,502,111,565,307,293,102,71,89,56,34,114,316,159,533,137,310
2020년10월_남_80~89세,"2,483",280,288,80,76,87,170,78,103,127,31,51,177,36,163,85,70,30,33,19,9,5,28,96,56,155,37,113
2020년10월_남_90~99세,215,22,26,11,10,10,15,14,6,2,2,6,13,0,9,1,6,1,4,2,1,0,4,12,4,17,5,12
2020년10월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020년10월_여_총인구수,"202,791","7,624","17,976",944,849,"1,081","1,991","12,713","1,544","12,416","1,717","1,588","15,369","1,102","19,488","7,479","8,537","1,472","1,485","2,899","3,385","1,996","2,044","14,600","9,170","23,571","7,455","22,296"
2020년10월_여_연령구간인구수,"202,791","7,624","17,976",944,849,"1,081","1,991","12,713","1,544","12,416","1,717","1,588","15,369","1,102","19,488","7,479","8,537","1,472","1,485","2,899","3,385","1,996","2,044","14,600","9,170","23,571","7,455","22,296"
2020년10월_여_0~9세,"20,149",445,"1,582",22,7,21,33,"2,787",27,933,36,40,"1,166",44,"1,927",519,416,71,128,329,500,291,157,"1,373","1,095","2,308",462,"3,430"
2020년10월_여_10~19세,"21,637",584,"1,783",28,35,45,75,"1,045",92,"1,244",58,67,"1,788",64,"2,423",795,917,92,104,237,320,108,172,"1,810","1,189","2,881",541,"3,140"
2020년10월_여_20~29세,"25,315",613,"1,963",41,32,56,120,"1,397",118,"1,582",229,131,"1,771",99,"2,329",880,"1,180",232,187,434,439,292,279,"1,974","1,067","3,275","2,083","2,512"
2020년10월_여_30~39세,"30,847",628,"2,158",36,26,33,78,"3,759",78,"1,568",243,99,"1,798",64,"2,621",850,792,165,214,552,674,463,288,"1,956","1,459","4,173","1,687","4,385"
2020년10월_여_40~49세,"36,277",968,"3,048",50,49,77,159,"1,879",160,"2,094",290,155,"2,746",132,"3,836","1,370","1,550",184,202,461,557,286,343,"3,134","1,989","4,613","1,178","4,767"
2020년10월_여_50~59세,"34,179","1,513","3,855",158,150,154,336,938,286,"2,400",351,322,"3,225",232,"3,564","1,597","2,059",297,295,547,551,312,401,"2,693","1,442","3,358",786,"2,357"
2020년10월_여_60~69세,"18,957","1,280","1,881",227,192,257,423,461,301,"1,699",282,385,"1,789",251,"1,726",909,"1,061",233,183,209,242,180,238,961,545,"1,676",438,928
2020년10월_여_70~79세,"8,977",801,928,172,154,223,404,221,249,609,146,254,673,128,661,349,371,143,105,76,62,44,112,422,236,797,171,466
2020년10월_여_80~89세,"5,476",661,645,176,173,185,309,200,204,246,60,119,362,73,341,185,162,44,58,46,36,13,45,232,126,422,87,266
2020년10월_여_90~99세,932,127,126,34,29,29,51,24,27,38,19,15,50,14,59,25,26,11,6,8,4,6,9,44,21,66,20,44
2020년10월_여_100세 이상,45,4,7,0,2,1,3,2,2,3,3,1,1,1,1,0,3,0,3,0,0,1,0,1,1,2,2,1
