카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년11월_여_총인구수,"788,777","419,099","95,396","98,562","130,691","94,450","103,963","66,376","16,130","25,125","23,904","17,745","39,819","18,362","43,833","14,421"
2020년11월_여_연령구간인구수,"788,777","419,099","95,396","98,562","130,691","94,450","103,963","66,376","16,130","25,125","23,904","17,745","39,819","18,362","43,833","14,421"
2020년11월_여_0~9세,"60,517","36,476","7,944","6,867","11,849","9,816","7,215","4,299",710,"1,251","1,155","1,593","3,749",644,"2,844",581
2020년11월_여_10~19세,"71,836","41,470","9,483","9,827","12,771","9,389","9,115","5,682",987,"1,839","1,650","1,618","3,871",969,"3,700",935
2020년11월_여_20~29세,"88,141","54,456","11,222","13,012","18,728","11,494","10,383","6,570",982,"1,905","1,962","1,890","3,896","1,197","3,963",937
2020년11월_여_30~39세,"91,521","56,480","11,224","11,122","19,513","14,621","10,730","6,246","1,003","1,862","1,549","2,122","5,221","1,074","4,276",958
2020년11월_여_40~49세,"116,263","67,499","15,271","15,658","21,265","15,305","15,096","8,973","1,465","2,907","2,464","2,575","6,122","1,635","6,027","1,500"
2020년11월_여_50~59세,"133,140","69,031","16,518","17,495","21,484","13,534","18,479","11,758","2,660","4,187","3,994","2,872","6,257","3,373","7,878","2,651"
2020년11월_여_60~69세,"110,679","49,151","11,961","12,974","13,928","10,288","15,737","11,399","3,304","4,806","4,490","2,486","5,016","4,061","7,150","3,079"
2020년11월_여_70~79세,"66,233","26,178","6,859","6,947","6,600","5,772","9,711","6,808","2,551","3,434","3,658","1,475","3,008","2,894","4,353","2,163"
2020년11월_여_80~89세,"42,876","15,512","4,111","3,932","3,861","3,608","6,464","3,939","2,050","2,480","2,550",977,"2,290","2,149","3,075","1,390"
2020년11월_여_90~99세,"7,164","2,708",760,697,662,589,979,651,391,434,404,130,374,343,536,214
2020년11월_여_100세 이상,407,138,43,31,30,34,54,51,27,20,28,7,15,23,31,13
