,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년06월_계_100세 이상,92,4,6,0,11,9,0,8,1,4,2,3,3,5,2,6,5,4,5,4,10
2021년06월_남_총인구수,"278,360","20,348","11,323","10,049","14,711","25,229","8,818","10,323","10,168","16,730","12,131","11,845","15,669","6,677","7,094","17,241","20,653","15,524","21,117","11,481","11,229"
2021년06월_남_연령구간인구수,"278,360","20,348","11,323","10,049","14,711","25,229","8,818","10,323","10,168","16,730","12,131","11,845","15,669","6,677","7,094","17,241","20,653","15,524","21,117","11,481","11,229"
2021년06월_남_0~9세,"19,504","2,090",645,669,868,"1,298",575,662,555,"1,085",607,619,854,235,346,"1,624","1,788","1,778","1,935",609,662
2021년06월_남_10~19세,"22,462","2,289",752,862,"1,014","1,231",695,824,705,"1,259",912,789,933,243,278,"2,332","2,666","1,079","2,100",728,771
2021년06월_남_20~29세,"39,989","2,637","2,002","1,578","1,988","4,284","1,301","1,462","1,488","2,785","2,029","1,878","2,817",732,837,"2,256","2,482","2,027","2,511","1,627","1,268"
2021년06월_남_30~39세,"49,749","3,436","2,962","1,787","2,393","5,536","1,490","1,565","1,719","3,373","2,145","2,120","4,214","1,171","1,515","1,951","2,537","2,921","3,051","1,979","1,884"
2021년06월_남_40~49세,"45,331","3,719","1,607","1,473","1,872","3,907","1,542","1,545","1,680","2,803","1,844","1,985","2,409",738,994,"3,344","3,943","2,685","3,800","1,694","1,747"
2021년06월_남_50~59세,"40,670","2,923","1,470","1,505","2,359","3,447","1,354","1,533","1,585","2,289","1,829","1,675","1,992",963,"1,049","2,722","3,282","2,087","3,131","1,793","1,682"
2021년06월_남_60~69세,"36,372","2,144","1,084","1,333","2,523","3,197","1,072","1,624","1,430","1,898","1,743","1,541","1,670","1,621","1,211","1,755","2,352","1,766","2,770","1,791","1,847"
2021년06월_남_70~79세,"18,196",827,504,651,"1,151","1,817",627,871,756,940,800,971,570,714,633,946,"1,264",876,"1,377",920,981
2021년06월_남_80~89세,"5,507",257,251,174,457,473,155,214,231,276,204,248,185,231,208,288,311,285,402,313,344
2021년06월_남_90~99세,551,25,42,17,82,35,7,21,19,22,18,18,24,27,22,23,27,18,39,25,40
2021년06월_남_100세 이상,29,1,4,0,4,4,0,2,0,0,0,1,1,2,1,0,1,2,1,2,3
2021년06월_여_총인구수,"299,159","21,658","12,920","10,488","16,291","26,748","9,288","11,120","10,615","17,736","12,766","12,795","18,430","7,515","8,148","19,111","22,575","15,192","22,183","11,740","11,840"
2021년06월_여_연령구간인구수,"299,159","21,658","12,920","10,488","16,291","26,748","9,288","11,120","10,615","17,736","12,766","12,795","18,430","7,515","8,148","19,111","22,575","15,192","22,183","11,740","11,840"
2021년06월_여_0~9세,"18,724","1,944",612,603,811,"1,271",556,572,542,"1,025",582,624,770,242,347,"1,531","1,824","1,672","2,002",571,623
2021년06월_여_10~19세,"21,555","2,218",547,678,945,"1,187",708,801,637,"1,110",713,771,926,218,274,"2,525","2,793","1,053","2,081",668,702
2021년06월_여_20~29세,"46,739","3,045","3,035","1,599","1,978","5,259","1,294","1,610","1,450","3,242","2,334","1,989","5,520",907,906,"2,286","2,773","1,982","2,653","1,692","1,185"
2021년06월_여_30~39세,"48,730","3,905","3,160","1,721","2,247","4,866","1,362","1,550","1,557","3,004","2,087","1,917","4,248","1,161","1,523","2,181","2,797","2,799","3,167","1,735","1,743"
2021년06월_여_40~49세,"44,856","3,892","1,637","1,543","2,025","3,545","1,486","1,669","1,556","2,665","1,763","1,933","2,176",715,896,"3,695","4,475","2,314","3,702","1,510","1,659"
2021년06월_여_50~59세,"44,040","3,007","1,572","1,777","2,786","3,861","1,482","1,686","1,735","2,541","2,062","1,989","2,159","1,110","1,175","2,941","3,296","2,032","3,260","1,770","1,799"
2021년06월_여_60~69세,"42,118","2,200","1,225","1,544","2,882","3,935","1,408","1,858","1,797","2,455","1,958","2,046","1,646","1,649","1,542","2,182","2,745","1,882","3,062","1,981","2,121"
2021년06월_여_70~79세,"20,707",935,618,664,"1,394","1,945",704,907,905,"1,162",818,"1,086",602,858,924,"1,170","1,313",929,"1,442","1,133","1,198"
2021년06월_여_80~89세,"9,680",438,421,287,"1,002",748,236,390,367,435,372,373,321,545,466,477,456,428,688,577,653
2021년06월_여_90~99세,"1,947",71,91,72,214,126,52,71,68,93,75,65,60,107,94,117,99,99,122,101,150
2021년06월_여_100세 이상,63,3,2,0,7,5,0,6,1,4,2,2,2,3,1,6,4,2,4,2,7
