,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년10월_계_80~89세,"9,652",487,"1,176",348,299,549,618,583,504,405,498,803,302,432,818,555,473,802
2020년10월_계_90~99세,"1,300",65,163,52,48,87,100,80,68,50,47,92,57,61,107,75,67,81
2020년10월_계_100세 이상,114,4,11,4,0,1,3,4,3,9,3,8,14,10,11,10,10,9
2020년10월_남_총인구수,"163,284","3,414","38,557","2,168","11,475","10,692","12,096","2,938","3,607","1,635","2,279","10,383","4,923","5,578","18,368","9,657","11,094","14,420"
2020년10월_남_연령구간인구수,"163,284","3,414","38,557","2,168","11,475","10,692","12,096","2,938","3,607","1,635","2,279","10,383","4,923","5,578","18,368","9,657","11,094","14,420"
2020년10월_남_0~9세,"17,076",185,"4,898",104,"1,547","1,306","1,284",80,152,40,51,835,464,216,"2,126",849,"1,228","1,711"
2020년10월_남_10~19세,"17,682",257,"4,756",191,"1,513",900,726,159,216,57,89,"1,046",388,432,"2,419","1,296","1,462","1,775"
2020년10월_남_20~29세,"20,091",344,"4,983",175,"1,524","1,237","1,427",266,359,108,208,"1,355",550,962,"2,336","1,242","1,536","1,479"
2020년10월_남_30~39세,"25,915",385,"7,173",138,"2,039","1,998","2,806",234,410,112,183,"1,279",981,713,"2,618","1,140","1,577","2,129"
2020년10월_남_40~49세,"30,389",510,"7,589",315,"2,588","2,013","2,175",378,604,180,234,"1,852",862,795,"3,574","1,799","2,069","2,852"
2020년10월_남_50~59세,"24,837",618,"5,048",424,"1,403","1,500","1,740",564,756,309,488,"1,800",709,"1,048","2,729","1,674","1,710","2,317"
2020년10월_남_60~69세,"15,604",575,"2,530",403,508,"1,080","1,195",644,588,365,505,"1,244",536,784,"1,509",953,892,"1,293"
2020년10월_남_70~79세,"7,977",341,"1,136",280,241,471,516,379,326,289,324,666,306,454,741,486,427,594
2020년10월_남_80~89세,"3,392",182,403,127,103,174,210,215,179,159,187,280,114,158,284,194,177,246
2020년10월_남_90~99세,288,15,34,11,9,13,17,17,16,11,10,25,8,14,31,21,15,21
2020년10월_남_100세 이상,33,2,7,0,0,0,0,2,1,5,0,1,5,2,1,3,1,3
2020년10월_여_총인구수,"151,268","3,115","36,358","2,057","9,673","9,088","9,489","2,628","2,896","1,507","2,185","9,534","4,531","5,217","18,437","9,262","10,623","14,668"
2020년10월_여_연령구간인구수,"151,268","3,115","36,358","2,057","9,673","9,088","9,489","2,628","2,896","1,507","2,185","9,534","4,531","5,217","18,437","9,262","10,623","14,668"
2020년10월_여_0~9세,"16,203",190,"4,667",105,"1,479","1,312","1,198",74,144,25,61,796,452,230,"1,992",746,"1,099","1,633"
2020년10월_여_10~19세,"16,656",242,"4,483",163,"1,413",799,717,112,184,58,95,"1,014",337,381,"2,407","1,182","1,293","1,776"
2020년10월_여_20~29세,"16,052",227,"4,388",133,"1,000",776,975,165,208,84,150,"1,014",518,731,"2,104",929,"1,237","1,413"
2020년10월_여_30~39세,"22,545",247,"6,633",120,"1,930","1,625","1,814",151,226,61,124,"1,114",786,489,"2,606","1,060","1,447","2,112"
2020년10월_여_40~49세,"25,526",365,"6,758",244,"1,911","1,370","1,288",222,341,90,164,"1,563",648,676,"3,420","1,717","2,007","2,742"
2020년10월_여_50~59세,"21,164",533,"4,491",331,891,"1,236","1,353",454,523,218,370,"1,420",618,988,"2,540","1,527","1,617","2,054"
2020년10월_여_60~69세,"15,768",576,"2,631",398,505,"1,004","1,032",563,508,396,462,"1,172",562,838,"1,714","1,033",962,"1,412"
2020년10월_여_70~79세,"10,001",378,"1,401",297,309,516,618,454,383,286,408,844,364,555,"1,034",646,604,904
2020년10월_여_80~89세,"6,260",305,773,221,196,375,408,368,325,246,311,523,188,274,534,361,296,556
2020년10월_여_90~99세,"1,012",50,129,41,39,74,83,63,52,39,37,67,49,47,76,54,52,60
2020년10월_여_100세 이상,81,2,4,4,0,1,3,2,2,4,3,7,9,8,10,7,9,6
