,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년10월_계_80~89세,"14,299","1,460",839,"1,397",942,360,392,345,728,525,515,650,265,557,119,620,449,419,308,238,554,362,369,411,267,353,225,457,173
2020년10월_계_90~99세,"2,065",232,116,172,157,49,73,46,140,80,80,59,32,79,18,81,62,49,53,34,68,48,40,56,42,50,41,77,31
2020년10월_계_100세 이상,115,16,7,9,4,3,3,4,9,9,6,8,1,8,1,2,1,0,3,1,8,1,3,1,0,2,1,4,0
2020년10월_남_총인구수,"440,954","41,189","9,484","45,684","22,507","3,796","3,296","4,105","5,881","3,943","5,978","5,889","2,453","6,548","10,779","23,472","14,435","11,938","16,490","7,028","12,255","26,367","17,731","21,734","26,736","20,402","16,058","41,382","13,394"
2020년10월_남_연령구간인구수,"440,954","41,189","9,484","45,684","22,507","3,796","3,296","4,105","5,881","3,943","5,978","5,889","2,453","6,548","10,779","23,472","14,435","11,938","16,490","7,028","12,255","26,367","17,731","21,734","26,736","20,402","16,058","41,382","13,394"
2020년10월_남_0~9세,"53,816","4,179",498,"5,561","2,147",158,123,153,237,87,166,225,58,225,"1,962","2,316","1,400","1,305","2,245",718,965,"3,275","2,267","3,061","4,872","3,220","2,344","7,617","2,432"
2020년10월_남_10~19세,"49,144","4,940",749,"5,103","1,806",256,182,222,440,169,251,336,88,425,"1,037","2,027","1,599","2,011","2,059",932,"1,195","3,560","3,335","2,796","4,414","2,086","1,525","4,485","1,116"
2020년10월_남_20~29세,"55,674","5,356","1,091","5,649","3,293",463,355,470,577,362,644,609,269,817,"1,244","4,002","2,592","1,470","2,203",926,"1,780","4,152","1,875","3,363","2,121","2,295","2,186","4,096","1,414"
2020년10월_남_30~39세,"78,709","5,802",967,"8,884","4,191",376,319,500,527,310,687,570,250,751,"2,414","5,038","2,385","1,529","2,956",827,"1,657","4,928","1,977","4,356","4,192","4,980","4,054","9,576","3,706"
2020년10월_남_40~49세,"86,774","8,175","1,663","9,502","3,808",537,439,681,828,516,992,872,347,"1,050","2,088","4,345","2,605","2,643","3,115","1,370","2,192","5,197","4,263","4,395","6,835","4,098","3,077","8,627","2,514"
2020년10월_남_50~59세,"61,567","6,562","2,020","5,993","3,520",864,722,879,"1,270",935,"1,514","1,363",606,"1,481","1,294","3,110","2,021","1,705","2,204","1,178","2,174","3,486","2,491","2,178","2,904","2,032","1,731","4,132","1,198"
2020년10월_남_60~69세,"34,831","3,891","1,402","3,160","2,362",673,663,689,"1,090",910,"1,097","1,122",512,"1,078",581,"1,698","1,148",735,"1,227",665,"1,475","1,172",938,901,979,"1,101",790,"2,044",728
2020년10월_남_70~79세,"14,875","1,726",773,"1,317","1,010",325,318,369,588,419,423,516,216,503,122,683,501,394,375,321,616,454,433,507,335,468,274,670,219
2020년10월_남_80~89세,"5,108",508,291,479,344,129,157,131,289,215,181,252,98,203,35,232,174,141,91,86,190,133,145,161,78,114,68,119,64
2020년10월_남_90~99세,420,46,27,31,26,13,16,11,35,17,23,18,9,13,2,20,10,5,13,5,9,10,6,16,6,8,8,14,3
2020년10월_남_100세 이상,36,4,3,5,0,2,2,0,0,3,0,6,0,2,0,1,0,0,2,0,2,0,1,0,0,0,1,2,0
2020년10월_여_총인구수,"409,096","39,925","7,939","39,797","18,739","3,404","2,529","2,797","5,050","3,170","3,921","4,365","1,555","4,799","10,654","20,248","13,778","12,588","16,066","6,715","10,998","24,989","18,263","20,537","26,885","20,275","14,956","41,071","13,083"
2020년10월_여_연령구간인구수,"409,096","39,925","7,939","39,797","18,739","3,404","2,529","2,797","5,050","3,170","3,921","4,365","1,555","4,799","10,654","20,248","13,778","12,588","16,066","6,715","10,998","24,989","18,263","20,537","26,885","20,275","14,956","41,071","13,083"
2020년10월_여_0~9세,"51,335","4,250",449,"5,185","2,005",149,95,112,225,87,141,167,46,200,"2,012","2,188","1,276","1,275","2,186",653,878,"3,220","2,164","2,902","4,608","2,998","2,224","7,285","2,355"
2020년10월_여_10~19세,"47,104","4,903",713,"4,882","1,702",224,161,190,352,140,221,277,70,374,"1,029","1,928","1,531","2,007","1,929",882,"1,060","3,386","3,266","2,586","4,379","2,011","1,367","4,389","1,145"
2020년10월_여_20~29세,"47,626","4,735",694,"4,575","2,291",363,229,254,422,191,335,380,126,502,"1,186","3,043","2,158","1,436","1,942",783,"1,349","3,583","1,862","2,763","2,105","2,490","2,246","4,158","1,425"
2020년10월_여_30~39세,"72,456","5,631",654,"6,965","2,947",286,190,233,356,209,312,320,126,391,"2,423","3,855","2,106","1,651","2,993",781,"1,359","4,854","2,390","4,037","5,393","4,963","3,627","9,870","3,534"
2020년10월_여_40~49세,"75,992","7,550","1,126","7,609","2,905",423,246,328,600,318,468,464,134,602,"1,923","3,458","2,499","2,789","2,901","1,327","1,763","5,217","4,495","4,146","6,373","3,712","2,644","7,784","2,188"
2020년10월_여_50~59세,"53,089","5,872","1,493","4,819","2,987",667,521,559,921,679,837,850,323,951,"1,346","2,789","2,006","1,556","2,336","1,064","2,007","2,814","2,185","1,980","2,399","1,975","1,548","4,318","1,287"
2020년10월_여_60~69세,"33,579","3,864","1,321","3,076","2,117",619,466,525,955,739,793,884,326,832,504,"1,691","1,211",955,"1,149",685,"1,446","1,153","1,049","1,149","1,001","1,287",807,"2,188",787
2020년10월_여_70~79세,"17,000","1,970",848,"1,623","1,052",405,328,343,666,428,417,582,213,521,130,846,663,597,372,358,707,494,592,683,402,556,303,676,225
2020년10월_여_80~89세,"9,191",952,548,918,598,231,235,214,439,310,334,398,167,354,84,388,275,278,217,152,364,229,224,250,189,239,157,338,109
2020년10월_여_90~99세,"1,645",186,89,141,131,36,57,35,105,63,57,41,23,66,16,61,52,44,40,29,59,38,34,40,36,42,33,63,28
2020년10월_여_100세 이상,79,12,4,4,4,1,1,4,9,6,6,2,1,6,1,1,1,0,1,1,6,1,2,1,0,2,0,2,0
