카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년05월_남_10~19세,"106,302","35,945","13,918","22,027","4,390","4,403","17,562","9,241","5,181","3,382","8,205","2,305","2,547","1,835","1,074","4,914","2,986","2,332"
2020년05월_남_20~29세,"133,793","49,989","18,808","31,181","6,388","5,605","19,965","11,282","6,572","2,710","9,508","2,320","3,205","2,342","1,554","5,370","3,967","3,016"
2020년05월_남_30~39세,"146,984","56,405","17,852","38,553","5,308","5,243","26,363","12,352","5,816","2,316","13,276","2,089","2,491","2,013","1,230","5,559","3,553","2,970"
2020년05월_남_40~49세,"175,047","57,507","22,266","35,241","7,174","7,762","30,145","14,844","8,426","4,087","14,894","3,543","4,064","3,311","1,874","7,646","5,355","4,415"
2020년05월_남_50~59세,"179,246","52,623","22,578","30,045","9,742","9,227","24,532","14,999","10,511","3,454","14,414","5,060","5,786","4,638","2,921","8,277","7,367","5,695"
2020년05월_남_60~69세,"133,578","30,301","14,890","15,411","8,838","8,090","15,081","10,508","9,779","2,017","10,247","4,770","6,332","4,898","3,066","6,971","7,064","5,616"
2020년05월_남_70~79세,"76,267","13,259","6,976","6,283","5,200","4,963","7,844","6,360","5,664",879,"6,096","3,041","4,214","3,521","2,024","4,433","4,719","4,050"
2020년05월_남_80~89세,"34,588","5,023","2,706","2,317","2,463","2,205","3,350","2,830","2,781",337,"2,811","1,414","2,215","1,885","1,176","2,195","2,344","1,559"
2020년05월_남_90~99세,"3,233",483,257,226,262,192,285,235,297,37,271,126,239,180,112,206,182,126
2020년05월_남_100세 이상,206,44,21,23,13,12,34,9,24,0,14,9,7,10,3,18,5,4
2020년05월_여_총인구수,"1,038,085","321,201","127,671","193,530","52,659","49,685","151,049","84,045","58,901","21,424","78,124","25,689","33,340","26,404","15,322","50,282","39,121","30,839"
2020년05월_여_연령구간인구수,"1,038,085","321,201","127,671","193,530","52,659","49,685","151,049","84,045","58,901","21,424","78,124","25,689","33,340","26,404","15,322","50,282","39,121","30,839"
2020년05월_여_0~9세,"86,860","31,176","10,351","20,825","2,921","3,163","16,580","7,632","3,650","1,984","7,875","1,331","1,429","1,204",654,"3,817","1,832","1,612"
2020년05월_여_10~19세,"98,488","33,329","12,856","20,473","4,099","4,083","16,630","8,178","4,849","3,074","7,462","2,095","2,298","1,713",969,"4,730","2,820","2,159"
2020년05월_여_20~29세,"108,883","45,563","16,649","28,914","5,120","4,013","15,950","7,899","5,094","2,136","6,758","1,720","2,344","1,665","1,143","4,352","3,008","2,118"
2020년05월_여_30~39세,"126,705","49,866","16,182","33,684","4,576","4,476","23,064","10,082","5,283","2,385","10,167","1,895","2,093","1,586",915,"5,201","2,775","2,341"
2020년05월_여_40~49세,"153,375","54,020","21,026","32,994","6,439","6,404","25,305","12,951","7,366","4,349","11,597","2,816","3,374","2,698","1,341","6,961","4,388","3,366"
2020년05월_여_50~59세,"160,787","49,778","21,521","28,257","9,033","8,111","21,014","13,159","9,582","3,396","11,340","4,181","5,374","3,986","2,437","7,653","6,569","5,174"
2020년05월_여_60~69세,"134,503","29,832","14,782","15,050","8,881","8,475","15,325","10,565","9,655","2,149","10,013","4,665","6,349","5,087","2,907","7,285","7,234","6,081"
2020년05월_여_70~79세,"92,866","16,228","8,268","7,960","6,216","6,175","9,938","7,326","7,221","1,078","6,942","3,763","5,225","4,462","2,508","5,508","5,664","4,612"
2020년05월_여_80~89세,"64,405","9,651","5,094","4,557","4,613","4,044","6,187","5,267","5,276",731,"5,091","2,800","4,081","3,365","2,118","4,116","4,172","2,893"
2020년05월_여_90~99세,"10,520","1,636",880,756,714,694,975,932,861,132,825,401,723,605,314,618,627,463
2020년05월_여_100세 이상,693,122,62,60,47,47,81,54,64,10,54,22,50,33,16,41,32,20
