,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년09월_계_80~89세,"11,271","1,171",271,381,603,290,150,438,305,339,268,"1,456","1,279",324,861,864,193,960,511,607
2020년09월_계_90~99세,"1,388",150,37,69,72,34,34,72,37,42,28,172,156,31,91,86,20,104,69,84
2020년09월_계_100세 이상,82,11,0,1,1,1,4,2,5,5,6,10,6,1,10,5,5,7,0,2
2020년09월_남_총인구수,"274,295","28,724","9,269","3,609","4,221","2,032","1,787","3,217","5,099","4,785","5,185","36,919","40,313","5,046","20,809","17,367","3,974","28,145","18,329","35,465"
2020년09월_남_연령구간인구수,"274,295","28,724","9,269","3,609","4,221","2,032","1,787","3,217","5,099","4,785","5,185","36,919","40,313","5,046","20,809","17,367","3,974","28,145","18,329","35,465"
2020년09월_남_0~9세,"25,557","3,384","1,400",133,115,51,55,82,302,342,338,"2,567","3,790",280,"1,350",855,299,"2,753","1,877","5,584"
2020년09월_남_10~19세,"32,139","3,140",641,183,217,66,86,124,354,315,357,"4,134","5,629",380,"2,075","1,699",385,"4,183","2,683","5,488"
2020년09월_남_20~29세,"37,414","2,977","1,134",378,420,196,164,291,734,634,788,"6,684","5,880",695,"3,337","3,249",555,"3,664","2,330","3,304"
2020년09월_남_30~39세,"36,306","4,666","2,132",314,385,154,146,259,733,648,681,"4,355","4,812",570,"2,444","1,724",435,"3,505","2,431","5,912"
2020년09월_남_40~49세,"49,133","5,766","1,480",519,480,215,214,342,720,675,749,"5,627","7,390",725,"3,308","2,523",629,"5,855","3,792","8,124"
2020년09월_남_50~59세,"49,576","4,295","1,372",873,943,473,427,615,"1,028",887,"1,064","7,991","7,458","1,101","4,397","3,862",800,"4,734","3,131","4,125"
2020년09월_남_60~69세,"29,061","2,901",806,729,998,502,438,891,807,776,788,"3,891","3,664",853,"2,652","2,374",570,"2,147","1,359","1,915"
2020년09월_남_70~79세,"11,307","1,190",219,330,478,278,199,456,322,373,316,"1,231","1,267",332,965,799,224,961,554,813
2020년09월_남_80~89세,"3,511",376,76,139,174,89,49,139,91,126,99,401,392,107,255,268,69,315,158,188
2020년09월_남_90~99세,267,27,9,11,11,8,8,17,5,8,4,35,31,3,21,13,6,24,14,12
2020년09월_남_100세 이상,24,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,4,0,0
2020년09월_여_총인구수,"268,140","27,092","8,895","3,029","3,528","1,794","1,465","3,004","4,885","4,708","4,930","37,155","40,137","4,547","20,157","16,570","3,856","28,317","18,228","35,843"
2020년09월_여_연령구간인구수,"268,140","27,092","8,895","3,029","3,528","1,794","1,465","3,004","4,885","4,708","4,930","37,155","40,137","4,547","20,157","16,570","3,856","28,317","18,228","35,843"
2020년09월_여_0~9세,"24,579","3,202","1,393",94,95,27,34,99,283,303,277,"2,329","3,651",273,"1,323",805,261,"2,789","1,874","5,467"
2020년09월_여_10~19세,"29,536","2,863",620,157,144,59,75,95,356,271,322,"3,791","5,037",338,"1,847","1,522",401,"3,928","2,527","5,183"
2020년09월_여_20~29세,"31,566","2,437","1,100",243,240,124,119,175,584,503,662,"5,714","4,976",574,"2,887","2,549",464,"3,180","2,006","3,029"
2020년09월_여_30~39세,"34,212","4,361","1,978",242,218,98,97,182,553,597,556,"3,978","4,809",428,"2,054","1,356",374,"3,528","2,317","6,486"
2020년09월_여_40~49세,"49,803","4,978","1,368",311,263,136,142,259,687,603,709,"6,499","8,165",623,"3,282","2,634",650,"6,202","4,041","8,251"
2020년09월_여_50~59세,"46,699","3,984","1,333",640,704,381,314,540,998,891,"1,052","8,175","7,109",928,"4,342","3,797",749,"4,287","2,776","3,699"
2020년09월_여_60~69세,"27,967","2,910",635,618,822,427,362,798,771,789,767,"3,552","3,586",724,"2,471","2,120",544,"2,354","1,477","2,240"
2020년09월_여_70~79세,"14,839","1,430",245,423,551,314,192,501,405,500,387,"1,918","1,786",413,"1,270","1,114",272,"1,321",802,995
2020년09월_여_80~89세,"7,760",795,195,242,429,201,101,299,214,213,169,"1,055",887,217,606,596,124,645,353,419
2020년09월_여_90~99세,"1,121",123,28,58,61,26,26,55,32,34,24,137,125,28,70,73,14,80,55,72
2020년09월_여_100세 이상,58,9,0,1,1,1,3,1,2,4,5,7,6,1,5,4,3,3,0,2
