,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년09월_계_90~99세,"3,673",739,110,143,81,135,43,109,118,561,88,82,74,65,95,75,44,38,"1,064",69,84,68,94,38,6,124,81,78,51,44,86,128,48,65,608,141,67,55,53,36,38,85,34,21,37,27,14,701,103,80,44,36,39,49,43,55,31,55,37,44,85
2021년09월_계_100세 이상,88,22,2,5,2,3,2,5,3,10,3,1,1,3,1,1,0,0,22,1,1,1,2,0,0,3,0,5,1,1,3,1,2,1,21,2,7,0,1,4,0,0,3,1,0,1,2,13,3,1,1,0,1,2,1,1,1,1,1,0,0
2021년09월_남_총인구수,"523,791","111,195","10,093","21,874","3,606","25,562","13,241","21,123","15,696","128,929","20,809","14,870","18,672","13,999","22,280","20,519","13,725","4,055","90,018","2,176","6,264","1,816","1,933","6,993",564,"20,950","5,490","7,045","4,366","5,086","7,977","9,593","3,672","6,093","93,975","32,004","5,061","4,950","8,472","3,086","5,550","15,425","4,731","3,738","4,449","4,695","1,814","99,674","8,797","4,169","2,364","5,635","3,686","8,974","4,561","10,620","5,013","12,929","6,598","3,345","22,983"
2021년09월_남_연령구간인구수,"523,791","111,195","10,093","21,874","3,606","25,562","13,241","21,123","15,696","128,929","20,809","14,870","18,672","13,999","22,280","20,519","13,725","4,055","90,018","2,176","6,264","1,816","1,933","6,993",564,"20,950","5,490","7,045","4,366","5,086","7,977","9,593","3,672","6,093","93,975","32,004","5,061","4,950","8,472","3,086","5,550","15,425","4,731","3,738","4,449","4,695","1,814","99,674","8,797","4,169","2,364","5,635","3,686","8,974","4,561","10,620","5,013","12,929","6,598","3,345","22,983"
2021년09월_남_0~9세,"41,347","8,849",522,"3,238",130,"2,084","1,015","1,145",715,"9,588","1,572","1,085","1,156","1,011","1,654","1,783","1,109",218,"6,850",60,561,30,20,"1,069",29,"2,315",238,433,186,234,625,493,200,357,"6,389","2,408",193,344,559,83,287,"1,537",335,126,190,251,76,"9,671",699,175,92,529,268,716,186,"1,154",537,"1,789",951,255,"2,320"
2021년09월_남_10~19세,"51,336","10,202",983,"2,019",207,"2,380","1,443","2,032","1,138","13,637","2,742","1,411","1,311","1,719","2,419","2,036","1,609",390,"7,320",76,525,77,79,624,24,"2,088",324,686,337,474,695,622,233,456,"9,273","4,137",316,412,642,166,445,"1,801",282,237,325,393,117,"10,904",900,336,151,524,409,"1,260",283,"1,157",623,"1,673",485,351,"2,752"
2021년09월_남_20~29세,"71,013","15,803","1,307","2,023",349,"3,756","2,109","3,479","2,780","20,977","3,040","2,487","3,522","2,301","3,469","3,322","2,237",599,"10,560",185,585,146,141,589,80,"2,835",978,846,565,635,826,"1,035",389,725,"11,817","4,475",517,565,950,310,736,"1,797",614,494,527,637,195,"11,856","1,380",485,263,627,429,"1,252",654,"1,224",670,"1,235",656,368,"2,613"
2021년09월_남_30~39세,"69,398","15,090",965,"3,684",394,"3,662","1,951","2,267","2,167","18,470","2,267","2,129","3,493","1,796","3,235","3,210","1,811",529,"11,331",180,732,119,97,"1,115",67,"3,219",573,765,443,502,"1,054","1,191",495,779,"10,848","3,152",522,689,"1,225",311,679,"1,913",673,421,476,560,227,"13,659","1,183",373,197,770,410,"1,089",604,"1,557",635,"1,749","1,214",384,"3,494"
2021년09월_남_40~49세,"84,911","17,420","1,583","4,021",450,"4,019","2,108","3,090","2,149","19,622","3,355","2,176","2,807","2,113","3,492","3,063","1,975",641,"14,076",260,"1,086",189,164,"1,349",71,"3,310",742,"1,115",616,698,"1,280","1,619",601,976,"15,026","5,393",738,729,"1,295",402,816,"2,729",717,558,625,715,309,"18,767","1,522",584,331,879,627,"1,653",765,"1,907",846,"2,589","1,158",570,"5,336"
2021년09월_남_50~59세,"91,564","20,224","1,977","2,949",659,"4,669","2,527","4,463","2,980","24,707","4,059","2,847","3,415","2,771","4,114","3,868","2,930",703,"14,711",377,"1,061",376,401,941,91,"3,155",904,"1,179",793,878,"1,275","1,628",605,"1,047","16,745","6,247",869,774,"1,380",572,928,"2,457",780,693,881,810,354,"15,177","1,220",706,417,886,559,"1,454",754,"1,654",707,"1,679",930,590,"3,621"
2021년09월_남_60~69세,"74,183","16,027","1,689","2,714",860,"3,418","1,539","3,198","2,609","16,421","2,720","1,938","2,175","1,804","2,987","2,515","1,653",629,"14,867",590,"1,026",503,537,827,125,"2,591",980,"1,132",863,981,"1,308","1,712",663,"1,029","14,812","4,120","1,039",861,"1,430",721,"1,017","2,093",816,704,863,815,333,"12,056","1,001",706,480,861,557,"1,058",802,"1,351",608,"1,486",776,512,"1,858"
2021년09월_남_70~79세,"30,021","5,773",783,939,397,"1,240",419,"1,103",892,"4,314",838,618,619,363,716,572,334,254,"7,589",338,516,272,324,371,64,"1,126",549,643,396,513,682,923,331,541,"6,875","1,575",613,446,754,359,506,827,400,405,429,401,160,"5,470",597,518,296,423,307,363,396,465,280,525,295,237,768
2021년09월_남_80~89세,"9,333","1,673",274,267,144,308,122,317,241,"1,098",206,164,159,106,180,138,62,83,"2,509",99,158,95,154,100,9,293,188,228,155,164,212,343,143,168,"2,079",482,242,121,224,149,131,254,108,96,124,108,40,"1,974",271,269,127,128,117,115,113,138,100,197,122,72,205
2021년09월_남_90~99세,671,130,10,19,15,26,8,28,24,92,10,14,15,14,14,11,5,9,203,11,14,9,16,8,4,18,14,18,12,7,18,27,12,15,109,15,12,9,13,12,5,17,5,4,9,5,3,137,23,17,10,8,2,14,4,13,7,7,10,6,16
2021년09월_남_100세 이상,14,4,0,1,1,0,0,1,1,3,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0
2021년09월_여_총인구수,"510,188","107,181","9,710","21,552","3,523","24,908","12,686","20,373","14,429","123,847","20,420","14,764","15,941","13,829","22,586","19,982","12,615","3,710","90,936","2,028","5,914","1,584","1,944","7,124",518,"21,185","5,599","7,460","4,646","5,263","8,113","9,795","3,563","6,200","93,643","31,658","5,156","5,090","8,487","2,995","5,490","15,833","4,574","3,752","4,437","4,721","1,450","94,581","8,147","4,279","2,308","5,503","3,788","8,524","4,046","10,688","5,149","12,883","6,382","3,196","19,688"
2021년09월_여_연령구간인구수,"510,188","107,181","9,710","21,552","3,523","24,908","12,686","20,373","14,429","123,847","20,420","14,764","15,941","13,829","22,586","19,982","12,615","3,710","90,936","2,028","5,914","1,584","1,944","7,124",518,"21,185","5,599","7,460","4,646","5,263","8,113","9,795","3,563","6,200","93,643","31,658","5,156","5,090","8,487","2,995","5,490","15,833","4,574","3,752","4,437","4,721","1,450","94,581","8,147","4,279","2,308","5,503","3,788","8,524","4,046","10,688","5,149","12,883","6,382","3,196","19,688"
2021년09월_여_0~9세,"38,787","8,489",538,"3,044",110,"2,071",951,"1,074",701,"9,057","1,518",948,"1,037",975,"1,600","1,746","1,019",214,"6,417",46,484,27,23,"1,009",28,"2,215",233,379,184,183,590,482,198,336,"6,004","2,284",163,308,539,74,240,"1,480",296,122,198,237,63,"8,820",677,126,73,449,256,683,160,"1,122",481,"1,532",842,224,"2,195"
2021년09월_여_10~19세,"46,881","9,107",804,"1,940",164,"2,181","1,220","1,799",999,"12,204","2,422","1,230","1,182","1,549","2,217","1,882","1,375",347,"6,868",74,502,54,59,637,25,"1,943",345,655,364,367,630,536,190,487,"8,454","3,743",280,367,582,148,388,"1,667",281,210,311,382,95,"10,248",898,286,124,470,352,"1,172",237,"1,097",574,"1,635",509,334,"2,560"
2021년09월_여_20~29세,"55,923","12,570",903,"1,668",272,"3,039","1,781","2,810","2,097","16,482","2,330","2,069","2,707","1,763","2,878","2,602","1,745",388,"8,502",92,479,101,67,553,60,"2,221",741,674,495,491,707,917,287,617,"9,511","3,533",388,530,822,218,557,"1,436",498,430,388,603,108,"8,858",786,316,188,489,344,938,428,"1,032",503,981,601,265,"1,987"
2021년09월_여_30~39세,"61,541","13,423",793,"3,921",246,"3,215","1,750","1,957","1,541","16,101","2,226","1,895","2,581","1,640","2,954","2,911","1,527",367,"10,067",85,619,71,71,"1,189",61,"3,100",478,671,355,380,946,"1,029",365,647,"9,681","3,083",348,629,"1,039",215,570,"1,969",554,291,364,473,146,"12,269",926,288,145,661,363,983,375,"1,516",610,"1,908","1,182",339,"2,973"
2021년09월_여_40~49세,"81,727","16,576","1,478","3,510",318,"3,968","2,242","3,093","1,967","21,198","3,816","2,409","2,432","2,521","3,960","3,274","2,203",583,"12,582",127,892,107,112,"1,195",64,"3,353",629,"1,069",568,688,"1,161","1,321",453,843,"14,425","5,806",601,636,"1,060",296,734,"2,831",594,483,544,643,197,"16,946","1,366",543,242,839,595,"1,755",528,"1,861",870,"2,554","1,001",526,"4,266"
2021년09월_여_50~59세,"92,902","20,841","1,912","3,184",626,"4,957","2,549","4,631","2,982","26,477","4,215","3,197","3,173","3,146","4,880","4,247","2,919",700,"14,783",341,896,294,292,958,71,"3,444",944,"1,264",867,994,"1,241","1,572",584,"1,021","16,940","6,175",843,812,"1,431",543,961,"2,719",825,669,843,850,269,"13,861",990,673,376,896,610,"1,342",731,"1,761",720,"1,793",870,510,"2,589"
2021년09월_여_60~69세,"75,862","15,654","1,672","2,528",824,"3,456","1,438","3,162","2,574","14,686","2,529","1,915","1,909","1,533","2,633","2,225","1,290",652,"16,626",582,"1,090",389,469,940,112,"2,947","1,133","1,356",965,"1,156","1,465","2,018",756,"1,248","16,150","3,964","1,273",957,"1,663",751,"1,199","2,306",844,891,"1,067",929,306,"12,746","1,151",868,513,950,647,"1,019",889,"1,362",737,"1,527",746,504,"1,833"
2021년09월_여_70~79세,"35,183","6,344",904,973,527,"1,275",493,"1,212",960,"4,573",869,675,558,405,851,642,298,275,"9,320",378,554,268,400,408,58,"1,292",671,860,504,659,917,"1,207",448,696,"8,279","1,906",826,558,945,489,580,978,452,461,491,421,172,"6,667",823,713,385,464,364,408,446,573,403,615,358,259,856
2021년09월_여_80~89세,"18,306","3,550",604,656,369,634,225,550,512,"2,593",414,358,302,244,531,389,200,155,"4,890",244,327,213,371,205,37,561,358,467,304,307,387,611,244,254,"3,681","1,036",372,247,365,234,228,379,199,177,203,160,81,"3,592",448,402,227,257,220,187,212,321,226,289,246,197,360
2021년09월_여_90~99세,"3,002",609,100,124,66,109,35,81,94,469,78,68,59,51,81,64,39,29,861,58,70,59,78,30,2,106,67,60,39,37,68,101,36,50,499,126,55,46,40,24,33,68,29,17,28,22,11,564,80,63,34,28,37,35,39,42,24,48,27,38,69
2021년09월_여_100세 이상,74,18,2,4,1,3,2,4,2,7,3,0,1,2,1,0,0,0,20,1,1,1,2,0,0,3,0,5,1,1,1,1,2,1,19,2,7,0,1,3,0,0,2,1,0,1,2,10,2,1,1,0,0,2,1,1,1,1,0,0,0
