,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 상현3동,경기도 용인시 수지구 성복동
2021년10월_계_80~89세,"30,163","7,826",948,849,805,650,500,662,642,723,480,314,853,400,"12,213","1,157",482,612,709,430,958,662,350,"1,511","1,275",678,583,873,700,"1,233","10,124","1,054","1,002","1,128",963,501,685,983,588,"1,032",581,"1,607"
2021년10월_계_90~99세,"4,410","1,223",143,139,132,91,87,82,121,104,80,49,119,76,"1,782",131,89,171,120,40,142,86,44,221,189,90,80,102,96,181,"1,405",146,115,161,120,93,96,152,95,133,77,217
2021년10월_계_100세 이상,156,39,1,4,6,3,2,1,8,3,3,0,4,4,65,8,3,4,7,0,5,5,2,6,7,2,2,1,7,6,52,10,2,4,6,3,4,5,3,4,3,8
2021년10월_남_총인구수,"535,631","134,041","17,397","14,179","10,449","12,021","4,286","4,812","10,751","12,704","16,143","6,235","18,265","6,799","218,360","19,161","15,157","8,668","20,887","6,842","16,522","10,752","13,628","19,366","15,678","15,721","13,390","12,777","12,018","17,793","183,230","18,089","20,255","18,334","14,147","9,113","13,053","24,428","9,770","16,233","13,514","26,294"
2021년10월_남_연령구간인구수,"535,631","134,041","17,397","14,179","10,449","12,021","4,286","4,812","10,751","12,704","16,143","6,235","18,265","6,799","218,360","19,161","15,157","8,668","20,887","6,842","16,522","10,752","13,628","19,366","15,678","15,721","13,390","12,777","12,018","17,793","183,230","18,089","20,255","18,334","14,147","9,113","13,053","24,428","9,770","16,233","13,514","26,294"
2021년10월_남_0~9세,"48,963","10,313","1,110",976,717,"1,577",169,132,642,765,"1,810",550,"1,521",344,"20,742","1,604","1,660",932,"2,120",487,"1,455",894,"1,495","1,668","1,303","1,570","1,289","1,664",960,"1,641","17,908","1,357","2,265","1,641","1,175",759,"1,153","2,876",981,"1,620","1,304","2,777"
2021년10월_남_10~19세,"62,306","13,415","1,959","1,284",930,"1,034",282,468,"1,325","1,118","1,562",661,"2,198",594,"25,886","1,832","1,822",608,"1,701",615,"2,205","1,127","1,288","2,475","1,578","2,813","2,393","1,686","1,411","2,332","23,005","1,821","2,925","2,732","1,828",806,"1,629","2,772","1,392","2,150","1,699","3,251"
2021년10월_남_20~29세,"72,177","18,993","2,719","1,918","1,220",976,403,567,"1,470","2,356","2,754",952,"2,646","1,012","29,958","2,532","2,007","1,293","3,267","1,038","2,088","1,391","3,243","2,301","2,115","1,824","1,682","1,236","1,759","2,182","23,226","2,673","2,468","2,090","1,905","1,433","2,027","2,786","1,123","1,909","1,895","2,917"
2021년10월_남_30~39세,"70,017","17,844","2,101","1,651","1,312","1,986",419,435,"1,399","1,762","2,923",809,"2,249",798,"28,249","3,134","2,200","1,595","3,786","1,031","1,783","1,357","2,198","2,054","1,923","1,458",967,"1,635","1,302","1,826","23,924","3,378","2,753","1,766","1,580","1,645","1,646","3,535","1,073","1,900","2,011","2,637"
2021년10월_남_40~49세,"97,472","22,894","3,080","2,432","1,807","2,366",566,592,"1,706","2,034","2,924","1,007","3,383",997,"40,336","3,251","2,890","1,385","3,618","1,189","3,115","1,937","2,340","3,652","2,552","3,571","2,759","2,696","1,988","3,393","34,242","2,857","4,311","3,578","2,529","1,461","2,436","4,741","1,857","3,043","2,524","4,905"
2021년10월_남_50~59세,"86,590","22,688","3,202","2,605","1,936","1,532",832,890,"1,844","2,139","2,035","1,121","3,260","1,292","34,991","3,169","2,556","1,320","3,334","1,211","2,751","1,730","1,582","3,084","2,517","2,630","2,446","1,599","2,252","2,810","28,911","2,735","3,119","3,065","2,387","1,412","2,086","3,679","1,579","2,582","2,067","4,200"
2021년10월_남_60~69세,"54,482","17,243","2,025","2,051","1,564","1,510",931,"1,031","1,534","1,593","1,349",686,"1,844","1,125","20,687","2,095","1,295",877,"1,875",681,"1,663","1,338",973,"2,021","1,780",970,"1,003","1,028","1,378","1,710","16,552","1,803","1,290","1,632","1,424",875,"1,150","2,346",846,"1,430","1,106","2,650"
2021년10월_남_70~79세,"29,721","7,498",837,889,672,776,482,442,579,658,573,310,815,465,"11,767","1,021",553,376,874,388,999,674,370,"1,378","1,239",598,566,791,687,"1,253","10,456",993,688,"1,227",825,486,622,"1,228",612,"1,076",622,"2,077"
2021년10월_남_80~89세,"12,713","2,881",338,347,267,242,184,235,224,257,195,127,316,149,"5,240",485,160,218,284,195,415,289,131,688,604,256,260,405,261,589,"4,592",429,402,553,453,204,275,429,289,481,263,814
2021년10월_남_90~99세,"1,167",266,26,26,23,21,18,20,27,21,17,12,33,22,492,37,13,63,27,7,47,13,8,44,65,31,24,36,20,57,409,42,34,50,41,32,29,35,17,41,22,66
2021년10월_남_100세 이상,23,6,0,0,1,1,0,0,1,1,1,0,0,1,12,1,1,1,1,0,1,2,0,1,2,0,1,1,0,0,5,1,0,0,0,0,0,1,1,1,1,0
2021년10월_여_총인구수,"543,978","127,125","16,250","12,904","9,999","11,845","4,005","3,982","9,324","12,319","15,812","6,432","17,930","6,323","223,975","19,210","15,324","8,849","20,918","6,373","16,879","10,924","12,768","20,805","16,394","17,046","13,895","13,472","12,632","18,486","192,878","18,183","20,893","19,521","15,071","9,290","14,146","25,213","10,655","17,201","14,421","28,284"
2021년10월_여_연령구간인구수,"543,978","127,125","16,250","12,904","9,999","11,845","4,005","3,982","9,324","12,319","15,812","6,432","17,930","6,323","223,975","19,210","15,324","8,849","20,918","6,373","16,879","10,924","12,768","20,805","16,394","17,046","13,895","13,472","12,632","18,486","192,878","18,183","20,893","19,521","15,071","9,290","14,146","25,213","10,655","17,201","14,421","28,284"
2021년10월_여_0~9세,"46,815","9,872","1,046",871,749,"1,553",165,103,567,751,"1,740",492,"1,517",318,"19,650","1,594","1,574",913,"2,023",405,"1,347",859,"1,477","1,581","1,207","1,611","1,195","1,519",842,"1,503","17,293","1,257","2,176","1,639","1,175",686,"1,144","2,698","1,000","1,545","1,320","2,653"
2021년10월_여_10~19세,"59,215","12,303","1,782","1,160",859,"1,027",304,347,"1,059","1,068","1,536",630,"2,030",501,"24,612","1,701","1,748",593,"1,593",613,"2,082","1,032","1,296","2,331","1,459","2,779","2,225","1,644","1,328","2,188","22,300","1,728","2,749","2,604","1,734",738,"1,669","2,628","1,436","2,032","1,622","3,360"
2021년10월_여_20~29세,"66,366","15,910","2,136","1,576",938,863,317,339,"1,093","2,095","2,580",899,"2,259",815,"27,405","2,488","1,794","1,126","3,323",892,"1,965","1,205","2,199","2,135","1,966","1,825","1,572","1,242","1,631","2,042","23,051","2,540","2,446","1,978","1,911","1,390","2,075","2,760","1,124","1,867","2,112","2,848"
2021년10월_여_30~39세,"71,382","15,657","1,742","1,447","1,021","2,031",298,296,"1,051","1,443","2,737",822,"2,170",599,"29,358","2,866","2,243","1,574","3,756",852,"1,876","1,367","2,156","2,197","1,992","1,765","1,297","1,908","1,390","2,119","26,367","2,894","3,173","2,108","1,725","1,579","1,862","4,042","1,313","2,155","2,177","3,339"
2021년10월_여_40~49세,"100,315","20,583","2,854","2,108","1,522","2,023",470,376,"1,405","1,809","2,680","1,087","3,329",920,"42,287","3,248","2,971","1,336","3,441","1,089","3,230","1,893","2,189","3,995","2,730","4,071","3,313","2,790","2,187","3,804","37,445","2,999","4,510","4,195","2,888","1,515","2,605","4,882","2,113","3,352","2,731","5,655"
2021년10월_여_50~59세,"83,899","21,250","2,858","2,233","1,809","1,545",726,668,"1,630","2,131","2,158","1,174","3,051","1,267","34,408","3,061","2,488","1,468","3,306","1,050","2,682","1,822","1,694","3,166","2,686","2,322","2,072","1,577","2,344","2,670","28,241","2,740","2,811","2,897","2,427","1,485","2,118","3,567","1,520","2,581","2,043","4,052"
2021년10월_여_60~69세,"58,965","16,893","1,984","1,902","1,607","1,566",892,885,"1,379","1,640","1,344",743,"1,892","1,059","23,266","2,123","1,463",949,"1,941",697,"1,850","1,503","1,018","2,542","2,029","1,291","1,140","1,281","1,540","1,899","18,806","2,019","1,314","1,878","1,540",965,"1,350","2,566",984,"1,721","1,288","3,181"
2021년10월_여_70~79세,"36,195","8,722","1,120",988,842,757,446,478,621,831,687,361,"1,055",536,"14,673","1,356",643,385,"1,011",507,"1,205",794,482,"1,853","1,525",899,701,977,848,"1,487","12,800","1,268","1,031","1,532","1,076",571,842,"1,395",786,"1,302",753,"2,244"
2021년10월_여_80~89세,"17,450","4,945",610,502,538,408,316,427,418,466,285,187,537,251,"6,973",672,322,394,425,235,543,373,219,823,671,422,323,468,439,644,"5,532",625,600,575,510,297,410,554,299,551,318,793
2021년10월_여_90~99세,"3,243",957,117,113,109,70,69,62,94,83,63,37,86,54,"1,290",94,76,108,93,33,95,73,36,177,124,59,56,66,76,124,996,104,81,111,79,61,67,117,78,92,55,151
2021년10월_여_100세 이상,133,33,1,4,5,2,2,1,7,2,2,0,4,3,53,7,2,3,6,0,4,3,2,5,5,2,1,0,7,6,47,9,2,4,6,3,4,4,2,3,2,8
