,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년03월_여_연령구간인구수,"116,024","3,926","1,497",803,"3,651","1,419","5,777",543,"3,706","1,737",539,"1,532",700,"2,741","4,265","12,591","3,368","12,650","8,826","17,195","16,965","11,593"
2021년03월_여_0~9세,"12,535",275,34,17,188,30,688,19,218,91,11,35,25,182,240,"2,146",297,"1,201",741,"1,624","2,811","1,662"
2021년03월_여_10~19세,"13,220",300,53,28,287,65,535,20,314,122,14,44,34,315,415,"1,655",291,"1,390","1,070","2,058","2,429","1,781"
2021년03월_여_20~29세,"10,370",292,97,36,245,73,400,29,302,145,23,83,29,271,424,984,325,"1,310","1,092","1,819","1,417",974
2021년03월_여_30~39세,"16,886",414,80,39,294,65,884,29,368,126,29,72,46,264,385,"2,731",465,"1,703","1,210","2,365","3,358","1,959"
2021년03월_여_40~49세,"21,672",595,139,61,436,124,961,45,574,174,37,130,73,473,695,"2,682",567,"2,329","1,767","3,394","3,670","2,746"
2021년03월_여_50~59세,"18,193",751,286,139,631,272,846,109,712,312,84,262,116,496,862,"1,299",644,"2,418","1,692","2,951","1,915","1,396"
2021년03월_여_60~69세,"13,230",688,364,184,675,349,746,139,625,355,126,348,154,404,773,724,527,"1,581",896,"2,009",886,677
2021년03월_여_70~79세,"5,720",329,254,172,450,232,409,92,309,209,114,286,122,200,302,220,157,462,217,627,321,236
2021년03월_여_80~89세,"3,501",237,162,110,349,174,264,54,237,160,80,229,83,121,147,130,81,211,115,298,121,138
2021년03월_여_90~99세,678,45,28,17,92,33,42,7,46,42,21,41,18,14,22,20,14,44,24,50,36,22
2021년03월_여_100세 이상,19,0,0,0,4,2,2,0,1,1,0,2,0,1,0,0,0,1,2,0,1,2
