카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년02월_남_50~59세,"49,108","4,198","1,267",882,"1,004",487,454,659,"1,040",937,"1,097","8,052","7,359","1,093","4,453","3,948",827,"4,546","2,992","3,813"
2020년02월_남_60~69세,"27,466","2,747",713,702,937,469,413,899,769,771,733,"3,626","3,464",822,"2,508","2,249",532,"2,017","1,314","1,781"
2020년02월_남_70~79세,"10,927","1,165",208,321,461,278,183,434,307,371,308,"1,186","1,219",317,934,780,221,942,544,748
2020년02월_남_80~89세,"3,324",339,71,135,165,80,46,135,79,122,96,387,377,101,256,253,62,308,139,173
2020년02월_남_90~99세,258,26,11,9,13,7,6,17,4,8,6,30,31,2,19,15,7,25,12,10
2020년02월_남_100세 이상,23,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020년02월_여_총인구수,"268,330","27,076","8,353","3,086","3,594","1,818","1,471","3,077","4,926","4,800","4,993","37,749","40,268","4,544","20,472","16,931","3,923","28,285","18,429","34,535"
2020년02월_여_연령구간인구수,"268,330","27,076","8,353","3,086","3,594","1,818","1,471","3,077","4,926","4,800","4,993","37,749","40,268","4,544","20,472","16,931","3,923","28,285","18,429","34,535"
2020년02월_여_0~9세,"25,384","3,306","1,309",102,107,31,39,106,291,329,291,"2,470","3,780",279,"1,389",859,275,"2,920","1,971","5,530"
2020년02월_여_10~19세,"29,968","2,817",597,167,141,61,84,96,364,283,344,"4,019","5,141",344,"1,904","1,625",415,"3,972","2,557","5,037"
2020년02월_여_20~29세,"31,784","2,532","1,046",261,258,133,134,202,594,536,675,"5,850","4,996",582,"2,917","2,616",487,"3,131","2,059","2,775"
2020년02월_여_30~39세,"35,240","4,465","1,912",255,245,109,96,199,568,629,583,"4,109","5,033",433,"2,161","1,451",400,"3,729","2,506","6,357"
2020년02월_여_40~49세,"50,093","4,900","1,240",338,284,147,146,263,699,608,747,"6,769","8,248",622,"3,436","2,793",661,"6,176","4,098","7,918"
2020년02월_여_50~59세,"46,183","3,976","1,258",664,730,385,320,580,"1,031",930,"1,048","8,158","6,967",951,"4,375","3,814",767,"4,145","2,661","3,423"
2020년02월_여_60~69세,"26,494","2,756",539,586,814,417,351,778,740,756,738,"3,331","3,375",686,"2,379","2,016",522,"2,226","1,432","2,052"
2020년02월_여_70~79세,"14,555","1,407",238,422,550,314,182,501,404,484,377,"1,899","1,728",414,"1,254","1,110",256,"1,290",759,966
2020년02월_여_80~89세,"7,504",786,193,239,407,194,94,296,203,212,161,"1,013",881,207,573,574,123,606,339,403
2020년02월_여_90~99세,"1,068",126,20,50,57,26,23,54,30,29,24,124,113,25,78,70,14,87,47,71
2020년02월_여_100세 이상,57,5,1,2,1,1,2,2,2,4,5,7,6,1,6,3,3,3,0,3
