,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년10월_남_연령구간인구수,"139,958","7,978","12,597","11,079","6,195","6,717","10,958","7,354","7,296","10,820","6,847","12,146","8,278","6,242","8,324","5,481","5,553","6,093"
2021년10월_남_0~9세,"9,910",601,"1,168",582,210,474,851,577,621,878,670,"1,237",545,358,398,289,257,194
2021년10월_남_10~19세,"9,480",575,805,775,332,472,912,791,553,678,482,839,554,424,437,267,295,289
2021년10월_남_20~29세,"21,609","1,137","1,929","2,164","2,600","1,075","1,359",849,854,"1,392",727,"1,275","1,311",979,"1,159",907,865,"1,027"
2021년10월_남_30~39세,"23,162","1,434","2,102","1,659",896,"1,118","1,678","1,061","1,192","1,962","1,196","2,189","1,424","1,140","1,361",974,876,900
2021년10월_남_40~49세,"21,791","1,240","1,975","1,484",601,"1,032","1,856","1,359","1,285","1,783","1,283","2,189","1,150",936,"1,148",726,824,920
2021년10월_남_50~59세,"22,970","1,292","2,077","1,774",631,"1,073","1,919","1,210","1,117","1,727","1,025","1,776","1,542","1,015","1,585",937,"1,040","1,230"
2021년10월_남_60~69세,"18,385","1,016","1,534","1,537",467,862,"1,328",800,986,"1,395",843,"1,543","1,158",828,"1,448",824,916,900
2021년10월_남_70~79세,"8,967",481,714,773,308,435,755,482,488,714,450,754,432,418,567,389,352,455
2021년10월_남_80~89세,"3,374",185,272,305,136,156,279,208,184,261,154,309,148,133,209,148,116,171
2021년10월_남_90~99세,287,16,21,26,11,19,20,16,16,27,15,32,12,10,10,18,11,7
2021년10월_남_100세 이상,23,1,0,0,3,1,1,1,0,3,2,3,2,1,2,2,1,0
2021년10월_여_총인구수,"147,216","8,497","13,949","11,380","5,835","7,214","12,455","8,106","8,017","11,901","7,517","13,970","8,296","6,486","7,601","5,393","4,962","5,637"
2021년10월_여_연령구간인구수,"147,216","8,497","13,949","11,380","5,835","7,214","12,455","8,106","8,017","11,901","7,517","13,970","8,296","6,486","7,601","5,393","4,962","5,637"
2021년10월_여_0~9세,"9,499",587,"1,073",574,192,481,879,555,615,826,651,"1,242",447,333,380,270,225,169
2021년10월_여_10~19세,"9,562",526,788,793,392,515,"1,108",809,521,713,441,806,521,427,402,247,256,297
2021년10월_여_20~29세,"22,293","1,283","2,292","2,091","2,194","1,146","1,513",879,867,"1,352",719,"1,514","1,229","1,050","1,058","1,024",819,"1,263"
2021년10월_여_30~39세,"23,926","1,426","2,452","1,563",698,"1,132","1,852","1,105","1,381","2,077","1,388","2,672","1,447","1,156","1,141",915,717,804
2021년10월_여_40~49세,"21,696","1,256","2,008","1,448",518,"1,091","1,996","1,495","1,240","1,864","1,273","2,281","1,193",997,"1,000",690,668,678
2021년10월_여_50~59세,"23,345","1,382","2,281","1,855",671,"1,172","2,022","1,264","1,211","1,905","1,063","2,082","1,530",977,"1,369",827,882,852
2021년10월_여_60~69세,"19,279","1,090","1,598","1,572",520,853,"1,545",948,"1,174","1,629","1,020","1,841","1,128",840,"1,260",732,778,751
2021년10월_여_70~79세,"11,178",638,873,941,422,535,997,658,612,951,616,960,513,453,656,436,398,519
2021년10월_여_80~89세,"5,540",265,496,456,199,242,469,348,352,506,302,476,248,223,285,221,187,265
2021년10월_여_90~99세,859,43,87,82,25,43,72,45,42,74,42,91,38,30,46,30,32,37
2021년10월_여_100세 이상,39,1,1,5,4,4,2,0,2,4,2,5,2,0,4,1,0,2
