,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년11월_계_80~89세,"14,068","6,926",288,620,469,344,460,630,258,332,610,592,948,404,521,450,"7,142",453,226,583,450,352,"1,041",505,523,343,431,309,123,422,420,392,258,311
2020년11월_계_90~99세,"2,153",979,48,84,61,45,52,72,60,51,76,113,130,46,69,72,"1,174",81,48,104,62,56,161,76,62,38,76,47,30,64,77,88,46,58
2020년11월_계_100세 이상,179,83,1,10,7,0,5,14,7,5,11,7,7,1,7,1,96,20,10,8,2,1,12,7,2,6,3,1,5,6,9,1,0,3
2020년11월_남_총인구수,"272,550","120,116","6,325","10,960","8,404","3,638","5,408","10,864","7,844","5,718","8,743","9,777","16,302","6,900","7,757","11,476","152,434","10,590","5,388","9,155","8,504","5,091","18,197","9,817","13,350","7,418","11,766","8,314","4,179","10,088","11,101","7,430","6,552","5,494"
2020년11월_남_연령구간인구수,"272,550","120,116","6,325","10,960","8,404","3,638","5,408","10,864","7,844","5,718","8,743","9,777","16,302","6,900","7,757","11,476","152,434","10,590","5,388","9,155","8,504","5,091","18,197","9,817","13,350","7,418","11,766","8,314","4,179","10,088","11,101","7,430","6,552","5,494"
2020년11월_남_0~9세,"20,127","7,931",455,581,454,139,254,598,889,248,538,778,"1,135",461,334,"1,067","12,196",966,412,486,779,371,"1,132",632,"1,189",716,"1,244",770,503,735,841,582,474,364
2020년11월_남_10~19세,"27,248","9,875",555,804,693,244,412,670,676,377,656,823,"1,409",724,610,"1,222","17,373","1,166",538,763,"1,208",380,"1,576",712,"1,267",863,"1,964","1,797",392,884,"1,035","1,220",828,780
2020년11월_남_20~29세,"40,534","18,117",983,"1,724","1,336",532,764,"1,716","1,020",906,"1,326","1,357","2,441","1,093","1,130","1,789","22,417","1,479",831,"1,525","1,096",721,"3,171","1,627","1,780","1,135","1,384",952,465,"1,696","1,741",999,"1,009",806
2020년11월_남_30~39세,"39,314","17,432",976,"1,646","1,187",525,746,"1,982","1,323",899,"1,169","1,347","2,140",800,934,"1,758","21,882","1,357",694,"1,273","1,047","1,173","2,577","1,650","3,012",880,"1,504",532,802,"1,598","1,538",861,819,565
2020년11월_남_40~49세,"43,123","18,049","1,007","1,577","1,241",547,772,"1,671","1,339",809,"1,179","1,458","2,471","1,074","1,175","1,729","25,074","1,678",800,"1,170","1,552",841,"2,463","1,510","2,481","1,197","2,520","1,830",783,"1,372","1,620","1,364",983,910
2020년11월_남_50~59세,"47,470","21,393","1,123","1,963","1,453",697,"1,005","1,812","1,313","1,018","1,579","1,641","3,073","1,289","1,616","1,811","26,077","1,855","1,002","1,758","1,343",743,"3,324","1,781","1,854","1,450","1,736","1,399",624,"1,780","2,035","1,241","1,203",949
2020년11월_남_60~69세,"34,852","16,937",755,"1,648","1,277",530,863,"1,457",841,917,"1,404","1,449","2,239",950,"1,174","1,433","17,915","1,393",733,"1,417",951,548,"2,507","1,168","1,183",764,939,651,410,"1,397","1,605",721,843,685
2020년11월_남_70~79세,"14,501","7,666",344,762,583,278,419,692,335,412,648,694,"1,028",379,594,498,"6,835",504,298,558,386,211,"1,071",529,395,274,332,251,158,463,522,284,297,302
2020년11월_남_80~89세,"4,824","2,473",115,233,165,125,161,233,92,127,226,200,340,126,175,155,"2,351",167,68,174,128,93,329,189,174,129,118,117,39,150,142,130,87,117
2020년11월_남_90~99세,505,215,12,18,13,21,10,28,13,5,14,26,25,4,12,14,290,24,8,28,13,10,45,19,14,9,22,15,2,11,18,28,9,15
2020년11월_남_100세 이상,52,28,0,4,2,0,2,5,3,0,4,4,1,0,3,0,24,1,4,3,1,0,2,0,1,1,3,0,1,2,4,0,0,1
2020년11월_여_총인구수,"278,746","119,831","6,404","10,901","8,431","3,647","5,432","10,221","8,113","5,310","8,968","10,152","16,310","6,836","7,642","11,464","158,915","11,134","5,739","9,373","9,160","6,092","18,971","9,579","14,197","7,695","12,373","8,556","4,059","10,436","10,963","8,054","6,782","5,752"
2020년11월_여_연령구간인구수,"278,746","119,831","6,404","10,901","8,431","3,647","5,432","10,221","8,113","5,310","8,968","10,152","16,310","6,836","7,642","11,464","158,915","11,134","5,739","9,373","9,160","6,092","18,971","9,579","14,197","7,695","12,373","8,556","4,059","10,436","10,963","8,054","6,782","5,752"
2020년11월_여_0~9세,"19,443","7,734",479,624,421,134,238,564,894,233,495,680,"1,108",482,371,"1,011","11,709",852,411,486,696,375,"1,020",623,"1,191",676,"1,221",645,489,751,812,591,490,380
2020년11월_여_10~19세,"25,339","9,074",543,727,630,252,353,661,645,338,635,731,"1,238",626,574,"1,121","16,265","1,079",548,653,"1,061",353,"1,445",754,"1,177",838,"1,817","1,644",359,834,"1,057","1,101",784,761
2020년11월_여_20~29세,"37,448","16,503",974,"1,735","1,151",552,690,"1,507","1,024",727,"1,197","1,261","2,252",879,"1,030","1,524","20,945","1,475",779,"1,314","1,039",781,"2,810","1,382","1,862","1,043","1,247",946,491,"1,580","1,532","1,006",930,728
2020년11월_여_30~39세,"37,297","15,619",902,"1,370","1,022",422,638,"1,550","1,454",615,984,"1,378","2,093",772,740,"1,679","21,678","1,452",713,"1,135","1,195","1,149","2,282","1,378","2,871","1,003","1,753",702,803,"1,479","1,451",987,794,531
2020년11월_여_40~49세,"45,044","17,290","1,029","1,491","1,143",462,744,"1,455","1,286",680,"1,155","1,550","2,375","1,047","1,093","1,780","27,754","1,846",897,"1,221","1,784","1,033","2,652","1,489","2,653","1,365","2,856","2,210",671,"1,482","1,658","1,662","1,203","1,072"
2020년11월_여_50~59세,"50,339","22,169","1,089","2,054","1,605",645,983,"1,766","1,325","1,042","1,776","1,899","3,109","1,303","1,485","2,088","28,170","2,073","1,126","1,994","1,428",966,"3,819","1,783","2,146","1,498","1,710","1,247",590,"2,005","2,201","1,288","1,284","1,012"
2020년11월_여_60~69세,"35,651","17,368",785,"1,591","1,408",550,931,"1,550",882,962,"1,490","1,468","2,225",941,"1,220","1,365","18,283","1,414",726,"1,455","1,069",732,"2,726","1,176","1,265",729,940,601,399,"1,441","1,424",703,778,705
2020년11월_여_70~79세,"17,166","8,802",393,850,694,387,511,718,386,457,783,703,"1,191",465,722,542,"8,364",581,335,625,516,397,"1,379",614,634,295,462,336,141,535,486,393,311,324
2020년11월_여_80~89세,"9,244","4,453",173,387,304,219,299,397,166,205,384,392,608,278,346,295,"4,791",286,158,409,322,259,712,316,349,214,313,192,84,272,278,262,171,194
2020년11월_여_90~99세,"1,648",764,36,66,48,24,42,44,47,46,62,87,105,42,57,58,884,57,40,76,49,46,116,57,48,29,54,32,28,53,59,60,37,43
2020년11월_여_100세 이상,127,55,1,6,5,0,3,9,4,5,7,3,6,1,4,1,72,19,6,5,1,1,10,7,1,5,0,1,4,4,5,1,0,2
