,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년08월_남_40~49세,"123,131","68,881","15,121","14,816","21,931","17,013","15,565","9,185","1,768","3,280","2,707","2,970","7,468","2,107","7,480","1,720"
2021년08월_남_50~59세,"138,955","68,754","16,567","16,553","21,496","14,138","18,930","12,025","3,137","4,714","4,316","3,185","7,541","3,814","9,648","2,891"
2021년08월_남_60~69세,"119,511","51,118","12,838","12,909","14,681","10,690","16,956","12,030","3,740","5,304","4,993","2,648","5,735","4,857","8,676","3,454"
2021년08월_남_70~79세,"54,363","21,436","5,555","5,579","5,610","4,692","7,702","5,593","2,035","2,952","2,828","1,210","2,550","2,487","3,870","1,700"
2021년08월_남_80~89세,"23,509","8,403","2,225","2,256","2,060","1,862","3,551","2,391","1,069","1,303","1,373",525,"1,228","1,236","1,649",781
2021년08월_남_90~99세,"2,050",704,220,173,157,154,320,180,112,153,116,42,90,97,163,73
2021년08월_남_100세 이상,67,20,3,5,3,9,8,16,0,1,3,2,4,4,6,3
2021년08월_여_총인구수,"787,084","420,587","97,411","97,239","131,690","94,247","103,519","65,715","15,878","24,954","23,133","17,422","40,346","18,041","43,423","14,066"
2021년08월_여_연령구간인구수,"787,084","420,587","97,411","97,239","131,690","94,247","103,519","65,715","15,878","24,954","23,133","17,422","40,346","18,041","43,423","14,066"
2021년08월_여_0~9세,"58,247","35,403","7,918","6,396","11,675","9,414","6,943","4,059",671,"1,203","1,070","1,432","3,652",610,"2,671",533
2021년08월_여_10~19세,"70,660","40,925","9,511","9,431","12,700","9,283","8,903","5,503",964,"1,779","1,553","1,603","4,046",929,"3,573",882
2021년08월_여_20~29세,"87,053","54,433","11,372","12,873","18,729","11,459","10,154","6,409",928,"1,815","1,729","1,805","3,912","1,092","3,903",873
2021년08월_여_30~39세,"89,633","55,997","11,451","10,668","19,598","14,280","10,545","5,938",934,"1,819","1,430","1,986","5,123",968,"4,032",861
2021년08월_여_40~49세,"114,500","66,968","15,371","15,155","21,209","15,233","14,676","8,691","1,424","2,824","2,308","2,526","6,249","1,533","5,899","1,402"
2021년08월_여_50~59세,"130,907","68,531","16,719","17,088","21,387","13,337","18,082","11,489","2,501","4,049","3,760","2,824","6,226","3,194","7,732","2,519"
2021년08월_여_60~69세,"118,443","53,117","13,125","13,835","15,037","11,120","16,886","12,015","3,505","5,063","4,697","2,624","5,417","4,280","7,603","3,236"
2021년08월_여_70~79세,"65,529","26,214","6,833","6,968","6,688","5,725","9,492","6,750","2,459","3,390","3,562","1,471","2,974","2,833","4,265","2,119"
2021년08월_여_80~89세,"44,515","16,145","4,316","4,085","3,975","3,769","6,798","4,172","2,092","2,543","2,597","1,012","2,349","2,223","3,168","1,416"
2021년08월_여_90~99세,"7,346","2,759",767,721,675,596,"1,015",645,386,457,416,137,389,365,563,214
2021년08월_여_100세 이상,251,95,28,19,17,31,25,44,14,12,11,2,9,14,14,11
