,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년02월_계_80~89세,"15,569","6,841",712,676,"1,144",240,517,613,225,574,630,574,195,78,272,391,"8,728","1,510",396,507,313,613,309,55,173,781,344,770,695,684,527,855,196
2021년02월_계_90~99세,"2,202",909,91,80,130,41,73,93,31,83,66,86,24,8,57,46,"1,293",238,59,75,50,102,41,13,29,115,60,111,91,95,57,134,23
2021년02월_계_100세 이상,113,60,8,4,15,2,3,3,1,3,8,5,2,0,3,3,53,7,2,3,1,2,1,0,3,9,4,5,6,2,2,4,2
2021년02월_남_총인구수,"254,420","119,052","3,802","15,578","29,283","1,798","4,994","2,017",925,"12,871","8,844","6,266","2,549","1,668","15,507","12,950","135,368","20,312","1,437","2,362","1,215","2,395","1,054",297,632,"7,683","8,499","9,757","10,875","15,889","11,466","36,811","4,684"
2021년02월_남_연령구간인구수,"254,420","119,052","3,802","15,578","29,283","1,798","4,994","2,017",925,"12,871","8,844","6,266","2,549","1,668","15,507","12,950","135,368","20,312","1,437","2,362","1,215","2,395","1,054",297,632,"7,683","8,499","9,757","10,875","15,889","11,466","36,811","4,684"
2021년02월_남_0~9세,"20,321","8,936",73,"1,220","2,879",28,292,42,14,616,322,231,97,92,"1,867","1,163","11,385","2,020",35,56,12,40,18,3,7,275,612,400,738,"1,627",843,"4,234",465
2021년02월_남_10~19세,"24,476","11,151",132,"1,906","3,128",67,391,49,42,782,410,386,134,97,"2,038","1,589","13,325","1,887",54,114,44,87,32,8,28,408,993,479,"1,086","1,641","1,266","4,623",575
2021년02월_남_20~29세,"32,362","15,651",274,"2,106","3,879",170,547,127,62,"1,887","1,015",575,414,474,"2,071","2,050","16,711","2,303",108,183,88,178,49,14,26,864,"1,227","1,236","1,330","2,118","1,643","4,863",481
2021년02월_남_30~39세,"31,250","14,416",246,"1,528","4,405",152,528,111,49,"1,711",955,610,296,216,"1,818","1,791","16,834","2,606",79,142,71,155,42,14,34,986,956,"1,362","1,113","2,275","1,312","5,106",581
2021년02월_남_40~49세,"38,808","18,421",465,"2,508","5,540",190,672,195,123,"1,824","1,247",776,331,185,"2,403","1,962","20,387","3,170",134,279,117,216,81,22,54,"1,040","1,204","1,348","1,565","2,277","1,539","6,506",835
2021년02월_남_50~59세,"45,057","21,432",816,"3,058","4,588",368,942,389,186,"2,207","1,689","1,198",436,263,"2,740","2,552","23,625","3,547",242,496,258,478,220,55,117,"1,376","1,639","1,641","1,940","2,773","2,151","5,987",705
2021년02월_남_60~69세,"39,047","18,273",975,"2,175","3,283",494,941,487,234,"2,356","1,871","1,474",471,211,"1,973","1,328","20,774","2,961",415,551,307,629,304,96,193,"1,538","1,274","1,850","1,910","2,242","1,826","4,009",669
2021년02월_남_70~79세,"17,532","8,360",567,852,"1,190",259,496,394,151,"1,251","1,080",797,291,99,515,418,"9,172","1,322",234,365,213,401,186,64,110,877,469,"1,113",893,746,678,"1,213",288
2021년02월_남_80~89세,"5,135","2,248",234,214,366,65,171,204,62,220,243,200,75,30,75,89,"2,887",451,131,164,96,185,112,16,55,294,113,299,273,176,192,249,81
2021년02월_남_90~99세,402,147,16,10,22,5,13,19,2,17,10,17,2,1,6,7,255,42,5,12,8,25,10,5,8,21,12,27,26,14,15,21,4
2021년02월_남_100세 이상,30,17,4,1,3,0,1,0,0,0,2,2,2,0,1,1,13,3,0,0,1,1,0,0,0,4,0,2,1,0,1,0,0
2021년02월_여_총인구수,"248,631","111,660","3,732","14,965","25,823","1,684","4,910","2,082",963,"11,997","8,365","6,214","2,145","1,172","15,030","12,578","136,971","20,253","1,431","2,446","1,280","2,554","1,067",291,666,"8,033","8,678","10,032","11,317","16,555","11,610","35,949","4,809"
2021년02월_여_연령구간인구수,"248,631","111,660","3,732","14,965","25,823","1,684","4,910","2,082",963,"11,997","8,365","6,214","2,145","1,172","15,030","12,578","136,971","20,253","1,431","2,446","1,280","2,554","1,067",291,666,"8,033","8,678","10,032","11,317","16,555","11,610","35,949","4,809"
2021년02월_여_0~9세,"18,838","8,320",69,"1,110","2,724",37,260,27,13,545,291,189,93,62,"1,826","1,074","10,518","1,806",32,53,22,48,21,3,11,289,590,374,709,"1,432",768,"3,921",439
2021년02월_여_10~19세,"22,172","10,040",97,"1,763","2,762",72,388,72,31,715,361,330,128,96,"1,806","1,419","12,132","1,737",28,97,44,104,27,7,13,394,870,457,939,"1,469","1,154","4,242",550
2021년02월_여_20~29세,"24,010","10,746",173,"1,504","2,608",107,436,71,36,"1,353",663,452,204,146,"1,418","1,575","13,264","1,744",61,120,69,118,16,17,26,756,900,"1,059","1,022","1,763","1,251","3,931",411
2021년02월_여_30~39세,"27,841","12,261",203,"1,482","3,681",102,445,76,32,"1,233",637,414,192,119,"2,034","1,611","15,580","2,433",52,114,33,82,28,0,24,755,892,983,"1,071","2,201","1,182","5,132",598
2021년02월_여_40~49세,"38,266","17,263",278,"2,673","4,683",119,579,104,60,"1,524",938,655,208,161,"2,870","2,411","21,003","3,088",81,188,73,145,44,14,44,921,"1,471","1,170","1,711","2,594","1,760","6,860",839
2021년02월_여_50~59세,"44,787","19,822",601,"2,931","3,962",321,874,311,134,"2,271","1,651","1,133",371,229,"2,636","2,397","24,965","3,546",226,398,203,437,164,52,85,"1,371","1,816","1,839","2,155","3,241","2,533","6,149",750
2021년02월_여_60~69세,"40,558","18,735",985,"2,120","3,117",435,899,497,231,"2,766","2,270","1,675",496,200,"1,782","1,262","21,823","2,988",360,578,318,607,300,101,176,"1,785","1,328","2,345","2,223","2,311","1,854","3,794",755
2021년02월_여_70~79세,"19,842","9,075",769,847,"1,388",278,621,438,233,"1,167","1,105",920,311,104,408,486,"10,767","1,652",270,489,259,507,238,50,145,"1,176",528,"1,247",995,953,730,"1,197",331
2021년02월_여_80~89세,"10,434","4,593",478,462,778,175,346,409,163,354,387,374,120,48,197,302,"5,841","1,059",265,343,217,428,197,39,118,487,231,471,422,508,335,606,115
2021년02월_여_90~99세,"1,800",762,75,70,108,36,60,74,29,66,56,69,22,7,51,39,"1,038",196,54,63,42,77,31,8,21,94,48,84,65,81,42,113,19
2021년02월_여_100세 이상,83,43,4,3,12,2,2,3,1,3,6,3,0,0,2,2,40,4,2,3,0,1,1,0,3,5,4,3,5,2,1,4,2
