,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년03월_계_80~89세,"13,491","1,513",951,620,531,473,251,474,440,463,"1,001",836,342,281,621,231,352,701,404,183,989,"1,001",232,601
2020년03월_계_90~99세,"1,870",193,148,89,102,55,24,75,56,64,132,109,58,38,97,43,55,91,53,22,125,134,31,76
2020년03월_계_100세 이상,237,48,11,4,9,5,3,6,3,3,16,17,5,6,12,11,22,11,15,3,9,13,1,4
2020년03월_남_총인구수,"267,360","14,021","22,369","14,206","13,620","6,246","1,999","9,338","3,574","2,856","22,421","13,238","9,969","6,325","10,948","3,456","2,901","11,625","5,564","2,159","38,265","26,263","12,806","13,191"
2020년03월_남_연령구간인구수,"267,360","14,021","22,369","14,206","13,620","6,246","1,999","9,338","3,574","2,856","22,421","13,238","9,969","6,325","10,948","3,456","2,901","11,625","5,564","2,159","38,265","26,263","12,806","13,191"
2020년03월_남_0~9세,"24,795",814,"2,104","1,050","2,189",265,58,"1,034",185,89,"1,625",754,"1,178",368,838,278,102,614,297,65,"5,011","2,900","1,833","1,144"
2020년03월_남_10~19세,"27,360",896,"3,037","1,076","1,484",463,124,760,266,165,"2,725","1,285",909,470,"1,142",259,159,944,383,126,"4,403","3,334","1,549","1,401"
2020년03월_남_20~29세,"38,230","1,705","3,048","1,876","1,230",907,210,"1,415",405,260,"3,837","2,049","1,341","1,239","1,626",523,389,"2,098",886,341,"5,235","3,765","1,697","2,148"
2020년03월_남_30~39세,"41,838","1,680","3,109","2,613","2,550",870,229,"1,671",378,234,"2,937","1,769","1,707","1,224","1,328",628,378,"1,621",882,238,"7,385","4,095","2,423","1,889"
2020년03월_남_40~49세,"48,217","2,221","4,485","3,008","2,837","1,003",288,"1,588",537,392,"3,901","2,306","1,902","1,104","1,931",608,480,"1,830",824,310,"7,376","4,474","2,640","2,172"
2020년03월_남_50~59세,"44,227","2,803","3,644","2,399","1,587","1,170",404,"1,400",763,610,"4,080","2,501","1,622",976,"2,064",547,534,"2,175","1,039",453,"5,179","4,168","1,689","2,420"
2020년03월_남_60~69세,"25,267","2,079","1,773","1,324","1,006",907,380,860,549,559,"2,031","1,479",842,558,"1,237",351,445,"1,362",705,342,"2,386","2,191",656,"1,245"
2020년03월_남_70~79세,"12,145","1,190",818,631,542,485,212,427,331,373,930,759,335,269,523,167,271,683,390,209,933,897,238,532
2020년03월_남_80~89세,"4,714",570,312,210,169,164,89,167,138,159,312,290,115,107,226,78,117,268,139,67,327,399,74,217
2020년03월_남_90~99세,494,48,38,19,25,11,4,13,22,15,35,38,16,9,27,12,17,27,15,8,27,38,7,23
2020년03월_남_100세 이상,73,15,1,0,1,1,1,3,0,0,8,8,2,1,6,5,9,3,4,0,3,2,0,0
2020년03월_여_총인구수,"251,764","13,418","21,340","9,741","12,116","5,179","1,652","8,483","3,200","2,575","21,521","13,047","9,172","5,649","11,008","3,536","2,862","11,143","5,230","1,980","37,322","26,567","11,937","13,086"
2020년03월_여_연령구간인구수,"251,764","13,418","21,340","9,741","12,116","5,179","1,652","8,483","3,200","2,575","21,521","13,047","9,172","5,649","11,008","3,536","2,862","11,143","5,230","1,980","37,322","26,567","11,937","13,086"
2020년03월_여_0~9세,"23,705",752,"2,155","1,049","1,973",264,64,"1,032",155,79,"1,531",747,"1,120",373,860,268,84,551,308,68,"4,716","2,769","1,694","1,093"
2020년03월_여_10~19세,"25,579",823,"2,944",935,"1,427",396,93,744,243,142,"2,522","1,217",928,496,"1,087",226,149,875,350,102,"4,130","2,928","1,467","1,355"
2020년03월_여_20~29세,"31,915","1,258","2,615","1,060",952,612,148,"1,011",318,200,"3,069","1,732","1,159",926,"1,355",432,317,"1,794",710,258,"4,965","3,611","1,516","1,897"
2020년03월_여_30~39세,"35,675","1,293","2,695","1,404","2,413",509,143,"1,476",262,157,"2,466","1,403","1,541",905,"1,321",529,244,"1,270",645,157,"6,928","3,974","2,271","1,669"
2020년03월_여_40~49세,"42,892","1,760","4,281","1,624","2,107",735,168,"1,265",359,240,"3,927","2,086","1,577",889,"1,792",544,328,"1,681",790,255,"7,088","4,844","2,379","2,173"
2020년03월_여_50~59세,"40,208","2,384","3,069","1,433","1,274",960,299,"1,305",589,459,"3,899","2,473","1,483",873,"2,027",521,491,"2,127",905,396,"5,056","4,280","1,450","2,455"
2020년03월_여_60~69세,"25,768","2,379","1,736","1,104",988,831,315,805,541,534,"2,102","1,676",712,580,"1,277",489,522,"1,429",735,371,"2,477","2,234",678,"1,253"
2020년03월_여_70~79세,"15,705","1,648","1,086",648,535,515,238,473,394,408,"1,211","1,087",380,399,818,337,441,911,473,240,"1,196","1,218",299,750
2020년03월_여_80~89세,"8,777",943,639,410,362,309,162,307,302,304,689,546,227,174,395,153,235,433,265,116,662,602,158,384
2020년03월_여_90~99세,"1,376",145,110,70,77,44,20,62,34,49,97,71,42,29,70,31,38,64,38,14,98,96,24,53
2020년03월_여_100세 이상,164,33,10,4,8,4,2,3,3,3,8,9,3,5,6,6,13,8,11,3,6,11,1,4
