,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년07월_남_20~29세,"32,449","1,281","1,944","1,429",987,"1,500","2,666","1,386","1,169","1,625","1,709","1,664","1,656","1,042","3,088","1,485","1,550","1,562",947,"1,153","2,606"
2020년07월_남_30~39세,"30,455","1,187","1,672","1,192",988,"1,449","1,177","1,393","1,325","1,625","1,087","1,663","2,246","1,250","2,652","1,791","1,444","1,328",908,"1,431","2,647"
2020년07월_남_40~49세,"35,041","1,257","1,863",997,"1,067","2,192",901,"1,257","1,624","1,793","1,003","2,129","3,844","1,429","3,239","2,338","1,493","1,431","1,072","1,408","2,704"
2020년07월_남_50~59세,"34,285","1,296","1,875",923,"1,333","1,934","1,022","1,236","1,414","1,803","1,165","2,005","2,481","1,360","3,198","2,134","1,542","1,863","1,277","1,457","2,967"
2020년07월_남_60~69세,"25,462",954,"1,265",650,989,"1,255",703,883,"1,022","1,517",983,"1,629","1,452",993,"2,201","1,661","1,268","1,424","1,029","1,045","2,539"
2020년07월_남_70~79세,"14,735",597,789,462,564,636,432,468,610,866,636,956,906,497,"1,263",972,707,717,643,551,"1,463"
2020년07월_남_80~89세,"5,350",275,306,172,198,265,170,167,232,313,259,329,296,164,518,315,280,248,221,160,462
2020년07월_남_90~99세,504,36,27,23,25,29,11,10,22,31,29,30,25,18,66,20,21,23,17,11,30
2020년07월_남_100세 이상,94,7,8,5,5,3,4,5,1,2,2,4,7,5,14,6,1,4,2,2,7
2020년07월_여_총인구수,"228,155","9,003","12,548","9,039","8,245","12,923","7,604","8,350","9,786","12,112","7,875","13,376","19,155","8,877","20,258","14,000","10,440","10,390","7,075","9,010","18,089"
2020년07월_여_연령구간인구수,"228,155","9,003","12,548","9,039","8,245","12,923","7,604","8,350","9,786","12,112","7,875","13,376","19,155","8,877","20,258","14,000","10,440","10,390","7,075","9,010","18,089"
2020년07월_여_0~9세,"14,638",427,581,298,461,"1,031",230,501,708,751,346,863,"2,016",708,"1,364","1,076",558,508,316,887,"1,008"
2020년07월_여_10~19세,"18,800",575,969,573,735,"1,449",439,518,934,918,507,"1,060","2,484",679,"1,737","1,380",755,785,468,724,"1,111"
2020년07월_여_20~29세,"34,619","1,468","2,370","2,994","1,115","1,506","2,378","1,441","1,161","1,604","1,373","1,601","1,825","1,121","2,751","1,593","2,045","1,471",956,"1,168","2,678"
2020년07월_여_30~39세,"30,589","1,337","1,739","1,344","1,021","1,652",924,"1,336","1,410","1,524",840,"1,776","2,693","1,327","2,657","1,811","1,363","1,116",808,"1,487","2,424"
2020년07월_여_40~49세,"36,158","1,366","1,944","1,089","1,197","2,447",856,"1,236","1,710","1,877","1,019","2,156","4,155","1,580","3,350","2,348","1,431","1,512",932,"1,393","2,560"
2020년07월_여_50~59세,"35,365","1,443","1,838",968,"1,438","2,094","1,073","1,348","1,448","1,968","1,220","2,175","2,415","1,385","3,157","2,162","1,524","2,018","1,228","1,372","3,091"
2020년07월_여_60~69세,"28,652","1,086","1,434",808,"1,156","1,401",785,991,"1,171","1,766","1,187","1,918","1,775","1,089","2,457","1,844","1,360","1,530","1,159","1,096","2,639"
2020년07월_여_70~79세,"19,024",798,"1,074",630,715,839,587,625,814,"1,132",871,"1,217","1,171",660,"1,678","1,196",908,951,795,604,"1,759"
2020년07월_여_80~89세,"8,539",393,497,273,353,406,278,284,364,472,419,501,511,273,910,500,414,430,326,226,709
2020년07월_여_90~99세,"1,487",103,75,50,46,90,44,59,55,84,86,90,91,41,168,71,72,58,61,42,101
2020년07월_여_100세 이상,284,7,27,12,8,8,10,11,11,16,7,19,19,14,29,19,10,11,26,11,9
