,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년04월_남_50~59세,"753,529","12,933","10,678","18,154","24,061","26,984","27,284","34,759","34,423","26,043","27,686","42,882","37,058","24,040","26,773","38,203","42,032","31,306","20,625","28,692","28,282","34,370","30,807","39,862","50,146","35,446"
2020년04월_남_60~69세,"571,487","9,660","8,517","13,260","17,310","19,574","21,918","27,211","25,285","20,877","23,187","30,782","28,698","17,613","17,864","26,798","34,678","25,606","15,720","22,079","22,147","26,987","21,601","26,628","38,705","28,782"
2020년04월_남_70~79세,"315,825","5,597","4,731","7,446","9,136","10,211","12,673","14,047","14,609","12,995","12,571","15,949","17,030","10,406","10,343","12,962","17,931","14,776","8,253","12,291","13,212","16,809","12,694","15,793","19,099","14,261"
2020년04월_남_80~89세,"102,912","2,330","1,721","3,082","3,076","3,296","4,403","4,331","5,288","4,345","4,247","5,454","5,992","4,166","4,146","3,593","5,020","4,324","2,446","4,386","4,493","5,133","4,029","4,653","5,258","3,700"
2020년04월_남_90~99세,"10,734",363,260,497,312,338,458,357,513,410,441,585,577,440,441,403,557,350,200,424,462,391,477,527,568,383
2020년04월_남_100세 이상,"1,678",87,64,105,67,47,89,45,92,60,43,80,76,75,79,44,69,37,56,67,89,67,53,56,69,62
2020년04월_여_총인구수,"4,988,944","77,373","64,356","118,765","152,416","180,803","174,172","199,288","228,431","160,097","169,126","273,958","247,916","162,740","197,570","232,569","303,738","205,032","114,461","187,779","203,781","248,536","224,277","283,304","347,735","230,721"
2020년04월_여_연령구간인구수,"4,988,944","77,373","64,356","118,765","152,416","180,803","174,172","199,288","228,431","160,097","169,126","273,958","247,916","162,740","197,570","232,569","303,738","205,032","114,461","187,779","203,781","248,536","224,277","283,304","347,735","230,721"
2020년04월_여_0~9세,"317,020","3,966","3,524","6,761","10,391","10,260","10,585","11,564","14,840","8,155","9,677","17,046","14,987","10,039","12,856","16,042","20,771","14,503","6,512","12,565","12,669","11,653","17,075","18,435","25,360","16,784"
2020년04월_여_10~19세,"393,049","5,689","3,601","7,914","10,488","13,268","12,326","13,622","19,041","11,192","12,970","26,775","19,491","12,299","14,519","24,794","22,746","14,966","7,577","11,723","14,178","14,684","22,358","28,528","29,566","18,734"
2020년04월_여_20~29세,"749,085","11,880","9,613","17,269","22,986","32,829","27,739","28,043","34,396","22,095","21,890","35,871","34,115","25,744","33,326","29,454","46,536","28,224","17,849","30,536","34,372","55,487","29,168","39,198","49,807","30,658"
2020년04월_여_30~39세,"749,081","10,155","10,175","19,074","25,483","29,024","24,618","28,256","30,800","18,983","20,709","33,472","34,504","22,806","34,406","30,125","49,859","31,273","15,819","32,473","31,283","39,563","35,622","45,902","58,986","35,711"
2020년04월_여_40~49세,"783,968","11,732","9,047","18,308","23,098","27,266","25,185","28,429","36,342","23,657","25,286","46,457","39,176","24,379","31,938","41,876","46,150","31,149","16,170","27,174","30,039","32,751","41,475","53,362","56,944","36,578"
2020년04월_여_50~59세,"782,421","12,794","10,312","18,515","24,090","28,294","26,907","35,573","35,520","27,369","30,478","45,655","39,886","25,581","27,620","38,622","46,132","32,278","20,337","27,777","30,694","34,717","32,100","40,166","53,624","37,380"
2020년04월_여_60~69세,"637,804","9,833","8,621","14,603","18,358","21,598","23,422","28,852","28,422","23,975","25,089","35,243","33,469","19,877","20,784","28,785","40,037","28,610","16,300","23,362","25,937","31,052","25,325","31,637","42,949","31,664"
2020년04월_여_70~79세,"376,743","6,982","5,785","9,732","11,360","11,984","15,399","16,701","18,885","16,772","14,777","21,013","21,425","13,940","14,101","14,647","20,276","16,251","9,428","14,365","16,176","19,787","14,221","17,515","19,990","15,231"
2020년04월_여_80~89세,"164,676","3,484","2,949","5,254","5,168","5,213","6,677","6,904","8,454","6,672","6,948","10,445","9,062","6,710","6,626","6,847","9,240","6,558","3,748","6,510","6,956","7,337","5,458","6,659","8,427","6,370"
2020년04월_여_90~99세,"30,305",682,596,"1,075",823,908,"1,107","1,193","1,448","1,045","1,179","1,800","1,465","1,159","1,149","1,249","1,835","1,090",607,"1,087","1,263","1,261","1,312","1,674","1,868","1,430"
2020년04월_여_100세 이상,"4,792",176,133,260,171,159,207,151,283,182,123,181,336,206,245,128,156,130,114,207,214,244,163,228,214,181
