,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년05월_남_총인구수,"143,364","1,390","4,472",966,"10,540","3,246","3,379","1,479",649,429,"1,157","2,388","1,668","2,261","2,107","3,340","1,932","2,858","6,056","3,539","9,469","9,953","6,416","5,315","5,275","16,997","18,487","11,407","4,211","1,355",623
2020년05월_남_연령구간인구수,"143,364","1,390","4,472",966,"10,540","3,246","3,379","1,479",649,429,"1,157","2,388","1,668","2,261","2,107","3,340","1,932","2,858","6,056","3,539","9,469","9,953","6,416","5,315","5,275","16,997","18,487","11,407","4,211","1,355",623
2020년05월_남_0~9세,"11,009",25,332,20,"1,132",145,79,42,7,15,33,120,54,88,70,158,72,86,406,249,673,763,391,414,549,"1,462","2,388",646,542,36,12
2020년05월_남_10~19세,"14,173",52,340,40,"1,069",182,179,73,17,20,43,153,117,169,129,199,126,122,508,324,"1,019","1,155",618,681,495,"2,135","2,385","1,104",601,84,34
2020년05월_남_20~29세,"19,076",117,426,74,"1,257",282,309,101,30,32,103,260,197,230,195,402,231,285,751,422,"1,422","1,397","1,081",754,583,"3,001","2,433","2,008",456,175,62
2020년05월_남_30~39세,"17,078",85,445,56,"1,412",266,237,87,38,18,79,259,199,208,186,363,195,262,700,378,"1,096","1,153",756,682,729,"2,128","2,833","1,415",637,124,52
2020년05월_남_40~49세,"22,390",176,776,104,"1,697",500,412,176,66,54,164,329,213,336,310,473,265,411,892,499,"1,420","1,615",999,841,839,"2,793","3,138","1,751",856,190,95
2020년05월_남_50~59세,"25,429",267,749,176,"1,851",600,739,285,109,96,281,382,273,389,360,581,311,548,"1,039",573,"1,644","1,734","1,228",936,786,"3,077","3,017","2,413",556,288,141
2020년05월_남_60~69세,"19,614",317,778,237,"1,262",607,718,328,166,78,250,456,280,431,410,588,369,550,993,640,"1,411","1,332",853,679,720,"1,574","1,561","1,351",320,237,118
2020년05월_남_70~79세,"10,837",230,447,174,611,443,490,262,148,78,145,347,241,307,344,451,270,447,607,360,569,616,375,261,443,656,548,543,194,159,71
2020년05월_남_80~89세,"3,468",110,165,77,229,206,190,115,59,33,55,68,88,95,95,116,89,138,155,86,205,175,110,62,122,160,171,160,46,53,35
2020년05월_남_90~99세,275,11,14,8,19,13,26,9,9,5,4,11,6,8,7,8,4,9,5,7,10,13,5,5,9,11,12,16,1,7,3
2020년05월_남_100세 이상,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020년05월_여_총인구수,"137,886","1,377","4,165",989,"10,169","3,071","3,156","1,415",684,427,921,"2,325","1,608","2,260","1,988","3,056","1,968","2,730","5,905","3,561","9,757","9,822","5,651","5,256","5,237","16,087","18,323","10,243","4,016","1,138",581
2020년05월_여_연령구간인구수,"137,886","1,377","4,165",989,"10,169","3,071","3,156","1,415",684,427,921,"2,325","1,608","2,260","1,988","3,056","1,968","2,730","5,905","3,561","9,757","9,822","5,651","5,256","5,237","16,087","18,323","10,243","4,016","1,138",581
2020년05월_여_0~9세,"10,627",33,305,16,"1,042",149,61,33,8,12,29,124,53,81,53,115,92,96,387,240,696,709,358,422,532,"1,444","2,318",623,537,37,22
2020년05월_여_10~19세,"12,966",56,322,39,"1,035",142,138,64,25,20,40,138,100,146,110,149,137,147,456,336,961,"1,055",535,603,443,"1,945","2,111","1,089",521,64,39
2020년05월_여_20~29세,"14,742",79,319,60,998,191,240,59,27,27,60,192,181,162,147,309,184,201,578,339,"1,124","1,138",737,695,500,"2,154","2,154","1,355",393,97,42
2020년05월_여_30~39세,"14,675",48,382,43,"1,323",193,146,42,20,18,63,205,117,162,116,235,141,215,546,349,"1,023","1,033",558,554,681,"1,945","2,871",948,619,60,19
2020년05월_여_40~49세,"20,072",86,508,48,"1,513",241,241,86,29,32,64,240,151,251,181,324,199,231,737,462,"1,449","1,636",849,933,740,"2,933","3,310","1,648",794,114,42
2020년05월_여_50~59세,"23,417",231,662,165,"1,706",461,520,185,84,52,194,355,237,362,324,510,320,412,"1,154",614,"1,836","1,672","1,027",945,774,"2,839","2,902","2,141",437,202,94
2020년05월_여_60~69세,"19,889",294,796,209,"1,188",604,621,322,124,84,205,512,320,527,450,697,428,689,"1,058",674,"1,474","1,320",758,656,788,"1,614","1,530","1,281",356,213,97
2020년05월_여_70~79세,"13,136",324,547,212,778,588,637,347,186,98,138,376,315,392,418,478,289,503,686,381,745,773,515,291,492,732,663,680,242,189,121
2020년05월_여_80~89세,"6,994",184,280,168,499,410,458,240,144,71,100,149,119,152,157,201,146,203,259,136,381,408,271,124,235,395,380,400,107,132,85
2020년05월_여_90~99세,"1,279",40,43,28,82,88,91,34,36,12,25,32,13,17,28,33,30,26,36,28,67,78,42,32,44,82,83,77,10,22,20
2020년05월_여_100세 이상,89,2,1,1,5,4,3,3,1,1,3,2,2,8,4,5,2,7,8,2,1,0,1,1,8,4,1,1,0,8,0
