,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년02월_계_100세 이상,126,5,1,0,5,8,7,4,2,3,4,5,6,12,5,4,3,3,4,4,1,3,8,1,3,5,12,8
2021년02월_남_총인구수,"135,263","1,629","2,410","1,753","1,359","1,288","2,479","1,549","1,473","1,162","1,922","1,540","1,164","2,725","3,572","2,766","2,261","6,440","11,328","3,759","3,986","1,464","27,699","6,289","11,482","16,080","9,153","6,531"
2021년02월_남_연령구간인구수,"135,263","1,629","2,410","1,753","1,359","1,288","2,479","1,549","1,473","1,162","1,922","1,540","1,164","2,725","3,572","2,766","2,261","6,440","11,328","3,759","3,986","1,464","27,699","6,289","11,482","16,080","9,153","6,531"
2021년02월_남_0~9세,"10,505",41,291,91,36,45,73,34,45,30,48,64,58,94,188,79,132,563,"1,281",198,241,79,"3,418",317,811,"1,320",583,345
2021년02월_남_10~19세,"13,779",62,186,183,60,49,133,82,69,55,94,73,69,195,301,166,110,579,"1,112",264,347,135,"4,019",607,"1,431","2,123",833,442
2021년02월_남_20~29세,"16,296",160,214,146,138,96,192,163,156,83,190,152,75,258,470,335,211,733,"1,329",385,580,187,"3,495",902,"1,613","2,269","1,056",708
2021년02월_남_30~39세,"15,824",117,357,108,92,98,191,114,90,70,177,113,93,233,291,220,361,871,"1,964",427,513,134,"3,605",677,"1,049","1,787","1,199",873
2021년02월_남_40~49세,"22,766",193,403,276,151,158,310,164,156,137,316,218,160,381,496,336,338,"1,034","1,922",615,543,186,"5,402",869,"1,829","3,032","1,831","1,310"
2021년02월_남_50~59세,"23,083",336,373,325,265,240,453,323,297,229,421,270,196,485,575,477,351,"1,054","1,585",635,684,230,"4,163","1,167","2,071","2,784","1,776","1,318"
2021년02월_남_60~69세,"18,719",339,326,311,333,310,552,356,337,270,408,302,231,552,606,549,372,851,"1,256",643,683,251,"2,285","1,072","1,638","1,699","1,234",953
2021년02월_남_70~79세,"10,422",255,183,196,199,184,385,228,221,196,202,249,216,372,481,417,296,553,682,443,307,173,997,521,750,783,490,443
2021년02월_남_80~89세,"3,490",111,74,108,73,92,167,80,90,79,59,84,60,140,154,172,77,187,181,133,84,79,284,145,256,258,133,130
2021년02월_남_90~99세,342,13,3,9,12,14,22,5,12,12,5,15,4,10,9,13,12,14,16,14,3,8,28,12,34,22,12,9
2021년02월_남_100세 이상,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
2021년02월_여_총인구수,"132,349","1,525","2,323","1,670","1,296","1,277","2,540","1,467","1,437","1,053","1,496","1,483","1,216","2,764","3,590","2,908","2,188","6,369","10,980","3,738","3,960","1,403","27,816","6,316","12,272","16,134","7,630","5,498"
2021년02월_여_연령구간인구수,"132,349","1,525","2,323","1,670","1,296","1,277","2,540","1,467","1,437","1,053","1,496","1,483","1,216","2,764","3,590","2,908","2,188","6,369","10,980","3,738","3,960","1,403","27,816","6,316","12,272","16,134","7,630","5,498"
2021년02월_여_0~9세,"10,167",40,290,92,26,30,74,36,60,19,46,53,59,91,171,74,104,503,"1,266",189,245,86,"3,281",328,861,"1,256",543,344
2021년02월_여_10~19세,"12,866",55,186,157,48,56,97,66,71,41,80,71,65,189,288,173,96,546,969,229,335,115,"3,720",505,"1,467","2,045",793,403
2021년02월_여_20~29세,"13,351",89,159,93,89,63,154,102,89,49,123,110,90,179,335,242,226,653,"1,209",333,505,117,"3,150",676,"1,313","1,903",802,498
2021년02월_여_30~39세,"14,443",65,366,105,57,60,155,73,89,57,98,82,96,217,271,180,266,804,"1,786",320,430,110,"3,904",572,"1,108","1,736",846,590
2021년02월_여_40~49세,"20,609",115,320,194,80,91,209,125,114,86,168,143,114,322,447,261,257,912,"1,713",468,533,175,"5,596",930,"2,048","3,035","1,338",815
2021년02월_여_50~59세,"20,956",245,312,236,217,186,345,280,266,150,312,196,170,440,523,469,323,975,"1,515",592,761,243,"3,855","1,218","2,091","2,763","1,316",957
2021년02월_여_60~69세,"19,306",355,304,277,301,292,596,324,314,241,326,313,260,602,733,613,422,973,"1,375",764,644,263,"2,355","1,120","1,743","1,812","1,063",921
2021년02월_여_70~79세,"12,599",291,200,268,231,229,488,250,237,206,221,293,244,465,536,575,323,676,740,576,329,180,"1,252",644,956,"1,014",604,571
2021년02월_여_80~89세,"6,705",221,146,201,194,213,342,178,161,174,102,188,96,210,244,273,145,282,334,225,140,96,591,269,592,494,251,343
2021년02월_여_90~99세,"1,258",46,39,47,48,51,74,29,34,28,18,29,18,42,38,46,24,43,69,40,38,17,107,53,90,74,68,48
2021년02월_여_100세 이상,89,3,1,0,5,6,6,4,2,2,2,5,4,7,4,2,2,2,4,2,0,1,5,1,3,2,6,8
