,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년10월_남_50~59세,"28,850","1,902","2,240","2,490","1,550","2,308","1,592","2,109","1,057","1,589","1,352","1,448",896,953,"1,328","1,551","1,249","1,089","2,147"
2020년10월_남_60~69세,"22,584","1,603","1,802","1,914","1,260","1,815","1,137","1,652",779,"1,086","1,088","1,168",783,740,"1,173","1,016","1,021",833,"1,714"
2020년10월_남_70~79세,"12,509",847,791,"1,199",676,934,676,992,484,491,669,631,381,421,638,489,655,623,912
2020년10월_남_80~89세,"4,514",275,236,621,266,348,241,348,158,187,269,180,144,113,224,166,208,227,303
2020년10월_남_90~99세,442,36,33,78,24,36,22,47,17,18,26,17,10,8,14,14,13,8,21
2020년10월_남_100세 이상,73,2,4,3,3,12,7,10,1,2,4,3,6,4,5,2,3,2,0
2020년10월_여_총인구수,"190,507","10,506","12,704","18,164","10,615","19,954","9,159","16,779","8,752","11,273","8,591","8,575","5,082","5,795","9,092","10,214","7,475","6,301","11,476"
2020년10월_여_연령구간인구수,"190,507","10,506","12,704","18,164","10,615","19,954","9,159","16,779","8,752","11,273","8,591","8,575","5,082","5,795","9,092","10,214","7,475","6,301","11,476"
2020년10월_여_0~9세,"12,583",733,613,"1,486",589,"1,392",484,"1,618",562,825,305,565,251,417,499,993,408,229,614
2020년10월_여_10~19세,"11,650",607,396,"1,478",500,"1,157",458,"1,429",506,754,432,558,319,387,459,822,394,307,687
2020년10월_여_20~29세,"31,070","1,312","3,684","2,079","1,964","4,346","1,466","1,993","1,501","2,007","1,705","1,104",652,709,"1,619","1,400","1,101",898,"1,530"
2020년10월_여_30~39세,"33,317","1,584","2,948","2,892","2,023","4,254","1,552","3,221","2,033","2,490","1,270","1,222",636,774,"1,397","1,776",949,779,"1,517"
2020년10월_여_40~49세,"27,329","1,501","1,397","2,913","1,419","2,658","1,307","2,929","1,312","1,687","1,109","1,229",711,828,"1,196","1,660","1,007",833,"1,633"
2020년10월_여_50~59세,"27,866","1,750","1,349","2,674","1,525","2,506","1,419","2,059",987,"1,466","1,237","1,458",882,"1,002","1,431","1,573","1,284","1,126","2,138"
2020년10월_여_60~69세,"23,920","1,569","1,160","2,183","1,379","1,942","1,194","1,869",917,"1,087","1,184","1,278",813,919,"1,347","1,094","1,169","1,011","1,805"
2020년10월_여_70~79세,"14,706",971,740,"1,488",781,"1,051",821,"1,077",593,614,879,777,523,490,733,564,788,785,"1,031"
2020년10월_여_80~89세,"6,716",395,334,819,367,527,382,482,279,286,389,328,245,216,343,282,307,281,454
2020년10월_여_90~99세,"1,143",71,63,131,56,100,66,86,54,53,64,51,41,41,60,39,56,48,63
2020년10월_여_100세 이상,207,13,20,21,12,21,10,16,8,4,17,5,9,12,8,11,12,4,4
