,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년05월_계_100세 이상,39,5,3,2,0,1,0,3,2,2,1,1,0,1,2,1,2,0,3,0,1,1,1,1,2,3,1
2021년05월_남_총인구수,"212,907","7,309","19,397","13,918",924,873,"1,126","2,120","1,596","11,968","2,091","1,490","14,388","1,133","19,784","7,119","8,378","1,861","1,751","6,955","2,343","16,154","9,828","24,923","8,860","24,192","2,426"
2021년05월_남_연령구간인구수,"212,907","7,309","19,397","13,918",924,873,"1,126","2,120","1,596","11,968","2,091","1,490","14,388","1,133","19,784","7,119","8,378","1,861","1,751","6,955","2,343","16,154","9,828","24,923","8,860","24,192","2,426"
2021년05월_남_0~9세,"20,627",438,"1,899","2,809",21,6,17,34,46,866,35,39,"1,200",31,"1,904",541,430,71,144,858,172,"1,371","1,085","2,447",468,"3,379",316
2021년05월_남_10~19세,"23,143",570,"2,097","1,223",27,21,70,74,95,"1,239",48,69,"1,671",61,"2,623",846,"1,019",85,129,552,167,"1,944","1,352","3,096",539,"3,418",108
2021년05월_남_20~29세,"31,115",832,"2,717","1,207",62,70,94,167,135,"1,815",264,179,"2,156",130,"2,816","1,078","1,530",387,225,"1,025",363,"2,681","1,349","3,920","2,144","3,360",409
2021년05월_남_30~39세,"34,421",638,"2,505","4,186",48,49,66,140,102,"1,803",282,157,"1,717",95,"2,482",823,862,331,332,"1,573",419,"2,374","1,494","4,436","2,566","4,335",606
2021년05월_남_40~49세,"36,668",996,"2,770","2,502",81,93,115,256,207,"1,827",400,191,"2,239",152,"3,552","1,057","1,163",266,242,"1,137",422,"2,930","1,919","4,858","1,555","5,321",417
2021년05월_남_50~59세,"35,667","1,454","3,943","1,139",210,177,236,480,342,"2,092",506,293,"2,772",246,"3,567","1,410","1,816",331,346,"1,102",405,"3,219","1,708","3,636",975,"2,926",336
2021년05월_남_60~69세,"21,290","1,419","2,441",581,258,238,257,506,342,"1,604",372,339,"1,892",270,"2,087",940,"1,175",249,223,524,248,"1,191",688,"1,811",429,"1,014",192
2021년05월_남_70~79세,"7,154",650,702,179,129,131,167,270,221,575,147,165,534,113,575,335,305,104,74,153,114,324,166,531,146,308,36
2021년05월_남_80~89세,"2,591",288,295,80,77,82,94,178,99,142,35,51,191,35,168,85,71,36,33,29,29,107,61,170,31,118,6
2021년05월_남_90~99세,228,24,28,12,11,6,10,15,7,4,2,7,16,0,10,4,7,1,3,2,4,12,6,18,7,12,0
2021년05월_남_100세 이상,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021년05월_여_총인구수,"201,618","7,473","18,881","12,719",925,819,"1,075","1,947","1,539","12,264","1,657","1,362","15,030","1,061","19,146","7,269","8,326","1,452","1,474","6,272","2,034","14,854","8,998","23,228","7,539","22,310","1,964"
2021년05월_여_연령구간인구수,"201,618","7,473","18,881","12,719",925,819,"1,075","1,947","1,539","12,264","1,657","1,362","15,030","1,061","19,146","7,269","8,326","1,452","1,474","6,272","2,034","14,854","8,998","23,228","7,539","22,310","1,964"
2021년05월_여_0~9세,"19,513",413,"1,744","2,773",22,6,23,30,24,883,34,34,"1,063",41,"1,814",498,376,70,135,823,152,"1,401","1,031","2,147",449,"3,259",268
2021년05월_여_10~19세,"21,210",562,"1,799","1,100",30,31,44,76,99,"1,176",47,50,"1,728",60,"2,341",729,846,84,94,544,178,"1,783","1,151","2,822",527,"3,198",111
2021년05월_여_20~29세,"24,712",556,"2,025","1,286",39,30,49,109,102,"1,552",212,105,"1,640",80,"2,291",837,"1,144",220,182,827,263,"2,007","1,048","3,212","2,088","2,530",278
2021년05월_여_30~39세,"30,084",596,"2,397","3,685",33,24,33,73,77,"1,562",223,81,"1,666",57,"2,480",805,735,165,208,"1,222",267,"1,979","1,411","3,917","1,742","4,188",458
2021년05월_여_40~49세,"36,003",924,"3,086","1,999",45,45,76,147,163,"2,000",304,119,"2,658",119,"3,717","1,308","1,472",190,196,"1,038",338,"3,126","1,934","4,638","1,196","4,860",305
2021년05월_여_50~59세,"34,236","1,474","4,002",946,147,142,156,330,274,"2,361",325,259,"3,183",222,"3,564","1,565","2,024",280,286,"1,090",415,"2,797","1,449","3,397",788,"2,461",299
2021년05월_여_60~69세,"20,206","1,347","2,080",478,229,198,258,427,313,"1,801",281,357,"1,950",262,"1,849",964,"1,149",240,192,493,248,"1,051",588,"1,806",461,"1,008",176
2021년05월_여_70~79세,"8,965",804,925,213,166,140,206,389,245,621,150,229,699,125,662,351,379,139,111,140,114,425,237,786,179,482,48
2021년05월_여_80~89세,"5,676",654,686,205,182,171,201,316,210,268,61,112,390,79,356,188,174,53,60,82,51,240,125,434,87,277,14
2021년05월_여_90~99세,977,138,134,32,32,31,29,47,30,39,19,15,53,15,70,23,25,11,7,13,7,45,23,68,20,45,6
2021년05월_여_100세 이상,36,5,3,2,0,1,0,3,2,1,1,1,0,1,2,1,2,0,3,0,1,0,1,1,2,2,1
