,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년04월_남_50~59세,"25,463",250,773,168,"1,830",604,706,273,97,92,270,373,258,378,367,542,311,507,"1,002",561,"1,636","1,805","1,228",946,767,"3,106","3,130","2,420",621,297,145
2021년04월_남_60~69세,"20,504",315,804,237,"1,348",634,773,339,187,80,277,451,266,413,393,580,352,548,984,672,"1,485","1,432",918,701,745,"1,689","1,705","1,482",331,244,119
2021년04월_남_70~79세,"11,334",249,451,179,613,478,490,267,148,79,154,362,240,316,350,460,284,455,618,369,610,657,404,292,483,717,594,589,202,156,68
2021년04월_남_80~89세,"3,672",114,184,77,249,209,192,118,59,32,56,83,89,96,104,124,95,141,177,93,219,197,109,63,133,165,163,177,53,61,40
2021년04월_남_90~99세,304,9,18,11,20,17,27,11,7,5,4,8,6,8,9,10,5,10,4,6,11,16,9,6,6,11,17,19,3,7,4
2021년04월_남_100세 이상,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2021년04월_여_총인구수,"136,975","1,327","4,112",984,"10,002","3,040","3,149","1,377",677,409,898,"2,361","1,592","2,201","1,958","2,961","1,913","2,667","5,680","3,452","9,593","10,748","5,485","5,090","5,213","15,812","18,479","10,129","3,999","1,106",561
2021년04월_여_연령구간인구수,"136,975","1,327","4,112",984,"10,002","3,040","3,149","1,377",677,409,898,"2,361","1,592","2,201","1,958","2,961","1,913","2,667","5,680","3,452","9,593","10,748","5,485","5,090","5,213","15,812","18,479","10,129","3,999","1,106",561
2021년04월_여_0~9세,"10,075",27,267,14,967,123,62,31,7,8,32,134,62,76,44,90,84,90,335,217,608,884,307,375,511,"1,331","2,280",575,487,33,14
2021년04월_여_10~19세,"12,526",42,321,35,"1,010",143,123,60,15,21,35,130,91,125,111,128,119,136,434,309,896,"1,150",501,561,450,"1,849","2,105","1,008",523,60,35
2021년04월_여_20~29세,"14,524",78,307,58,955,189,242,51,32,22,60,209,178,176,142,285,189,193,520,319,"1,101","1,224",715,647,486,"2,157","2,113","1,332",420,80,44
2021년04월_여_30~39세,"14,141",44,367,38,"1,253",187,148,40,19,16,49,196,125,152,115,220,128,198,480,306,950,"1,214",512,503,651,"1,862","2,842",892,549,67,18
2021년04월_여_40~49세,"19,660",73,523,56,"1,522",242,217,80,22,30,59,236,146,237,181,298,188,224,695,447,"1,384","1,794",809,875,723,"2,815","3,300","1,551",800,100,33
2021년04월_여_50~59세,"22,933",207,617,145,"1,686",428,504,173,84,45,184,332,209,329,281,486,288,386,"1,045",578,"1,771","1,702",997,943,790,"2,852","2,987","2,145",460,191,88
2021년04월_여_60~69세,"21,003",304,820,228,"1,255",621,642,311,131,83,210,531,332,546,446,682,446,675,"1,148",706,"1,625","1,450",794,708,801,"1,708","1,691","1,409",374,224,102
2021년04월_여_70~79세,"13,381",321,536,204,756,591,633,349,178,95,144,395,299,388,428,519,286,505,698,399,785,823,525,328,508,748,679,705,252,184,120
2021년04월_여_80~89세,"7,251",194,297,169,517,412,472,236,150,74,98,164,134,146,184,213,149,214,271,148,396,409,281,120,239,400,396,428,112,140,88
2021년04월_여_90~99세,"1,396",36,56,34,76,102,102,45,37,14,27,31,15,19,22,35,34,39,46,21,75,98,44,29,47,83,86,83,22,19,19
2021년04월_여_100세 이상,85,1,1,3,5,2,4,1,2,1,0,3,1,7,4,5,2,7,8,2,2,0,0,1,7,7,0,1,0,8,0
