,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년08월_남_50~59세,"33,043","1,799","2,576","2,198","2,292","1,285","1,547","2,531","1,359","2,019",776,"3,132","1,107",807,"1,356","1,379","2,012","2,772","2,096"
2021년08월_남_60~69세,"28,159","1,687","1,880","1,887","1,709","1,168",934,"1,903","1,097","1,383",898,"2,382","1,161",851,"1,221","1,409","2,411","2,065","2,113"
2021년08월_남_70~79세,"13,738",992,957,878,831,500,436,799,500,571,430,"1,059",660,468,526,831,"1,340","1,016",944
2021년08월_남_80~89세,"4,825",339,347,343,331,154,232,383,271,279,152,320,204,159,102,319,406,252,232
2021년08월_남_90~99세,394,24,27,32,23,20,32,38,30,21,10,28,12,8,8,18,33,15,15
2021년08월_남_100세 이상,22,3,1,1,4,2,1,1,0,1,0,1,1,0,1,2,1,1,1
2021년08월_여_총인구수,"206,634","11,834","16,138","15,163","14,277","8,355","9,680","17,305","8,610","12,228","5,130","17,578","6,562","4,418","8,217","6,974","12,055","19,333","12,777"
2021년08월_여_연령구간인구수,"206,634","11,834","16,138","15,163","14,277","8,355","9,680","17,305","8,610","12,228","5,130","17,578","6,562","4,418","8,217","6,974","12,055","19,333","12,777"
2021년08월_여_0~9세,"13,345",625,"1,361","1,408","1,026",638,588,967,520,813,221,"1,228",245,100,591,171,406,"1,839",598
2021년08월_여_10~19세,"17,982",758,"1,491","1,562","1,206",559,938,"1,387",855,"1,450",219,"1,945",281,221,754,352,668,"2,387",949
2021년08월_여_20~29세,"22,748","1,495","1,649","1,299","1,668",803,"1,457","2,676",880,"1,370",515,"1,881",605,422,935,683,"1,054","1,959","1,397"
2021년08월_여_30~39세,"23,378","1,442","2,027","1,942","1,861","1,161","1,117","2,324",849,"1,281",582,"1,860",672,317,945,446,820,"2,397","1,335"
2021년08월_여_40~49세,"33,850","1,752","2,850","2,711","2,495","1,392","1,783","2,736","1,388","2,243",623,"3,202",789,506,"1,303",740,"1,392","4,081","1,864"
2021년08월_여_50~59세,"36,405","2,035","2,810","2,597","2,498","1,499","1,654","3,155","1,587","2,261",924,"3,158","1,205",831,"1,565","1,248","2,077","2,794","2,507"
2021년08월_여_60~69세,"31,543","2,006","2,153","2,078","1,882","1,351","1,014","2,123","1,241","1,440","1,092","2,420","1,405","1,026","1,331","1,457","2,733","2,317","2,474"
2021년08월_여_70~79세,"17,243","1,142","1,120",997,"1,043",622,657,"1,162",727,797,580,"1,197",895,630,517,"1,225","1,836","1,056","1,040"
2021년08월_여_80~89세,"8,700",486,558,481,509,266,424,673,483,496,318,577,423,328,238,571,911,427,531
2021년08월_여_90~99세,"1,388",89,116,86,76,59,46,100,79,76,54,109,40,37,37,78,154,73,79
2021년08월_여_100세 이상,52,4,3,2,13,5,2,2,1,1,2,1,2,0,1,3,4,3,3
