,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년09월_남_10~19세,"22,775","1,002","1,250","1,606","2,147","1,730",449,"1,905","1,379","1,544","1,107","1,285",704,820,931,"1,230","2,231",782,673
2021년09월_남_20~29세,"25,449","1,368","1,571","2,494","1,701","1,634",368,"1,947",639,"1,201","1,075","1,237","1,118","1,335","1,191","1,350","2,576","1,665",979
2021년09월_남_30~39세,"27,842","1,627","2,189","2,600","1,470","1,564",201,"2,616",523,"1,093","1,094","1,021","1,329","1,382","1,162","1,496","3,043","2,251","1,181"
2021년09월_남_40~49세,"35,539","1,775","2,289","2,373","2,868","2,361",444,"3,502","1,626","2,016","1,586","1,705","1,276","1,392","1,354","1,924","3,660","1,859","1,529"
2021년09월_남_50~59세,"31,024","1,444","1,701","2,421","2,535","2,326",572,"2,409","1,194","1,821","1,362","1,742","1,124","1,394","1,449","1,739","2,988","1,654","1,149"
2021년09월_남_60~69세,"22,256","1,129","1,195","1,781","1,468","1,342",293,"1,507",643,"1,049","1,067","1,057",972,"1,277","1,341","1,131","2,545","1,280","1,179"
2021년09월_남_70~79세,"12,590",623,680,"1,054",894,630,159,824,407,594,592,579,607,761,733,726,"1,403",612,712
2021년09월_남_80~89세,"4,465",210,240,365,378,227,79,247,159,224,198,263,230,260,268,328,395,163,231
2021년09월_남_90~99세,476,32,23,35,45,29,8,25,7,30,27,31,26,24,31,17,52,13,21
2021년09월_남_100세 이상,30,0,3,4,3,3,1,1,4,1,1,0,4,1,0,1,1,1,1
2021년09월_여_총인구수,"217,217","10,678","13,378","16,828","15,844","13,946","3,014","17,570","8,238","11,638","10,132","11,220","9,013","10,426","9,722","12,785","22,600","11,045","9,140"
2021년09월_여_연령구간인구수,"217,217","10,678","13,378","16,828","15,844","13,946","3,014","17,570","8,238","11,638","10,132","11,220","9,013","10,426","9,722","12,785","22,600","11,045","9,140"
2021년09월_여_0~9세,"15,713",663,"1,160",842,"1,339",968,118,"1,623",802,911,779,700,540,546,643,811,"1,720",626,922
2021년09월_여_10~19세,"21,966",916,"1,117","1,221","2,002","1,618",447,"1,881","1,445","1,463","1,081","1,484",622,810,887,"1,427","2,108",790,647
2021년09월_여_20~29세,"27,568","1,483","1,858","2,996","1,805","1,762",381,"2,259",684,"1,217","1,146","1,403","1,254","1,306","1,102","1,705","2,627","1,670",910
2021년09월_여_30~39세,"32,692","1,851","2,661","2,945","1,986","1,885",243,"3,008",848,"1,358","1,399","1,324","1,541","1,642","1,328","1,888","3,323","2,080","1,382"
2021년09월_여_40~49세,"40,253","1,951","2,478","2,689","3,314","2,830",611,"3,556","1,981","2,505","1,966","2,160","1,473","1,599","1,570","2,393","3,886","1,797","1,494"
2021년09월_여_50~59세,"31,745","1,539","1,696","2,492","2,311","2,235",560,"2,114","1,000","1,767","1,520","1,737","1,335","1,671","1,642","1,882","3,261","1,684","1,299"
2021년09월_여_60~69세,"25,984","1,250","1,380","1,976","1,647","1,488",319,"1,782",735,"1,251","1,277","1,244","1,203","1,606","1,456","1,338","3,243","1,425","1,364"
2021년09월_여_70~79세,"14,317",679,752,"1,115",963,733,239,940,515,762,657,738,719,880,727,882,"1,615",673,728
2021년09월_여_80~89세,"5,631",287,224,456,383,339,79,322,185,318,244,352,281,291,295,382,639,229,325
2021년09월_여_90~99세,"1,262",58,48,91,81,84,12,77,39,76,61,71,44,71,68,75,172,68,66
2021년09월_여_100세 이상,86,1,4,5,13,4,5,8,4,10,2,7,1,4,4,2,6,3,3
