,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년03월_여_10~19세,"70,961","41,156","9,550","9,604","12,685","9,317","8,956","5,542",962,"1,801","1,573","1,603","3,881",956,"3,630",901
2021년03월_여_20~29세,"87,430","54,377","11,416","12,822","18,702","11,437","10,281","6,476",957,"1,844","1,813","1,845","3,916","1,162","3,875",884
2021년03월_여_30~39세,"90,285","56,063","11,513","10,704","19,397","14,449","10,534","6,074",956,"1,850","1,510","2,041","5,182","1,041","4,129",905
2021년03월_여_40~49세,"115,285","67,187","15,463","15,256","21,269","15,199","14,887","8,841","1,443","2,857","2,356","2,555","6,193","1,580","5,934","1,452"
2021년03월_여_50~59세,"131,460","68,487","16,677","17,159","21,299","13,352","18,162","11,645","2,591","4,085","3,846","2,822","6,198","3,296","7,755","2,573"
2021년03월_여_60~69세,"114,491","51,148","12,636","13,357","14,449","10,706","16,280","11,683","3,389","4,941","4,562","2,548","5,239","4,170","7,361","3,170"
2021년03월_여_70~79세,"65,921","26,197","6,876","6,938","6,644","5,739","9,586","6,812","2,506","3,402","3,619","1,468","2,992","2,875","4,327","2,137"
2021년03월_여_80~89세,"43,581","15,788","4,196","3,981","3,932","3,679","6,605","4,054","2,066","2,495","2,575",996,"2,304","2,190","3,097","1,411"
2021년03월_여_90~99세,"7,235","2,711",767,697,660,587,995,644,392,438,402,131,391,349,563,219
2021년03월_여_100세 이상,246,86,28,17,15,26,29,42,15,14,11,1,10,13,13,12
