,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년04월_남_30~39세,"35,434","4,177",759,495,"1,602","1,761",863,607,143,487,0,22,0,6,0,"1,639","2,215","1,924","2,707","3,614","5,728","6,685"
2021년04월_남_40~49세,"41,596","4,013",993,666,"2,304",716,"1,192",765,199,465,0,49,0,7,0,"1,769","2,859","2,222","4,101","4,673","6,255","8,348"
2021년04월_남_50~59세,"38,858","3,649","1,460","1,146","3,105",817,"1,473","1,284",434,643,0,54,0,20,0,"2,360","2,714","2,468","3,777","3,690","3,816","5,948"
2021년04월_남_60~69세,"25,580","2,636","1,233","1,100","2,333",655,"1,132","1,275",414,678,0,54,0,16,0,"1,619","1,355","1,633","2,102","2,151","1,996","3,198"
2021년04월_남_70~79세,"12,669","1,491",619,595,"1,126",284,558,613,272,413,0,34,0,18,0,776,719,781,950,959,991,"1,470"
2021년04월_남_80~89세,"5,339",648,301,217,479,113,258,241,128,156,0,18,0,11,0,289,313,346,407,375,416,623
2021년04월_남_90~99세,532,84,33,31,42,11,24,33,14,19,0,2,0,2,0,30,22,32,31,32,40,50
2021년04월_남_100세 이상,20,4,2,0,3,0,0,1,3,0,0,0,0,0,0,0,2,1,1,0,2,1
2021년04월_여_총인구수,"231,707","23,579","6,185","4,888","14,719","3,230","6,071","5,123","1,831","3,440",0,272,0,74,0,"10,394","16,910","13,384","20,997","25,163","32,239","43,208"
2021년04월_여_연령구간인구수,"231,707","23,579","6,185","4,888","14,719","3,230","6,071","5,123","1,831","3,440",0,272,0,74,0,"10,394","16,910","13,384","20,997","25,163","32,239","43,208"
2021년04월_여_0~9세,"21,411","2,366",287,148,855,96,289,221,39,278,0,10,0,3,0,534,"1,574","1,135","1,890","2,582","4,323","4,781"
2021년04월_여_10~19세,"24,029","2,308",390,323,"1,363",121,482,283,89,216,0,18,0,9,0,705,"2,060","1,294","2,630","3,100","3,759","4,879"
2021년04월_여_20~29세,"27,025","2,570",597,484,"1,693",746,605,468,141,344,0,26,0,0,0,"1,501","2,103","1,729","2,301","3,095","3,462","5,160"
2021년04월_여_30~39세,"31,582","3,376",577,374,"1,320",402,593,397,97,368,0,26,0,4,0,"1,154","2,149","1,669","2,603","3,656","5,858","6,959"
2021년04월_여_40~49세,"39,686","3,525",707,492,"2,171",283,910,532,145,344,0,21,0,10,0,"1,476","3,133","2,086","4,205","4,794","6,266","8,586"
2021년04월_여_50~59세,"35,376","3,345","1,085",954,"2,820",510,"1,118",998,332,541,0,52,0,10,0,"1,813","2,594","2,301","3,244","3,727","3,876","6,056"
2021년04월_여_60~69세,"25,687","2,788","1,108",947,"2,267",510,950,"1,009",392,583,0,43,0,14,0,"1,575","1,602","1,609","2,036","2,271","2,409","3,574"
2021년04월_여_70~79세,"16,055","1,964",781,661,"1,336",293,611,629,317,477,0,51,0,15,0,995,"1,038",935,"1,231","1,203","1,459","2,059"
2021년04월_여_80~89세,"9,251","1,184",550,438,766,227,420,469,224,232,0,24,0,8,0,550,561,540,717,620,707,"1,014"
2021년04월_여_90~99세,"1,549",147,97,67,120,42,86,115,55,55,0,1,0,1,0,88,94,85,136,109,117,134
2021년04월_여_100세 이상,56,6,6,0,8,0,7,2,0,2,0,0,0,0,0,3,2,1,4,6,3,6
