,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년04월_남_80~89세,"2,705",217,56,153,132,49,118,174,78,83,88,63,29,73,114,59,14,100,60,31,97,105,30,163,133,138,142,92,114
2021년04월_남_90~99세,251,22,3,12,17,5,11,18,8,3,7,10,0,6,10,4,0,11,2,3,10,20,4,13,6,9,16,4,17
2021년04월_남_100세 이상,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년04월_여_총인구수,"49,355","3,386",722,"1,978","1,551",511,"1,346","2,025",830,953,"1,287",860,391,984,"1,421",606,160,"1,424",612,180,"1,122","1,064",429,"6,178","4,525","4,244","4,255","1,841","4,470"
2021년04월_여_연령구간인구수,"49,355","3,386",722,"1,978","1,551",511,"1,346","2,025",830,953,"1,287",860,391,984,"1,421",606,160,"1,424",612,180,"1,122","1,064",429,"6,178","4,525","4,244","4,255","1,841","4,470"
2021년04월_여_0~9세,"2,456",124,14,51,41,14,39,51,30,30,45,32,10,31,63,9,3,50,12,7,19,22,15,429,361,288,260,67,339
2021년04월_여_10~19세,"3,568",291,32,63,76,20,31,92,25,32,73,32,18,44,78,34,5,72,18,6,50,47,17,569,381,425,385,158,494
2021년04월_여_20~29세,"3,292",162,27,67,64,18,45,68,31,41,53,28,11,47,60,35,4,48,21,3,30,39,27,554,428,334,373,117,557
2021년04월_여_30~39세,"3,371",191,30,88,43,16,66,85,41,36,66,35,24,43,82,23,4,61,14,3,33,27,23,568,486,375,361,120,427
2021년04월_여_40~49세,"5,326",333,30,113,100,32,68,106,40,60,99,60,23,61,113,51,9,123,31,10,62,82,25,922,684,583,616,215,675
2021년04월_여_50~59세,"7,792",495,92,273,230,81,193,291,112,169,242,141,75,166,253,111,26,213,72,23,139,123,68,"1,058",735,710,694,301,706
2021년04월_여_60~69세,"9,533",687,159,430,310,117,319,504,188,226,318,210,90,222,308,139,45,314,152,36,268,219,89,"1,019",749,683,719,378,635
2021년04월_여_70~79세,"7,059",548,174,390,311,80,277,414,170,174,218,160,64,188,234,103,30,255,151,36,233,234,74,629,397,441,476,268,330
2021년04월_여_80~89세,"5,832",469,141,421,304,118,255,346,159,161,144,139,65,140,204,82,29,245,115,48,239,222,68,358,254,355,316,179,256
2021년04월_여_90~99세,"1,089",82,22,78,69,15,51,66,34,24,26,23,11,42,26,17,5,41,24,8,48,47,23,71,50,47,53,35,51
2021년04월_여_100세 이상,37,4,1,4,3,0,2,2,0,0,3,0,0,0,0,2,0,2,2,0,1,2,0,1,0,3,2,3,0
