,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년07월_여_연령구간인구수,"218,212","2,437","3,402","2,392","1,545","4,100","5,560","19,149","10,182","6,277","7,269","11,860","5,599","3,080","9,742","8,510","8,644","4,036","8,437","7,316","7,064","15,667","7,287","5,747","6,574","1,286","11,175","18,811","15,064"
2020년07월_여_0~9세,"16,885",121,140,132,41,281,221,"1,298",906,329,470,"1,092",213,275,765,591,598,146,498,246,501,"1,198",616,347,286,42,"1,344","1,903","2,285"
2020년07월_여_10~19세,"20,640",84,235,145,63,276,345,"1,786","1,115",471,698,"1,098",319,271,700,963,752,328,695,428,764,"2,179",796,521,383,54,"1,232","2,094","1,845"
2020년07월_여_20~29세,"29,857",552,667,427,274,456,"1,042","3,361","1,271",859,982,"1,452",675,356,"1,130","1,166","1,294",531,"1,130",818,"1,078","2,234",935,888,932,104,"1,316","2,449","1,478"
2020년07월_여_30~39세,"27,259",440,315,304,157,594,705,"2,182","1,260",618,803,"1,794",465,407,"1,298",851,999,382,872,607,844,"1,605",866,617,657,91,"1,781","2,857","2,888"
2020년07월_여_40~49세,"34,146",238,431,302,155,550,662,"2,880","1,703",823,"1,102","1,893",617,469,"1,287","1,361","1,290",504,"1,113",811,"1,276","3,344","1,287",858,797,99,"2,022","3,240","3,032"
2020년07월_여_50~59세,"36,988",311,476,332,246,641,862,"3,498","1,657","1,092","1,413","2,026",946,439,"1,674","1,645","1,481",725,"1,575","1,398","1,301","2,804","1,334","1,108","1,363",245,"1,584","2,931","1,881"
2020년07월_여_60~69세,"27,252",326,523,351,275,649,817,"2,294","1,376","1,106","1,018","1,454","1,135",416,"1,463","1,066","1,125",722,"1,375","1,388",711,"1,121",763,748,"1,062",263,928,"1,798",979
2020년07월_여_70~79세,"16,057",243,411,277,206,460,588,"1,230",607,667,474,690,783,287,901,554,736,461,777,981,378,711,406,426,631,220,550,973,429
2020년07월_여_80~89세,"7,686",101,176,105,94,157,263,536,233,265,257,301,367,130,441,269,316,198,340,553,173,412,241,192,397,137,346,482,204
2020년07월_여_90~99세,"1,336",17,25,11,31,31,47,80,50,44,49,59,69,28,75,42,52,36,59,80,38,58,40,35,64,28,67,80,41
2020년07월_여_100세 이상,106,4,3,6,3,5,8,4,4,3,3,1,10,2,8,2,1,3,3,6,0,1,3,7,2,3,5,4,2
