,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년09월_남_80~89세,"6,765",755,928,918,141,350,556,340,312,180,91,411,302,291,88,468,187,447
2020년09월_남_90~99세,593,83,81,76,10,30,44,24,30,25,6,38,29,29,5,29,17,37
2020년09월_남_100세 이상,63,8,4,10,1,1,1,4,5,6,3,4,0,5,0,1,6,4
2020년09월_여_총인구수,"356,732","31,889","46,119","50,359","7,252","11,820","26,682","14,980","9,880","4,417","2,025","26,083","18,418","9,335","2,023","39,104","18,513","37,833"
2020년09월_여_연령구간인구수,"356,732","31,889","46,119","50,359","7,252","11,820","26,682","14,980","9,880","4,417","2,025","26,083","18,418","9,335","2,023","39,104","18,513","37,833"
2020년09월_여_0~9세,"31,970","2,056","4,124","4,215",782,504,"2,002",908,623,152,97,"2,698","1,620",386,86,"5,054","2,395","4,268"
2020년09월_여_10~19세,"37,698","3,654","5,534","5,431",689,974,"3,279","1,279",919,345,127,"3,270","2,466",564,99,"3,900","1,790","3,378"
2020년09월_여_20~29세,"40,476","3,720","4,941","5,624",762,"1,502","3,087","1,949","1,240",369,181,"2,665","2,170","1,126",219,"4,458","1,894","4,569"
2020년09월_여_30~39세,"45,769","3,155","5,350","6,057","1,101","1,109","2,764","1,623",884,341,204,"3,358","2,175",935,191,"6,980","3,301","6,241"
2020년09월_여_40~49세,"64,646","5,903","8,680","9,486","1,199","1,595","5,145","2,157","1,649",473,245,"5,628","3,845","1,076",185,"7,173","3,572","6,635"
2020년09월_여_50~59세,"56,739","5,491","7,131","8,103","1,099","2,469","4,427","3,009","1,710",818,357,"3,599","2,744","1,989",399,"5,133","2,605","5,656"
2020년09월_여_60~69세,"41,737","3,951","5,365","5,875",937,"1,867","2,919","2,190","1,376",932,421,"2,452","1,732","1,715",434,"3,626","1,769","4,176"
2020년09월_여_70~79세,"24,115","2,561","3,230","3,682",421,"1,095","1,986","1,193",963,579,227,"1,635","1,045",875,246,"1,767",761,"1,849"
2020년09월_여_80~89세,"11,423","1,164","1,526","1,600",215,592,923,589,424,305,134,650,527,560,137,847,353,877
2020년09월_여_90~99세,"2,009",214,227,264,47,101,146,78,77,100,32,124,89,98,19,156,63,174
2020년09월_여_100세 이상,150,20,11,22,0,12,4,5,15,3,0,4,5,11,8,10,10,10
