,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년03월_남_총인구수,"236,924","11,221","7,650","9,398","8,276","8,444","6,086","12,476","9,326","6,104","11,795","11,252","12,523","5,969","7,315","10,984","20,320","7,608","25,078","1,961","8,540","17,999","6,671","9,928"
2020년03월_남_연령구간인구수,"236,924","11,221","7,650","9,398","8,276","8,444","6,086","12,476","9,326","6,104","11,795","11,252","12,523","5,969","7,315","10,984","20,320","7,608","25,078","1,961","8,540","17,999","6,671","9,928"
2020년03월_남_0~9세,"20,576","1,156",375,523,619,582,389,819,667,464,"1,068",695,805,226,407,967,"2,865",707,"3,400",61,848,"1,746",554,633
2020년03월_남_10~19세,"26,563","1,581",557,805,818,680,330,"1,305",691,612,"1,326",978,"1,046",334,719,"1,540","2,392",867,"3,272",85,"1,817","2,441",746,"1,621"
2020년03월_남_20~29세,"37,642","1,443","1,331","1,434","1,207","1,223","1,140","2,317","1,941",852,"1,715","2,235","2,789","1,471","1,042","1,653","2,499","1,334","3,423",173,884,"2,774","1,281","1,481"
2020년03월_남_30~39세,"34,429","1,391",898,"1,087",939,"1,144","1,163","2,105","1,890",821,"1,470","2,006","2,265","1,077",831,"1,304","3,310","1,056","4,257",177,656,"2,621","1,099",862
2020년03월_남_40~49세,"38,752","2,085",993,"1,392","1,189","1,270",895,"2,116","1,494",941,"1,972","1,621","1,972",895,968,"1,681","3,864","1,114","4,531",258,"1,811","3,023","1,094","1,573"
2020년03월_남_50~59세,"37,775","1,705","1,332","1,598","1,502","1,514",880,"2,017","1,194",967,"1,850","1,671","1,970",982,"1,417","1,873","2,693","1,321","3,601",391,"1,312","3,108","1,043","1,834"
2020년03월_남_60~69세,"25,425","1,115","1,234","1,472","1,251","1,203",751,"1,151",885,828,"1,381","1,317","1,117",637,"1,200","1,406","1,757",739,"1,610",403,661,"1,594",585,"1,128"
2020년03월_남_70~79세,"11,464",569,685,782,530,602,389,453,411,451,757,570,420,254,518,396,701,323,743,272,390,495,189,564
2020년03월_남_80~89세,"3,902",158,227,284,203,204,135,179,142,156,233,149,131,85,185,151,211,130,221,125,140,175,71,207
2020년03월_남_90~99세,379,17,17,20,17,22,13,14,11,12,20,8,8,7,27,13,28,17,16,16,20,22,9,25
2020년03월_남_100세 이상,17,1,1,1,1,0,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020년03월_여_총인구수,"244,211","11,524","7,526","9,142","8,617","8,118","6,726","13,391","9,784","6,473","12,492","10,715","12,659","5,131","8,054","11,357","20,918","8,302","26,162","1,883","8,777","19,142","6,676","10,642"
2020년03월_여_연령구간인구수,"244,211","11,524","7,526","9,142","8,617","8,118","6,726","13,391","9,784","6,473","12,492","10,715","12,659","5,131","8,054","11,357","20,918","8,302","26,162","1,883","8,777","19,142","6,676","10,642"
2020년03월_여_0~9세,"19,423","1,097",359,425,579,496,333,739,628,463,"1,000",557,782,206,423,986,"2,809",624,"3,213",48,822,"1,692",513,629
2020년03월_여_10~19세,"24,788","1,535",566,735,760,630,318,"1,128",663,576,"1,395",842,"1,172",288,666,"1,305","2,237",840,"3,145",77,"1,629","2,195",714,"1,372"
2020년03월_여_20~29세,"36,055","1,376","1,071","1,135","1,014",999,"1,407","2,727","2,281",844,"1,469","1,977","2,702","1,222",943,"1,356","2,443","1,483","3,438",130,799,"2,838","1,122","1,279"
2020년03월_여_30~39세,"33,208","1,455",708,882,900,972,"1,058","2,101","1,681",795,"1,452","1,483","1,981",750,779,"1,409","3,576","1,068","4,388",118,884,"2,868",970,930
2020년03월_여_40~49세,"41,310","2,226",861,"1,226","1,243","1,141",835,"2,280","1,395","1,005","2,192","1,653","1,930",707,"1,113","1,950","3,745","1,335","5,072",162,"2,206","3,752","1,209","2,072"
2020년03월_여_50~59세,"40,328","1,729","1,389","1,672","1,787","1,521","1,038","2,254","1,379","1,051","2,067","1,874","2,122",898,"1,576","2,243","2,973","1,512","3,584",330,"1,117","3,225","1,184","1,803"
2020년03월_여_60~69세,"27,035","1,198","1,377","1,655","1,252","1,265",926,"1,189",980,935,"1,657","1,443","1,211",612,"1,224","1,289","1,852",714,"1,831",342,662,"1,542",545,"1,334"
2020년03월_여_70~79세,"13,617",580,777,906,662,733,519,581,512,517,820,556,447,278,737,466,804,443,889,326,419,627,260,758
2020년03월_여_80~89세,"7,147",275,360,430,353,302,253,343,223,236,390,269,276,139,498,304,394,240,512,271,206,350,127,396
2020년03월_여_90~99세,"1,230",51,55,72,65,55,35,46,39,48,46,55,36,29,94,48,81,42,83,74,32,49,31,64
2020년03월_여_100세 이상,70,2,3,4,2,4,4,3,3,3,4,6,0,2,1,1,4,1,7,5,1,4,1,5
