,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년10월_남_40~49세,"23,657",271,401,801,380,751,959,"2,241","2,029","1,682","1,187","1,797",689,"1,037",385,"1,359","2,601","3,494","1,593"
2020년10월_남_50~59세,"24,295",349,334,906,452,832,935,"2,561","2,000","1,997","1,129","1,449",809,"1,177",653,"1,821","2,534","3,135","1,222"
2020년10월_남_60~69세,"16,021",352,328,703,378,614,455,"1,345","1,201","1,629",814,"1,111",709,"1,218",494,"1,382","1,071","1,519",698
2020년10월_남_70~79세,"8,509",312,207,561,264,363,196,632,682,870,539,545,393,533,232,606,513,738,323
2020년10월_남_80~89세,"2,833",112,58,189,107,107,104,273,177,284,226,138,127,153,77,184,169,272,76
2020년10월_남_90~99세,255,7,6,14,4,16,8,25,20,23,21,11,11,17,8,13,16,29,6
2020년10월_남_100세 이상,10,2,0,1,0,2,0,1,0,1,1,0,0,0,0,0,1,1,0
2020년10월_여_총인구수,"151,666","2,051","2,456","5,655","2,471","4,269","5,251","15,907","12,601","12,371","8,265","10,495","5,238","8,205","2,839","10,796","14,943","19,205","8,648"
2020년10월_여_연령구간인구수,"151,666","2,051","2,456","5,655","2,471","4,269","5,251","15,907","12,601","12,371","8,265","10,495","5,238","8,205","2,839","10,796","14,943","19,205","8,648"
2020년10월_여_0~9세,"10,568",46,190,308,80,256,392,"1,096",854,580,437,"1,122",262,505,190,611,"1,268","1,539",832
2020년10월_여_10~19세,"15,164",74,173,305,112,321,645,"1,520","1,271",846,530,998,473,730,188,990,"2,220","2,527","1,241"
2020년10월_여_20~29세,"22,084",185,229,873,426,551,760,"2,817","2,325","2,208","1,663","1,148",696,"1,007",335,"1,441","1,902","2,657",861
2020년10월_여_30~39세,"18,325",164,325,737,266,478,663,"2,215","1,716","1,372","1,168","1,589",515,863,324,"1,075","1,692","2,173",990
2020년10월_여_40~49세,"25,495",180,318,763,309,585,969,"2,732","1,997","1,622","1,086","1,835",740,"1,226",348,"1,673","3,182","4,085","1,845"
2020년10월_여_50~59세,"25,235",328,363,852,445,791,806,"2,765","1,968","2,092","1,206","1,592",949,"1,534",541,"2,164","2,505","3,047","1,287"
2020년10월_여_60~69세,"18,057",416,436,837,402,650,475,"1,365","1,376","1,806","1,084","1,287",859,"1,370",437,"1,526","1,183","1,602",946
2020년10월_여_70~79세,"10,616",438,290,633,282,389,339,881,729,"1,166",665,623,466,611,251,793,630,997,433
2020년10월_여_80~89세,"5,118",183,111,290,126,205,169,456,300,569,361,237,221,296,171,455,300,497,171
2020년10월_여_90~99세,939,31,21,55,22,35,32,59,62,97,62,62,53,58,48,65,55,81,41
2020년10월_여_100세 이상,65,6,0,2,1,8,1,1,3,13,3,2,4,5,6,3,6,0,1
