,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년03월_남_80~89세,"4,312",202,186,356,349,236,160,220,146,209,182,257,211,241,264,320,393,165,215
2021년03월_남_90~99세,478,29,22,37,41,33,15,23,9,27,26,32,23,23,29,16,52,16,25
2021년03월_남_100세 이상,38,0,3,4,6,8,1,0,5,1,1,0,4,1,0,0,1,1,2
2021년03월_여_총인구수,"219,696","10,766","11,568","16,538","16,058","14,466","6,036","16,549","8,284","11,739","10,132","11,255","9,070","10,615","10,601","12,830","22,885","11,112","9,192"
2021년03월_여_연령구간인구수,"219,696","10,766","11,568","16,538","16,058","14,466","6,036","16,549","8,284","11,739","10,132","11,255","9,070","10,615","10,601","12,830","22,885","11,112","9,192"
2021년03월_여_0~9세,"16,034",710,979,830,"1,385","1,002",262,"1,525",855,949,794,728,560,572,616,825,"1,848",635,959
2021년03월_여_10~19세,"22,108",929,919,"1,214","2,046","1,663",907,"1,707","1,415","1,448","1,056","1,457",623,804,930,"1,431","2,106",802,651
2021년03월_여_20~29세,"28,174","1,434","1,708","2,805","1,822","1,873",744,"2,276",676,"1,260","1,154","1,410","1,292","1,429","1,275","1,759","2,694","1,657",906
2021년03월_여_30~39세,"33,567","1,905","2,416","2,894","2,063","2,028",469,"2,885",922,"1,477","1,459","1,355","1,611","1,639","1,453","1,964","3,463","2,130","1,434"
2021년03월_여_40~49세,"40,633","1,975","2,083","2,683","3,411","2,918","1,239","3,309","1,992","2,488","1,928","2,199","1,487","1,638","1,704","2,368","3,911","1,806","1,494"
2021년03월_여_50~59세,"32,065","1,545","1,456","2,486","2,303","2,275","1,055","1,994",984,"1,752","1,516","1,721","1,311","1,699","1,810","1,863","3,276","1,706","1,313"
2021년03월_여_60~69세,"25,681","1,234","1,127","1,959","1,609","1,498",647,"1,597",719,"1,225","1,264","1,214","1,166","1,614","1,618","1,304","3,168","1,395","1,323"
2021년03월_여_70~79세,"14,512",693,652,"1,126",955,759,531,877,506,748,651,738,711,862,805,883,"1,597",684,734
2021년03월_여_80~89세,"5,548",280,179,438,366,359,154,304,169,301,242,356,263,285,311,365,648,221,307
2021년03월_여_90~99세,"1,273",61,45,99,83,82,23,68,41,74,66,72,44,69,75,65,170,72,64
2021년03월_여_100세 이상,101,0,4,4,15,9,5,7,5,17,2,5,2,4,4,3,4,4,7
