,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년02월_남_100세 이상,50,2,0,0,1,0,4,0,1,1,2,2,1,2,2,5,0,1,2,0,5,1,2,0,3,13
2021년02월_여_총인구수,"143,385","3,819","9,947",669,"1,246",492,"1,863","1,283",431,"8,691","1,656","1,748","1,448","1,150","4,324","4,937","5,960","7,803","11,159","2,283","5,603","2,239","18,014","25,773","9,773","11,074"
2021년02월_여_연령구간인구수,"143,385","3,819","9,947",669,"1,246",492,"1,863","1,283",431,"8,691","1,656","1,748","1,448","1,150","4,324","4,937","5,960","7,803","11,159","2,283","5,603","2,239","18,014","25,773","9,773","11,074"
2021년02월_여_0~9세,"10,461",174,"1,058",17,48,7,60,28,6,679,33,36,35,39,425,378,242,640,880,174,204,74,"1,238","2,179",739,"1,068"
2021년02월_여_10~19세,"12,970",219,"1,189",19,74,13,75,59,12,839,75,83,61,54,295,351,424,695,987,171,334,110,"2,143","2,870",771,"1,047"
2021년02월_여_20~29세,"17,388",331,873,54,99,14,108,77,16,"1,054",108,396,186,105,481,577,883,"1,074","1,295",238,"1,073",510,"2,441","3,020","1,165","1,210"
2021년02월_여_30~39세,"16,706",306,"1,279",35,88,25,110,48,14,"1,135",99,177,139,101,684,601,586,"1,053","1,420",230,523,267,"1,777","3,211","1,283","1,515"
2021년02월_여_40~49세,"21,464",417,"1,825",41,115,30,141,110,28,"1,402",151,180,154,119,565,659,752,"1,141","1,635",326,600,213,"3,122","4,523","1,465","1,750"
2021년02월_여_50~59세,"23,357",674,"1,507",106,219,83,309,248,82,"1,388",297,240,233,191,549,855,974,"1,263","1,798",386,809,325,"3,122","4,342","1,707","1,650"
2021년02월_여_60~69세,"20,072",714,"1,224",173,301,127,432,323,114,"1,142",447,286,269,205,582,713,"1,022",935,"1,581",357,893,348,"2,053","2,975","1,442","1,414"
2021년02월_여_70~79세,"11,772",504,544,108,134,101,286,208,95,594,244,195,194,188,444,476,614,564,877,247,670,232,"1,246","1,515",694,798
2021년02월_여_80~89세,"7,658",409,348,104,144,75,271,148,54,388,170,136,143,113,255,270,384,375,588,128,414,134,741,950,404,512
2021년02월_여_90~99세,"1,467",69,96,11,24,16,65,34,10,67,31,18,33,34,39,50,76,58,97,24,82,25,128,181,97,102
2021년02월_여_100세 이상,70,2,4,1,0,1,6,0,0,3,1,1,1,1,5,7,3,5,1,2,1,1,3,7,6,8
