,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년07월_남_50~59세,"44,845","2,823","3,730","2,418","1,630","1,177",398,"1,558",771,603,"4,098","2,476","1,653","1,019","2,055",571,539,"2,194","1,017",457,"5,302","4,206","1,690","2,460"
2020년07월_남_60~69세,"26,095","2,121","1,832","1,388","1,035",918,388,928,558,559,"2,096","1,477",881,598,"1,278",366,445,"1,407",729,351,"2,494","2,282",684,"1,280"
2020년07월_남_70~79세,"12,370","1,216",842,645,545,487,212,449,339,380,960,763,333,277,532,171,272,677,392,212,986,904,244,532
2020년07월_남_80~89세,"4,773",565,319,215,164,165,86,174,135,154,317,291,118,109,226,79,119,273,145,68,333,411,74,233
2020년07월_남_90~99세,504,49,35,20,27,12,5,13,25,18,31,42,14,11,27,13,18,28,14,7,30,39,6,20
2020년07월_남_100세 이상,73,15,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1
2020년07월_여_총인구수,"254,327","13,491","21,405","9,727","12,294","5,132","1,639","9,677","3,174","2,553","21,489","12,774","9,403","5,742","11,060","3,716","2,850","11,119","5,182","1,982","37,994","26,833","11,915","13,176"
2020년07월_여_연령구간인구수,"254,327","13,491","21,405","9,727","12,294","5,132","1,639","9,677","3,174","2,553","21,489","12,774","9,403","5,742","11,060","3,716","2,850","11,119","5,182","1,982","37,994","26,833","11,915","13,176"
2020년07월_여_0~9세,"23,771",749,"2,122","1,010","1,971",260,60,"1,209",149,75,"1,486",708,"1,154",363,844,295,75,542,295,64,"4,768","2,803","1,677","1,092"
2020년07월_여_10~19세,"25,557",832,"2,938",942,"1,469",379,92,850,243,143,"2,464","1,165",934,485,"1,092",237,140,857,331,93,"4,162","2,917","1,468","1,324"
2020년07월_여_20~29세,"32,388","1,240","2,634","1,074",979,605,139,"1,208",312,194,"3,119","1,667","1,202",993,"1,358",463,322,"1,780",700,266,"5,049","3,614","1,530","1,940"
2020년07월_여_30~39세,"35,998","1,313","2,694","1,351","2,380",481,135,"1,740",247,154,"2,437","1,370","1,596",908,"1,298",568,248,"1,290",642,164,"7,076","3,994","2,228","1,684"
2020년07월_여_40~49세,"43,192","1,751","4,277","1,633","2,207",728,174,"1,463",362,240,"3,853","2,022","1,611",885,"1,808",566,317,"1,645",775,246,"7,207","4,894","2,380","2,148"
2020년07월_여_50~59세,"40,516","2,375","3,093","1,438","1,270",955,291,"1,454",565,441,"3,932","2,430","1,507",879,"2,051",540,487,"2,107",892,386,"5,155","4,324","1,462","2,482"
2020년07월_여_60~69세,"26,539","2,428","1,780","1,133","1,021",835,319,871,556,550,"2,169","1,701",739,606,"1,313",504,531,"1,489",745,380,"2,572","2,307",693,"1,297"
2020년07월_여_70~79세,"15,915","1,659","1,107",657,550,529,237,495,398,401,"1,238","1,082",394,413,810,349,446,897,482,242,"1,239","1,238",292,760
2020년07월_여_80~89세,"8,874",958,644,412,363,311,171,320,298,296,689,548,226,172,408,153,232,446,266,120,656,637,161,387
2020년07월_여_90~99세,"1,413",151,106,73,78,45,20,64,42,56,92,73,36,34,71,35,38,58,43,18,104,94,24,58
2020년07월_여_100세 이상,164,35,10,4,6,4,1,3,2,3,10,8,4,4,7,6,14,8,11,3,6,11,0,4
