카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년08월_남_100세 이상,33,2,7,0,0,0,0,2,1,5,0,1,5,2,1,3,1,3
2020년08월_여_총인구수,"150,998","3,135","36,081","2,062","9,637","9,066","9,466","2,641","2,899","1,507","2,188","9,571","4,550","5,237","18,445","9,177","10,652","14,684"
2020년08월_여_연령구간인구수,"150,998","3,135","36,081","2,062","9,637","9,066","9,466","2,641","2,899","1,507","2,188","9,571","4,550","5,237","18,445","9,177","10,652","14,684"
2020년08월_여_0~9세,"16,338",203,"4,671",111,"1,481","1,333","1,196",73,146,26,60,817,457,226,"2,013",741,"1,113","1,671"
2020년08월_여_10~19세,"16,620",235,"4,479",161,"1,396",783,716,118,185,58,97,"1,009",343,394,"2,387","1,181","1,303","1,775"
2020년08월_여_20~29세,"16,017",225,"4,324",131,"1,012",778,989,163,205,84,156,"1,019",510,731,"2,115",928,"1,226","1,421"
2020년08월_여_30~39세,"22,661",253,"6,593",119,"1,949","1,631","1,817",148,222,60,130,"1,130",790,506,"2,654","1,047","1,489","2,123"
2020년08월_여_40~49세,"25,442",379,"6,716",251,"1,872","1,365","1,284",230,341,83,166,"1,574",659,688,"3,388","1,701","2,004","2,741"
2020년08월_여_50~59세,"21,058",539,"4,431",332,890,"1,218","1,325",460,527,220,373,"1,432",620,991,"2,541","1,501","1,616","2,042"
2020년08월_여_60~69세,"15,552",570,"2,577",395,495,986,"1,023",567,512,394,449,"1,155",559,828,"1,697","1,015",934,"1,396"
2020년08월_여_70~79세,"10,006",385,"1,383",298,310,528,626,450,384,286,408,837,371,553,"1,038",639,608,902
2020년08월_여_80~89세,"6,233",294,780,219,194,371,407,369,327,251,306,523,188,268,533,361,296,546
2020년08월_여_90~99세,990,50,124,41,37,73,80,61,47,41,40,68,44,44,69,56,54,61
2020년08월_여_100세 이상,81,2,3,4,1,0,3,2,3,4,3,7,9,8,10,7,9,6
