,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년08월_계_80~89세,"14,466",673,644,441,"1,425","1,170",378,556,570,655,551,579,477,766,637,748,743,641,"1,025",862,925
2020년08월_계_90~99세,"2,456",92,136,77,302,155,62,90,89,127,92,75,80,132,121,137,121,97,172,114,185
2020년08월_계_100세 이상,229,11,5,4,11,20,6,22,6,9,6,7,5,4,2,11,24,27,14,26,9
2020년08월_남_총인구수,"282,647","20,474","11,193","10,499","15,199","25,742","9,075","10,602","10,422","17,092","12,319","12,266","15,725","6,996","7,402","17,974","21,071","13,754","21,848","11,468","11,526"
2020년08월_남_연령구간인구수,"282,647","20,474","11,193","10,499","15,199","25,742","9,075","10,602","10,422","17,092","12,319","12,266","15,725","6,996","7,402","17,974","21,071","13,754","21,848","11,468","11,526"
2020년08월_남_0~9세,"21,046","2,189",709,720,922,"1,501",668,716,633,"1,223",690,724,940,272,413,"1,828","1,957","1,352","2,212",631,746
2020년08월_남_10~19세,"23,281","2,357",782,926,"1,135","1,301",752,827,723,"1,352",947,860,981,264,322,"2,442","2,655",902,"2,142",799,812
2020년08월_남_20~29세,"40,703","2,570","1,935","1,690","2,213","4,245","1,318","1,525","1,559","2,775","2,043","1,889","2,877",792,916,"2,315","2,535","1,928","2,607","1,601","1,370"
2020년08월_남_30~39세,"50,905","3,499","2,813","1,813","2,420","5,724","1,555","1,642","1,789","3,472","2,178","2,267","4,174","1,298","1,599","2,148","2,746","2,698","3,255","1,884","1,931"
2020년08월_남_40~49세,"46,045","3,789","1,629","1,523","1,905","3,969","1,601","1,568","1,692","2,878","1,872","2,056","2,392",757,"1,038","3,510","4,089","2,296","3,985","1,703","1,793"
2020년08월_남_50~59세,"41,716","2,939","1,466","1,652","2,525","3,573","1,328","1,628","1,643","2,328","1,901","1,732","2,032","1,085","1,096","2,750","3,236","1,956","3,216","1,855","1,775"
2020년08월_남_60~69세,"35,013","2,058","1,064","1,330","2,404","3,089","1,064","1,583","1,387","1,825","1,689","1,513","1,568","1,575","1,164","1,711","2,294","1,535","2,669","1,698","1,793"
2020년08월_남_70~79세,"18,171",814,512,673,"1,140","1,849",626,896,760,963,792,979,570,704,634,976,"1,238",799,"1,345",954,947
2020년08월_남_80~89세,"5,132",234,233,157,451,442,149,190,214,247,188,225,168,222,198,270,291,263,373,302,315
2020년08월_남_90~99세,563,25,48,15,79,40,13,24,20,26,18,19,22,24,21,21,24,14,38,30,42
2020년08월_남_100세 이상,72,0,2,0,5,9,1,3,2,3,1,2,1,3,1,3,6,11,6,11,2
2020년08월_여_총인구수,"302,273","21,587","12,636","10,926","16,635","27,115","9,567","11,458","10,883","17,856","12,822","13,262","18,350","7,755","8,354","19,877","22,950","13,333","22,937","11,751","12,219"
2020년08월_여_연령구간인구수,"302,273","21,587","12,636","10,926","16,635","27,115","9,567","11,458","10,883","17,856","12,822","13,262","18,350","7,755","8,354","19,877","22,950","13,333","22,937","11,751","12,219"
2020년08월_여_0~9세,"20,119","2,054",651,678,860,"1,446",638,636,578,"1,188",674,730,862,279,358,"1,736","1,950","1,289","2,249",578,685
2020년08월_여_10~19세,"22,359","2,241",593,747,"1,039","1,301",742,824,691,"1,154",755,834,972,224,313,"2,632","2,873",831,"2,120",718,755
2020년08월_여_20~29세,"46,695","2,968","2,878","1,679","2,059","5,024","1,284","1,689","1,424","3,086","2,218","1,963","5,569",974,978,"2,417","2,756","1,900","2,820","1,738","1,271"
2020년08월_여_30~39세,"49,332","3,854","2,997","1,797","2,261","5,076","1,427","1,630","1,663","3,015","2,043","2,123","4,027","1,206","1,560","2,363","3,002","2,448","3,407","1,612","1,821"
2020년08월_여_40~49세,"45,831","3,929","1,667","1,589","2,108","3,649","1,588","1,706","1,606","2,790","1,806","1,992","2,205",731,926,"3,882","4,622","1,943","3,825","1,509","1,758"
2020년08월_여_50~59세,"45,559","3,077","1,555","1,879","2,964","3,987","1,535","1,802","1,826","2,626","2,144","2,133","2,217","1,236","1,256","2,959","3,272","1,908","3,392","1,870","1,921"
2020년08월_여_60~69세,"40,440","2,036","1,172","1,529","2,735","3,858","1,361","1,830","1,759","2,334","1,907","2,017","1,522","1,619","1,501","2,135","2,637","1,654","2,870","1,897","2,067"
2020년08월_여_70~79세,"20,554",911,621,678,"1,406","1,920",709,890,907,"1,148",833,"1,055",605,833,922,"1,151","1,271",883,"1,460","1,170","1,181"
2020년08월_여_80~89세,"9,334",439,411,284,974,728,229,366,356,408,363,354,309,544,439,478,452,378,652,560,610
2020년08월_여_90~99세,"1,893",67,88,62,223,115,49,66,69,101,74,56,58,108,100,116,97,83,134,84,143
2020년08월_여_100세 이상,157,11,3,4,6,11,5,19,4,6,5,5,4,1,1,8,18,16,8,15,7
