,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년06월_계_100세 이상,86,2,4,5,2,6,4,2,3,3,7,8,0,3,2,1,4,1,12,6,2,4,0,5
2020년06월_남_총인구수,"236,945","11,289","7,625","9,371","8,239","8,413","6,038","12,914","9,304","6,058","11,730","11,253","12,582","5,986","7,306","10,910","20,400","7,599","25,019","1,972","8,489","17,957","6,636","9,855"
2020년06월_남_연령구간인구수,"236,945","11,289","7,625","9,371","8,239","8,413","6,038","12,914","9,304","6,058","11,730","11,253","12,582","5,986","7,306","10,910","20,400","7,599","25,019","1,972","8,489","17,957","6,636","9,855"
2020년06월_남_0~9세,"20,383","1,156",381,514,607,577,378,873,663,453,"1,046",683,787,229,411,953,"2,858",702,"3,345",59,821,"1,734",529,624
2020년06월_남_10~19세,"26,266","1,569",543,800,817,659,331,"1,297",671,604,"1,305",944,"1,032",331,712,"1,517","2,400",865,"3,252",87,"1,802","2,389",742,"1,597"
2020년06월_남_20~29세,"37,760","1,458","1,330","1,444","1,180","1,210","1,125","2,408","1,966",849,"1,702","2,245","2,848","1,478","1,038","1,622","2,495","1,315","3,453",172,894,"2,767","1,283","1,478"
2020년06월_남_30~39세,"34,354","1,383",884,"1,076",926,"1,147","1,154","2,219","1,894",806,"1,462","1,998","2,276","1,097",820,"1,280","3,291","1,047","4,212",174,631,"2,641","1,093",843
2020년06월_남_40~49세,"38,594","2,099",995,"1,360","1,197","1,251",886,"2,149","1,477",932,"1,963","1,622","1,958",883,965,"1,667","3,908","1,094","4,517",251,"1,808","2,971","1,077","1,564"
2020년06월_남_50~59세,"37,819","1,729","1,325","1,607","1,468","1,504",870,"2,095","1,173",964,"1,846","1,695","1,986",989,"1,399","1,856","2,700","1,333","3,623",394,"1,313","3,102","1,036","1,812"
2020년06월_남_60~69세,"25,723","1,128","1,236","1,461","1,275","1,227",745,"1,215",888,826,"1,390","1,323","1,130",622,"1,213","1,441","1,789",760,"1,628",410,661,"1,636",593,"1,126"
2020년06월_남_70~79세,"11,707",594,687,797,549,604,398,463,417,457,757,572,423,266,533,413,713,332,754,281,394,516,201,586
2020년06월_남_80~89세,"3,947",156,226,290,203,213,136,182,144,157,235,161,134,83,187,148,219,135,217,128,141,177,71,204
2020년06월_남_90~99세,375,16,17,21,16,20,15,13,11,10,21,8,8,7,27,13,27,16,14,16,23,24,11,21
2020년06월_남_100세 이상,17,1,1,1,1,1,0,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020년06월_여_총인구수,"244,491","11,583","7,497","9,140","8,572","8,041","6,723","13,847","9,850","6,439","12,481","10,759","12,762","5,161","8,051","11,286","21,022","8,277","26,153","1,876","8,707","19,095","6,602","10,567"
2020년06월_여_연령구간인구수,"244,491","11,583","7,497","9,140","8,572","8,041","6,723","13,847","9,850","6,439","12,481","10,759","12,762","5,161","8,051","11,286","21,022","8,277","26,153","1,876","8,707","19,095","6,602","10,567"
2020년06월_여_0~9세,"19,230","1,080",355,418,568,482,317,785,624,462,990,557,771,198,428,970,"2,772",625,"3,190",47,784,"1,681",506,620
2020년06월_여_10~19세,"24,602","1,530",546,728,729,624,325,"1,143",657,557,"1,394",828,"1,175",289,659,"1,287","2,273",819,"3,129",74,"1,625","2,154",690,"1,367"
2020년06월_여_20~29세,"36,365","1,413","1,067","1,161","1,020","1,014","1,427","2,824","2,367",840,"1,475","1,996","2,770","1,246",929,"1,320","2,462","1,490","3,409",123,801,"2,826","1,106","1,279"
2020년06월_여_30~39세,"33,086","1,439",718,882,893,939,"1,059","2,196","1,673",787,"1,431","1,512","1,990",735,779,"1,409","3,585","1,030","4,370",117,833,"2,857",947,905
2020년06월_여_40~49세,"41,105","2,247",854,"1,191","1,230","1,114",824,"2,324","1,399",982,"2,179","1,639","1,925",718,"1,107","1,932","3,773","1,326","5,048",162,"2,207","3,714","1,185","2,025"
2020년06월_여_50~59세,"40,222","1,747","1,373","1,661","1,743","1,474","1,039","2,287","1,363","1,047","2,060","1,850","2,115",909,"1,561","2,215","2,962","1,510","3,641",334,"1,127","3,220","1,183","1,801"
2020년06월_여_60~69세,"27,529","1,223","1,390","1,665","1,284","1,291",911,"1,276",988,937,"1,665","1,479","1,241",614,"1,235","1,319","1,889",735,"1,867",343,670,"1,610",567,"1,330"
2020년06월_여_70~79세,"13,806",579,787,912,676,738,523,607,515,531,835,566,458,285,742,483,815,458,891,333,420,616,260,776
2020년06월_여_80~89세,"7,200",275,351,442,362,302,255,354,221,243,400,273,275,137,508,301,398,242,513,263,208,357,127,393
2020년06월_여_90~99세,"1,277",49,53,76,66,58,39,49,40,50,48,53,42,28,102,49,89,41,87,74,31,56,31,66
2020년06월_여_100세 이상,69,1,3,4,1,5,4,2,3,3,4,6,0,2,1,1,4,1,8,6,1,4,0,5
